,Image,Label,Prediction,Word_num,Left_score,Right_score
0,0.png,seventy eight,eight,0,0.000621847410782599,0.9993781525892176
1,1.png,eight hundred seven,two hundred,0,0.9895812269704384,0.010418773029561519
2,1.png,eight hundred seven,two hundred,1,0.996116945907219,0.003883054092780961
3,10.png,four hundred,four hundred,0,0.014941548436559362,0.9850584515634406
4,10.png,four hundred,four hundred,1,0.008690848916710096,0.9913091510832899
5,11.png,four thousand,four thousand,0,0.7724912405599293,0.22750875944007046
6,11.png,four thousand,four thousand,1,0.22087993301265255,0.7791200669873473
7,12.png,seventy six,sixteen,0,0.002214774321756242,0.9977852256782438
8,13.png,seven hundred sixty,two hundred,0,0.7025203874826458,0.2974796125173542
9,13.png,seven hundred sixty,two hundred,1,0.7028742842264999,0.2971257157735003
10,14.png,thirty one,three,0,0.9999310866725765,6.891332742359686e-05
11,15.png,three hundred one,three hundred,0,0.9974205657366036,0.002579434263396405
12,15.png,three hundred one,three hundred,1,0.7681115833659977,0.2318884166340023
13,16.png,eighty nine,four,0,0.03620007606908025,0.9637999239309196
14,17.png,eight hundred nine,two hundred,0,0.9706922902975619,0.029307709702438345
15,17.png,eight hundred nine,two hundred,1,0.9752526086592517,0.024747391340747816
16,18.png,three hundred seven,three hundred,0,0.9996108797159127,0.0003891202840873522
17,18.png,three hundred seven,three hundred,1,0.7642555058024086,0.2357444941975915
18,19.png,three hundred sixty seven,three hundred,0,0.9998160219523651,0.00018397804763476864
19,19.png,three hundred sixty seven,three hundred,1,0.8201399676157242,0.17986003238427595
20,2.png,sixty four,four,0,0.24238974720665293,0.757610252793347
21,20.png,thirteen,three,0,0.005318088967907603,0.9946819110320924
22,21.png,forty two,four hundred,0,0.4135968624850449,0.5864031375149554
23,21.png,forty two,four hundred,1,0.45552095526089925,0.5444790447391009
24,22.png,five hundred eight,six hundred,0,0.36404660724910803,0.6359533927508921
25,22.png,five hundred eight,six hundred,1,0.0026931975320975076,0.9973068024679024
26,23.png,five hundred eighty,six hundred,0,0.1522612027167392,0.847738797283261
27,23.png,five hundred eighty,six hundred,1,0.10067413672113207,0.8993258632788683
28,24.png,two thousand three,two thousand five,0,0.5416597979213504,0.4583402020786498
29,24.png,two thousand three,two thousand five,1,0.7013811619384682,0.29861883806153167
30,24.png,two thousand three,two thousand five,2,0.7128629362988586,0.28713706370114145
