,Image,Label,Prediction,Word_num,Left_score,Right_score
0,0.png,two hundred six,two hundred two,0,0.15273147911292503,0.8472685208870749
1,0.png,two hundred six,two hundred two,1,0.06280453801149782,0.9371954619885023
2,0.png,two hundred six,two hundred two,2,0.15273147911292503,0.8472685208870749
3,1.png,two hundred sixty,two hundred sixty,0,0.18036856637955442,0.8196314336204457
4,1.png,two hundred sixty,two hundred sixty,1,0.015793876885601365,0.9842061231143983
5,1.png,two hundred sixty,two hundred sixty,2,0.015709473344333952,0.9842905266556659
6,10.png,one hundred five,one hundred five,0,0.046713039171604354,0.9532869608283953
7,10.png,one hundred five,one hundred five,1,0.1041174767463916,0.8958825232536086
8,10.png,one hundred five,one hundred five,2,0.1073556738727958,0.8926443261272045
9,11.png,one hundred twenty five,one hundred twenty five,0,0.01987950373474207,0.980120496265258
10,11.png,one hundred twenty five,one hundred twenty five,1,0.05511781759340437,0.9448821824065956
11,11.png,one hundred twenty five,one hundred twenty five,2,0.05295426769136679,0.9470457323086332
12,11.png,one hundred twenty five,one hundred twenty five,3,0.07355339073222017,0.92644660926778
13,12.png,three hundred five,three hundred,0,0.9575885088315664,0.04241149116843332
14,12.png,three hundred five,three hundred,1,0.40778717363483774,0.5922128263651624
15,13.png,three hundred fifty,three hundred twenty,0,0.48085420672499607,0.5191457932750038
16,13.png,three hundred fifty,three hundred twenty,1,0.24438451355399018,0.7556154864460097
17,13.png,three hundred fifty,three hundred twenty,2,0.23827829946637286,0.7617217005336271
18,14.png,forty two,four four,0,0.015045224082005036,0.9849547759179947
19,14.png,forty two,four four,1,0.015045224082005036,0.9849547759179947
20,15.png,four hundred two,four hundred two,0,0.06305617164090947,0.9369438283590902
21,15.png,four hundred two,four hundred two,1,0.0748901547424309,0.925109845257569
22,15.png,four hundred two,four hundred two,2,0.07191972670982044,0.9280802732901796
23,16.png,five,five,0,0.9999967950963193,3.204903680762766e-06
24,17.png,fifteen,fifteen,0,0.0236870878347973,0.9763129121652029
25,18.png,eleven,one,0,0.0374155489520875,0.9625844510479123
26,19.png,twenty four,twenty four,0,0.9989482547395443,0.0010517452604558426
27,19.png,twenty four,twenty four,1,0.99123024184308,0.008769758156919827
28,2.png,one hundred,two hundred,0,0.0011076468525897645,0.9988923531474103
29,2.png,one hundred,two hundred,1,0.0012140935676738145,0.9987859064323262
30,20.png,two,two,0,0.9706969800928668,0.02930301990713337
31,21.png,eight,eight,0,0.8290949971529922,0.17090500284700835
32,22.png,twenty five,fifteen,0,0.11077535116004594,0.8892246488399541
33,23.png,four hundred five,four hundred,0,0.2305325526988186,0.769467447301181
34,23.png,four hundred five,four hundred,1,0.22253407047444682,0.7774659295255533
35,24.png,sixty two,five hundred,0,0.051287052169528134,0.9487129478304719
36,24.png,sixty two,five hundred,1,0.07718108765340477,0.9228189123465952
37,25.png,six hundred two,two hundred two,0,0.047095631861902396,0.9529043681380976
38,25.png,six hundred two,two hundred two,1,0.03910877137099997,0.960891228629
39,25.png,six hundred two,two hundred two,2,0.047095631861902396,0.9529043681380976
40,26.png,twenty one,twenty one,0,0.9981041915142849,0.0018958084857149686
41,26.png,twenty one,twenty one,1,0.9548203200382464,0.04517967996175343
42,27.png,two hundred ten,six hundred seventy,0,0.0022317250223723474,0.9977682749776273
43,27.png,two hundred ten,six hundred seventy,1,0.0016011515555962607,0.9983988484444036
44,27.png,two hundred ten,six hundred seventy,2,0.0015442761231119638,0.9984557238768881
45,28.png,twenty four,twenty four,0,0.9989482547395443,0.0010517452604558426
46,28.png,twenty four,twenty four,1,0.99123024184308,0.008769758156919827
47,29.png,two hundred four,two hundred twenty,0,0.5841906469819548,0.41580935301804517
48,29.png,two hundred four,two hundred twenty,1,0.28476954383651937,0.7152304561634808
49,29.png,two hundred four,two hundred twenty,2,0.2795074808052007,0.7204925191947993
50,3.png,one thousand,one thousand,0,0.5365060688230507,0.46349393117694937
51,3.png,one thousand,one thousand,1,0.5710273056692735,0.4289726943307262
52,30.png,seventeen,one,0,0.0010939602414026086,0.9989060397585974
53,31.png,twenty one,twenty one,0,0.9981041915142849,0.0018958084857149686
54,31.png,twenty one,twenty one,1,0.9548203200382464,0.04517967996175343
55,32.png,thirty five,thirty,0,0.9999508654649172,4.9134535082425695e-05
56,33.png,three hundred five,three hundred,0,0.9575885088315664,0.04241149116843332
57,33.png,three hundred five,three hundred,1,0.40778717363483774,0.5922128263651624
58,34.png,forty seven,four hundred,0,0.7650338069602505,0.23496619303974997
59,34.png,forty seven,four hundred,1,0.6243223248386612,0.3756776751613385
