,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,seventy eight,0.png,sixteen fourteen,13,1.png,eight hundred seven,thousand thousand thousand,23,1
1,sixty four,2.png,<unk> thirty,10,3.png,six hundred four,seventeen fourteen fourteen,20,1
2,eighty five,4.png,sixteen fourteen,12,5.png,eight hundred fifty,ninety thousand thousand,20,1
3,thirty six,6.png,sixteen thousand,13,7.png,three hundred six,sixteen thousand thousand,21,1
4,twelve,8.png,seventeen,7,9.png,twenty two,seventeen fourteen,15,1
5,four hundred,10.png,ninety thousand,12,11.png,four thousand,thousand thousand,12,0
6,seventy six,12.png,seventeen seventeen,11,13.png,seven hundred sixty,seventeen thousand thousand,19,1
7,thirty one,14.png,<unk> fourteen,12,15.png,three hundred one,sixteen thousand thousand,20,1
8,eighty nine,16.png,eleven thousand,12,17.png,eight hundred nine,thousand thousand thousand,23,1
9,three hundred seven,18.png,<unk> thousand thousand,18,19.png,three hundred sixty seven,<unk> fourteen fourteen fourteen,23,1
10,thirteen,20.png,<unk>,8,21.png,forty two,<unk> fourteen,9,1
11,five hundred eight,22.png,sixteen thousand thousand,18,23.png,five hundred eighty,sixteen thousand thousand,18,0
12,two thousand three,24.png,seventeen thousand thousand,14,25.png,two thousand thirty,seventeen thousand thousand,14,0
13,three hundred six,26.png,sixteen thousand thousand,17,27.png,three hundred sixty,sixteen thousand thousand,17,0
14,seven,28.png,<unk>,5,29.png,eighteen,sixteen,4,0
15,five,30.png,sixteen,5,31.png,eight,sixteen,5,0
16,five hundred,32.png,seventeen thousand,13,33.png,five thousand,thousand thousand,14,1
17,thirty six,34.png,sixteen thousand,13,35.png,five hundred nine,seventeen thousand thousand,23,1
18,forty two,36.png,<unk> fourteen,12,37.png,four hundred twenty,<unk> fourteen fourteen,17,1
19,twenty seven,38.png,seventeen fourteen,12,39.png,two hundred seven,seventeen thousand thousand,21,1
20,six hundred eight,40.png,seventeen thousand thousand,21,41.png,six hundred fifty eight,sixteen thousand thousand thousand,24,1
21,seventeen,42.png,<unk>,8,43.png,twenty eight,sixteen thousand,11,1
22,five hundred sixty seven,44.png,seventeen fourteen fourteen fourteen,26,45.png,five hundred seventy six,seventeen fourteen fourteen fourteen,26,0
23,one,46.png,<unk>,4,47.png,nine,seventy,6,1
