,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,two hundred six,0.png,sixteen ten nineteen,16,1.png,two hundred sixty,sixteen nineteen nineteen,19,1
1,one hundred,2.png,sixteen ten,9,3.png,one thousand,sixteen sixteen,12,1
2,sixty seven,4.png,sixteen ten,5,5.png,six hundred seventy,sixteen sixteen nineteen,15,1
3,one thousand two,6.png,sixteen sixteen ten,15,7.png,one thousand twenty,sixteen sixteen nineteen,20,1
4,twenty one,8.png,sixteen ten,9,9.png,two hundred one,sixteen ten ten,10,1
5,one hundred five,10.png,sixteen ten ten,13,11.png,one hundred twenty five,sixteen ten ten ten,15,1
6,three hundred five,12.png,eleven twelve twelve,15,13.png,three hundred fifty,sixteen twelve twelve,15,0
7,forty two,14.png,eleven ten,8,15.png,four hundred two,sixteen ten twelve,14,1
8,five,16.png,fifteen,4,17.png,fifteen,eleven,4,0
9,eleven,18.png,eleven,0,19.png,twenty four,eleven ten,4,1
10,two,20.png,sixteen,6,21.png,eight,fifteen,6,0
11,twenty five,22.png,sixteen ten,10,23.png,four hundred five,eleven twelve twelve,14,1
12,sixty two,24.png,sixteen sixteen,9,25.png,six hundred two,sixteen nineteen nineteen,19,1
13,twenty one,26.png,sixteen ten,9,27.png,two hundred ten,sixteen sixteen ten,14,1
14,twenty four,28.png,eleven ten,9,29.png,two hundred four,sixteen eleven twelve,17,1
15,seventeen,30.png,eleven,5,31.png,twenty one,sixteen ten,6,1
16,thirty five,32.png,sixteen twelve,10,33.png,three hundred five,eleven twelve twelve,16,1
17,forty seven,34.png,eleven ten,9,35.png,four hundred seventy,sixteen eleven ten,12,1
18,nineteen,36.png,sixteen,3,37.png,one hundred nine,sixteen ten ten,9,1
19,sixteen,38.png,sixteen,0,39.png,one hundred six,sixteen ten ten,8,1
20,fifty three,40.png,sixteen twelve,9,41.png,eighty,sixteen,8,0
21,two hundred sixteen,42.png,sixteen sixteen ten,14,43.png,two hundred sixty one,sixteen ten ten ten,14,0
22,four hundred twelve,44.png,eleven ten ten,14,45.png,four hundred twenty one,eleven ten ten ten,15,1
23,six,46.png,fifteen,6,47.png,thirteen,eleven,6,0
