,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct,true_target_numbers,true_foil_numbers,predicted_target_numbers,predicted_foil_numbers
0,seventy eight,0.png,eighteen eighteen,1.png,eight hundred seven,eighteen eighteen eighteen,True,0,0,0,0
1,sixty four,2.png,fifty fifty,3.png,six hundred four,fifty fifty fifty,True,0,0,0,0
2,eighty five,4.png,fifty fifty,5.png,eight hundred fifty,eighteen eighteen eighteen,False,0,0,0,0
3,thirty six,6.png,fifty fifty,7.png,three hundred six,fifty fifty fifty,False,0,0,0,0
4,twelve,8.png,thousand,9.png,twenty two,fifty fifty,False,0,0,0,0
5,four hundred,10.png,eighteen fifty,11.png,four thousand,eighteen eighteen,False,0,0,0,0
6,seventy six,12.png,fifty fifty,13.png,seven hundred sixty,eighteen eighteen fifty,False,0,0,0,0
7,thirty one,14.png,thousand fifty,15.png,three hundred one,eighteen eighteen eighteen,True,0,0,0,0
8,eighty nine,16.png,fifty eighteen,17.png,eight hundred nine,eighteen eighteen eighteen,False,0,0,0,0
9,three hundred seven,18.png,eighteen eighteen eighteen,19.png,three hundred sixty seven,fifty fifty fifty fifty,True,0,0,0,0
10,thirteen,20.png,thousand,21.png,forty two,thousand fifty,True,0,0,0,0
11,five hundred eight,22.png,eighteen eighteen eighteen,23.png,five hundred eighty,fifty eighteen eighteen,True,0,0,0,0
12,two thousand three,24.png,eighteen eighteen <start>,25.png,two thousand thirty,eighteen eighteen <start>,True,0,0,0,0
13,three hundred six,26.png,fifty fifty fifty,27.png,three hundred sixty,fifty fifty fifty,False,0,0,0,0
14,seven,28.png,thousand,29.png,eighteen,eighteen,False,0,0,0,0
15,five,30.png,fifty,31.png,eight,eighteen,True,0,0,0,0
16,five hundred,32.png,fifty fifty,33.png,five thousand,eighteen eighteen,True,0,0,0,0
17,thirty six,34.png,fifty fifty,35.png,five hundred nine,fifty fifty fifty,False,0,0,0,0
18,forty two,36.png,thousand fifty,37.png,four hundred twenty,eighteen eighteen eighteen,True,0,0,0,0
19,twenty seven,38.png,fifty fifty,39.png,two hundred seven,eighteen eighteen eighteen,False,0,0,0,0
20,six hundred eight,40.png,eighteen eighteen eighteen,41.png,six hundred fifty eight,fifty eighteen fifty fifty,True,0,0,0,0
21,seventeen,42.png,thousand,43.png,twenty eight,fifty eighteen,True,0,0,0,0
22,five hundred sixty seven,44.png,fifty fifty fifty fifty,45.png,five hundred seventy six,fifty fifty fifty fifty,True,0,0,0,0
23,one,46.png,fifty,47.png,nine,fifty,True,0,0,0,0
