,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct,true_target_numbers,true_foil_numbers,predicted_target_numbers,predicted_foil_numbers
0,two hundred six,0.png,forty forty forty,1.png,two hundred sixty,forty one forty,True,0,0,0,0
1,one hundred,2.png,one one,3.png,one thousand,forty forty,True,0,0,0,0
2,sixty seven,4.png,seventeen eighteen,5.png,six hundred seventy,one one eighteen,False,0,0,0,0
3,one thousand two,6.png,forty forty forty,7.png,one thousand twenty,forty forty forty,False,0,0,0,0
4,twenty one,8.png,<end> <end>,9.png,two hundred one,one one <end>,False,0,0,0,0
5,one hundred five,10.png,eighteen eighteen <end>,11.png,one hundred twenty five,eighteen eighteen eighteen eighteen,False,0,0,0,0
6,three hundred five,12.png,eighteen <end> <end>,13.png,three hundred fifty,eighteen <end> <end>,False,0,0,0,0
7,forty two,14.png,one <end>,15.png,four hundred two,one <end> <end>,False,0,0,0,0
8,five,16.png,fifty,17.png,fifteen,eighteen,False,0,0,0,0
9,eleven,18.png,<end>,19.png,twenty four,<end> <end>,True,0,0,0,0
10,two,20.png,seventeen,21.png,eight,forty,False,0,0,0,0
11,twenty five,22.png,seventeen eighteen,23.png,four hundred five,one <end> <end>,True,0,0,0,0
12,sixty two,24.png,seventeen eighteen,25.png,six hundred two,forty forty forty,False,0,0,0,0
13,twenty one,26.png,<end> <end>,27.png,two hundred ten,one one eighteen,False,0,0,0,0
14,twenty four,28.png,<end> <end>,29.png,two hundred four,one <end> <end>,True,0,0,0,0
15,seventeen,30.png,seventeen,31.png,twenty one,<end> <end>,True,0,0,0,0
16,thirty five,32.png,<end> <end>,33.png,three hundred five,eighteen <end> <end>,True,0,0,0,0
17,forty seven,34.png,<end> <end>,35.png,four hundred seventy,one <end> <end>,False,0,0,0,0
18,nineteen,36.png,seventeen,37.png,one hundred nine,seventeen eighteen <end>,True,0,0,0,0
19,sixteen,38.png,seventeen,39.png,one hundred six,one eighteen eighteen,False,0,0,0,0
20,fifty three,40.png,<end> <end>,41.png,eighty,forty,True,0,0,0,0
21,two hundred sixteen,42.png,one one eighteen,43.png,two hundred sixty one,one <end> <end> <end>,True,0,0,0,0
22,four hundred twelve,44.png,one <end> <end>,45.png,four hundred twenty one,one <end> <end> <end>,False,0,0,0,0
23,six,46.png,seventeen,47.png,thirteen,<end>,False,0,0,0,0
