,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct,true_target_numbers,true_foil_numbers,predicted_target_numbers,predicted_foil_numbers
0,two hundred six,0.png,sixteen sixteen seventeen,1.png,two hundred sixty,sixteen sixteen sixteen,True,0,0,0,0
1,one hundred,2.png,sixteen sixteen,3.png,one thousand,sixteen six,True,0,0,0,0
2,sixty seven,4.png,six six,5.png,six hundred seventy,six six six,True,0,0,0,0
3,one thousand two,6.png,sixteen six six,7.png,one thousand twenty,sixteen sixteen six,True,0,0,0,0
4,twenty one,8.png,sixteen six,9.png,two hundred one,sixteen sixteen six,False,0,0,0,0
5,one hundred five,10.png,sixteen sixteen six,11.png,one hundred twenty five,six six six seventeen,True,0,0,0,0
6,three hundred five,12.png,six six six,13.png,three hundred fifty,sixteen six six,True,0,0,0,0
7,forty two,14.png,six six,15.png,four hundred two,six six six,True,0,0,0,0
8,five,16.png,sixteen,17.png,fifteen,eighteen,False,0,0,0,0
9,eleven,18.png,<unk>,19.png,twenty four,eighteen six,True,0,0,0,0
10,two,20.png,sixteen,21.png,eight,sixteen,False,0,0,0,0
11,twenty five,22.png,sixteen six,23.png,four hundred five,six six six,False,0,0,0,0
12,sixty two,24.png,six six,25.png,six hundred two,sixteen sixteen sixteen,True,0,0,0,0
13,twenty one,26.png,sixteen six,27.png,two hundred ten,sixteen sixteen sixteen,False,0,0,0,0
14,twenty four,28.png,eighteen six,29.png,two hundred four,sixteen sixteen six,False,0,0,0,0
15,seventeen,30.png,<unk>,31.png,twenty one,sixteen six,False,0,0,0,0
16,thirty five,32.png,six six,33.png,three hundred five,six six six,True,0,0,0,0
17,forty seven,34.png,six six,35.png,four hundred seventy,six six six,True,0,0,0,0
18,nineteen,36.png,eighteen,37.png,one hundred nine,sixteen sixteen sixteen,False,0,0,0,0
19,sixteen,38.png,six,39.png,one hundred six,sixteen sixteen sixteen,False,0,0,0,0
20,fifty three,40.png,sixteen six,41.png,eighty,sixteen,True,0,0,0,0
21,two hundred sixteen,42.png,sixteen sixteen six,43.png,two hundred sixty one,sixteen sixteen six six,True,0,0,0,0
22,four hundred twelve,44.png,six six six,45.png,four hundred twenty one,eighteen six six six,False,0,0,0,0
23,six,46.png,sixteen,47.png,thirteen,<unk>,True,0,0,0,0
