,Image,Label,Prediction,Word_1_attention_region,Word_2_attention_region,Word_3_attention_region,Word_4_attention_region,Word_5_attention_region,Word_6_attention_region
0,0.png,seventy eight,eighty,4,N/A,N/A,N/A,N/A,N/A
1,1.png,eight hundred seven,six hundred,2,2,N/A,N/A,N/A,N/A
2,2.png,sixty four,twenty,4,N/A,N/A,N/A,N/A,N/A
3,3.png,six hundred four,six hundred twenty,2,4,4,N/A,N/A,N/A
4,4.png,eighty five,eighty,3,N/A,N/A,N/A,N/A,N/A
5,5.png,eight hundred fifty,six hundred,2,2,N/A,N/A,N/A,N/A
6,6.png,thirty six,three,3,N/A,N/A,N/A,N/A,N/A
7,7.png,three hundred six,three hundred,2,2,N/A,N/A,N/A,N/A
8,8.png,twelve,one hundred,4,4,N/A,N/A,N/A,N/A
9,9.png,twenty two,two hundred,4,4,N/A,N/A,N/A,N/A
10,10.png,four hundred,four hundred,2,3,N/A,N/A,N/A,N/A
11,11.png,four thousand,four thousand five,1,2,2,N/A,N/A,N/A
12,12.png,seventy six,sixteen,4,N/A,N/A,N/A,N/A,N/A
13,13.png,seven hundred sixty,six hundred twenty,3,4,4,N/A,N/A,N/A
14,14.png,thirty one,one,4,N/A,N/A,N/A,N/A,N/A
15,15.png,three hundred one,three hundred,2,3,N/A,N/A,N/A,N/A
16,16.png,eighty nine,eighty,3,N/A,N/A,N/A,N/A,N/A
17,17.png,eight hundred nine,six hundred,2,4,N/A,N/A,N/A,N/A
18,18.png,three hundred seven,three hundred,2,2,N/A,N/A,N/A,N/A
19,19.png,three hundred sixty seven,three hundred twenty,2,2,2,N/A,N/A,N/A
20,20.png,thirteen,three,4,N/A,N/A,N/A,N/A,N/A
21,21.png,forty two,four hundred,3,4,N/A,N/A,N/A,N/A
22,22.png,five hundred eight,six hundred,4,4,N/A,N/A,N/A,N/A
23,23.png,five hundred eighty,six hundred,3,3,N/A,N/A,N/A,N/A
24,24.png,two thousand three,two thousand five,1,2,2,N/A,N/A,N/A
25,25.png,two thousand thirty,two thousand six,1,4,4,N/A,N/A,N/A
26,26.png,three hundred six,three hundred,2,2,N/A,N/A,N/A,N/A
27,27.png,three hundred sixty,three hundred twenty,2,2,2,N/A,N/A,N/A
28,28.png,seven,seven,4,N/A,N/A,N/A,N/A,N/A
29,29.png,eighteen,eighty,4,N/A,N/A,N/A,N/A,N/A
30,30.png,five,five,4,N/A,N/A,N/A,N/A,N/A
31,31.png,eight,eight,4,N/A,N/A,N/A,N/A,N/A
32,32.png,five hundred,five hundred,2,4,N/A,N/A,N/A,N/A
33,33.png,five thousand,three thousand five,1,2,2,N/A,N/A,N/A
34,34.png,thirty six,three,3,N/A,N/A,N/A,N/A,N/A
35,35.png,five hundred nine,five hundred,4,4,N/A,N/A,N/A,N/A
36,36.png,forty two,four hundred,3,4,N/A,N/A,N/A,N/A
37,37.png,four hundred twenty,four hundred twenty,2,4,4,N/A,N/A,N/A
38,38.png,twenty seven,two,3,N/A,N/A,N/A,N/A,N/A
39,39.png,two hundred seven,two hundred sixty,2,3,3,N/A,N/A,N/A
40,40.png,six hundred eight,six hundred,4,4,N/A,N/A,N/A,N/A
41,41.png,six hundred fifty eight,six hundred,4,4,N/A,N/A,N/A,N/A
42,42.png,seventeen,one,4,N/A,N/A,N/A,N/A,N/A
43,43.png,twenty eight,two,3,N/A,N/A,N/A,N/A,N/A
44,44.png,five hundred sixty seven,five hundred twenty,2,4,4,N/A,N/A,N/A
45,45.png,five hundred seventy six,five hundred twenty,2,4,4,N/A,N/A,N/A
46,46.png,one,one,4,N/A,N/A,N/A,N/A,N/A
47,47.png,nine,nine,4,N/A,N/A,N/A,N/A,N/A
