,Image,Label,Prediction,Word_1_attention_region,Word_2_attention_region,Word_3_attention_region,Word_4_attention_region,Word_5_attention_region,Word_6_attention_region
0,0.png,seventy eight,fifteen eleven,3,3,N/A,N/A,N/A,N/A
1,1.png,eight hundred seven,fifteen one eleven,4,4,4,N/A,N/A,N/A
2,2.png,sixty four,seventy eleven,3,3,N/A,N/A,N/A,N/A
3,3.png,six hundred four,one one hundred,4,4,4,N/A,N/A,N/A
4,4.png,eighty five,fifteen eleven,4,3,N/A,N/A,N/A,N/A
5,5.png,eight hundred fifty,one one eleven,2,2,2,N/A,N/A,N/A
6,6.png,thirty six,fifteen eleven,3,4,N/A,N/A,N/A,N/A
7,7.png,three hundred six,ten one one,2,4,4,N/A,N/A,N/A
8,8.png,twelve,seventy,4,N/A,N/A,N/A,N/A,N/A
9,9.png,twenty two,seventy ten,4,4,N/A,N/A,N/A,N/A
10,10.png,four hundred,seventy seventy,2,2,N/A,N/A,N/A,N/A
11,11.png,four thousand,ten ten,1,1,N/A,N/A,N/A,N/A
12,12.png,seventy six,fifteen eleven,3,3,N/A,N/A,N/A,N/A
13,13.png,seven hundred sixty,fifteen ten eleven,2,2,2,N/A,N/A,N/A
14,14.png,thirty one,fifteen fifteen,4,4,N/A,N/A,N/A,N/A
15,15.png,three hundred one,fifteen seventy seventy,4,4,4,N/A,N/A,N/A
16,16.png,eighty nine,fifteen hundred,3,3,N/A,N/A,N/A,N/A
17,17.png,eight hundred nine,one hundred hundred,2,2,2,N/A,N/A,N/A
18,18.png,three hundred seven,fifteen seventy seventy,4,4,4,N/A,N/A,N/A
19,19.png,three hundred sixty seven,ten ten seventy eleven,4,4,4,4,N/A,N/A
20,20.png,thirteen,fifteen,3,N/A,N/A,N/A,N/A,N/A
21,21.png,forty two,seventy seventy,4,4,N/A,N/A,N/A,N/A
22,22.png,five hundred eight,ten eleven eleven,4,4,4,N/A,N/A,N/A
23,23.png,five hundred eighty,one one one,3,3,3,N/A,N/A,N/A
24,24.png,two thousand three,ten hundred seventy,1,1,1,N/A,N/A,N/A
25,25.png,two thousand thirty,ten hundred hundred,1,1,1,N/A,N/A,N/A
26,26.png,three hundred six,ten one one,2,4,4,N/A,N/A,N/A
27,27.png,three hundred sixty,one one one,2,4,4,N/A,N/A,N/A
28,28.png,seven,seventy,4,N/A,N/A,N/A,N/A,N/A
29,29.png,eighteen,fifteen,3,N/A,N/A,N/A,N/A,N/A
30,30.png,five,hundred,4,N/A,N/A,N/A,N/A,N/A
31,31.png,eight,eight,4,N/A,N/A,N/A,N/A,N/A
32,32.png,five hundred,one one,2,4,N/A,N/A,N/A,N/A
33,33.png,five thousand,one one,1,1,N/A,N/A,N/A,N/A
34,34.png,thirty six,fifteen eleven,3,4,N/A,N/A,N/A,N/A
35,35.png,five hundred nine,one one one,2,2,2,N/A,N/A,N/A
36,36.png,forty two,seventy seventy,4,4,N/A,N/A,N/A,N/A
37,37.png,four hundred twenty,seventy seventy seventy,2,2,2,N/A,N/A,N/A
38,38.png,twenty seven,fifteen fifteen,4,4,N/A,N/A,N/A,N/A
39,39.png,two hundred seven,fifteen seventy seventy,4,4,4,N/A,N/A,N/A
40,40.png,six hundred eight,one hundred eleven,4,4,4,N/A,N/A,N/A
41,41.png,six hundred fifty eight,one eleven eleven eleven,4,4,4,4,N/A,N/A
42,42.png,seventeen,fifteen,3,N/A,N/A,N/A,N/A,N/A
43,43.png,twenty eight,fifteen eleven,3,3,N/A,N/A,N/A,N/A
44,44.png,five hundred sixty seven,one one eleven eleven,4,4,4,4,N/A,N/A
45,45.png,five hundred seventy six,fifteen eleven eleven eleven,3,3,3,3,N/A,N/A
46,46.png,one,sixty,4,N/A,N/A,N/A,N/A,N/A
47,47.png,nine,hundred,4,N/A,N/A,N/A,N/A,N/A
