,Image,Label,Prediction,Word_1_attention_region,Word_2_attention_region,Word_3_attention_region,Word_4_attention_region,Word_5_attention_region,Word_6_attention_region
0,0.png,two hundred six,fifty fifty thirty,3,3,3,N/A,N/A,N/A
1,1.png,two hundred sixty,eighty thirty thirty,3,3,3,N/A,N/A,N/A
2,2.png,one hundred,ten thirty,2,2,N/A,N/A,N/A,N/A
3,3.png,one thousand,ten thirty,1,1,N/A,N/A,N/A,N/A
4,4.png,sixty seven,eighty thirty,3,3,N/A,N/A,N/A,N/A
5,5.png,six hundred seventy,fifty thirty thirty,2,4,4,N/A,N/A,N/A
6,6.png,one thousand two,thirty thirty thirty,1,1,1,N/A,N/A,N/A
7,7.png,one thousand twenty,ten thirty thirty,1,1,1,N/A,N/A,N/A
8,8.png,twenty one,eighty thirty,4,4,N/A,N/A,N/A,N/A
9,9.png,two hundred one,ten thirty thirty,4,4,4,N/A,N/A,N/A
10,10.png,one hundred five,ten thirty thirty,2,2,2,N/A,N/A,N/A
11,11.png,one hundred twenty five,seventy thirty thirty thirty,2,2,2,2,N/A,N/A
12,12.png,three hundred five,forty thirty thirty,4,3,3,N/A,N/A,N/A
13,13.png,three hundred fifty,fifty thirty thirty,4,4,4,N/A,N/A,N/A
14,14.png,forty two,eighty seven,3,3,N/A,N/A,N/A,N/A
15,15.png,four hundred two,seven thirty thirty,3,3,3,N/A,N/A,N/A
16,16.png,five,forty,4,N/A,N/A,N/A,N/A,N/A
17,17.png,fifteen,seventy,3,N/A,N/A,N/A,N/A,N/A
18,18.png,eleven,hundred,4,N/A,N/A,N/A,N/A,N/A
19,19.png,twenty four,eighty seven,4,4,N/A,N/A,N/A,N/A
20,20.png,two,eighty,4,N/A,N/A,N/A,N/A,N/A
21,21.png,eight,forty,4,N/A,N/A,N/A,N/A,N/A
22,22.png,twenty five,seventy thirty,4,4,N/A,N/A,N/A,N/A
23,23.png,four hundred five,fifty thirty thirty,3,3,3,N/A,N/A,N/A
24,24.png,sixty two,eighty fifty,3,3,N/A,N/A,N/A,N/A
25,25.png,six hundred two,ten thirty thirty,2,2,2,N/A,N/A,N/A
26,26.png,twenty one,eighty thirty,4,4,N/A,N/A,N/A,N/A
27,27.png,two hundred ten,ten ten thirty,4,4,4,N/A,N/A,N/A
28,28.png,twenty four,eighty seven,4,4,N/A,N/A,N/A,N/A
29,29.png,two hundred four,fifty thirty thirty,3,3,3,N/A,N/A,N/A
30,30.png,seventeen,seventy,3,N/A,N/A,N/A,N/A,N/A
31,31.png,twenty one,eighty thirty,4,4,N/A,N/A,N/A,N/A
32,32.png,thirty five,forty forty,4,4,N/A,N/A,N/A,N/A
33,33.png,three hundred five,forty thirty thirty,4,3,3,N/A,N/A,N/A
34,34.png,forty seven,eighty seven,3,3,N/A,N/A,N/A,N/A
35,35.png,four hundred seventy,eighty seven two,3,4,4,N/A,N/A,N/A
36,36.png,nineteen,forty,4,N/A,N/A,N/A,N/A,N/A
37,37.png,one hundred nine,ten fifty thirty,2,2,2,N/A,N/A,N/A
38,38.png,sixteen,seventy,4,N/A,N/A,N/A,N/A,N/A
39,39.png,one hundred six,ten thirty thirty,2,2,2,N/A,N/A,N/A
40,40.png,fifty three,seventy thirty,4,3,N/A,N/A,N/A,N/A
41,41.png,eighty,eighty,3,N/A,N/A,N/A,N/A,N/A
42,42.png,two hundred sixteen,ten thirty thirty,4,4,4,N/A,N/A,N/A
43,43.png,two hundred sixty one,eighty thirty thirty thirty,3,3,3,3,N/A,N/A
44,44.png,four hundred twelve,eighty seven two,3,3,3,N/A,N/A,N/A
45,45.png,four hundred twenty one,seven seven two two,4,4,4,4,N/A,N/A
46,46.png,six,eighty,4,N/A,N/A,N/A,N/A,N/A
47,47.png,thirteen,seventy,3,N/A,N/A,N/A,N/A,N/A
