,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct,predicted_foil_numbers,predicted_target_numbers,true_foil_numbers,true_target_numbers
0,two hundred and six,0.png,two hundred,8,1.png,two hundred and sixty,two hundred,8,0,200,200,260,206
1,one hundred,2.png,two hundred and,7,3.png,one thousand,two hundred,3,0,200,200,1000,100
2,sixty seven,4.png,two hundred,10,5.png,six hundred and seventy,two hundred and,13,1,200,200,670,67
3,one thousand and two,6.png,two hundred,14,7.png,one thousand and twenty,two hundred,14,0,200,200,1020,1002
4,twenty one,8.png,three hundred,10,9.png,two hundred and one,two hundred and,10,0,200,300,201,21
5,one hundred and five,10.png,three hundred and,9,11.png,one hundred and twenty five,two hundred and,8,0,200,300,125,105
6,three hundred and five,12.png,three hundred and,5,13.png,three hundred and fifty,three hundred,9,1,300,300,350,305
7,forty two,14.png,four hundred and,12,15.png,four hundred and two,two hundred and,12,0,200,400,402,42
8,five,16.png,two hundred,10,17.png,fifteen,three hundred,12,1,300,200,15,5
9,eleven,18.png,one,5,19.png,twenty four,four hundred and,14,1,400,1,24,11
10,two,20.png,two hundred,8,21.png,eight,three,4,0,3,200,8,2
11,twenty five,22.png,two hundred,9,23.png,four hundred and five,three hundred and,14,1,300,200,405,25
12,sixty two,24.png,two hundred,11,25.png,six hundred and two,two hundred,11,0,200,200,602,62
13,twenty one,26.png,three hundred,10,27.png,two hundred and ten,two hundred and,10,0,200,300,210,21
14,twenty four,28.png,four hundred and,15,29.png,two hundred and four,two hundred,9,0,200,400,204,24
15,seventeen,30.png,four hundred and,13,31.png,twenty one,three hundred,10,0,300,400,21,17
16,thirty five,32.png,three hundred,9,33.png,three hundred and five,three hundred and,13,1,300,300,305,35
17,forty seven,34.png,four hundred and,11,35.png,four hundred and seventy,four hundred and,11,0,400,400,470,47
18,nineteen,36.png,three hundred,11,37.png,one hundred and nine,two hundred,10,0,200,300,109,19
19,sixteen,38.png,three hundred,11,39.png,one hundred and six,two hundred and,13,1,200,300,106,16
20,fifty three,40.png,three hundred,10,41.png,eighty,two hundred,9,0,200,300,80,53
21,two hundred and sixteen,42.png,two hundred and,8,43.png,two hundred and sixty one,two hundred and,8,0,200,200,261,216
22,four hundred and twelve,44.png,four hundred and,7,45.png,four hundred and twenty one,four hundred and,7,0,400,400,421,412
23,six,46.png,two,3,47.png,thirteen,three hundred,13,1,300,2,13,6
