,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,seventy eight,0.png,eighty,9,1.png,eight hundred seven,two hundred,13,1
1,sixty four,2.png,four,6,3.png,six hundred four,four hundred twenty,18,1
2,eighty five,4.png,five,7,5.png,eight hundred fifty,two hundred,11,1
3,thirty six,6.png,five,9,7.png,three hundred six,three hundred,10,1
4,twelve,8.png,one hundred,9,9.png,twenty two,twenty hundred,10,1
5,four hundred,10.png,four hundred,0,11.png,four thousand,one thousand five,12,1
6,seventy six,12.png,one hundred,11,13.png,seven hundred sixty,two hundred,11,0
7,thirty one,14.png,fifteen,7,15.png,three hundred one,three hundred,8,1
8,eighty nine,16.png,eighty,5,17.png,eight hundred nine,two hundred sixty,14,1
9,three hundred seven,18.png,three hundred,6,19.png,three hundred sixty seven,three hundred twenty,5,0
10,thirteen,20.png,one,7,21.png,forty two,four hundred,10,1
11,five hundred eight,22.png,two hundred,10,23.png,five hundred eighty,two hundred,10,0
12,two thousand three,24.png,two thousand two,4,25.png,two thousand thirty,two thousand five,4,0
13,three hundred six,26.png,three hundred,4,27.png,three hundred sixty,three hundred,4,0
14,seven,28.png,seven,0,29.png,eighteen,eighty,6,1
15,five,30.png,five,0,31.png,eight,eight,4,1
16,five hundred,32.png,two hundred,4,33.png,five thousand,three thousand five,13,1
17,thirty six,34.png,five,9,35.png,five hundred nine,three hundred,10,1
18,forty two,36.png,four hundred,9,37.png,four hundred twenty,four hundred seventy,16,1
19,twenty seven,38.png,twenty hundred,6,39.png,two hundred seven,two hundred sixty,12,1
20,six hundred eight,40.png,six hundred,6,41.png,six hundred fifty eight,two hundred,9,1
21,seventeen,42.png,one,7,43.png,twenty eight,two,8,1
22,five hundred sixty seven,44.png,five hundred twenty,9,45.png,five hundred seventy six,five hundred twenty,9,0
23,one,46.png,one,0,47.png,nine,nine,2,1
