,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct,predicted_foil_numbers,predicted_target_numbers,true_foil_numbers,true_target_numbers
0,seven ty eight,0.png,four hundred,13,1.png,eight hundred and seven,four hundred and,15,1,400,400,807,78
1,six ty four,2.png,four hundred and,15,3.png,six hundred and four,four thousand and,15,0,4000,400,604,64
2,eigh ty five,4.png,five hundred and ty,16,5.png,eight hundred and fif ty,four hundred,11,0,400,N/A,850,85
3,thir ty six,6.png,three hundred and,13,7.png,three hundred and six,three hundred and,13,0,300,300,306,36
4,twelve,8.png,one hundred and,13,9.png,twen ty two,two hundred and ty,15,1,N/A,100,22,12
5,four hundred,10.png,four thousand,6,11.png,four thousand,two thousand,10,1,2000,4000,4000,400
6,seven ty six,12.png,four hundred,12,13.png,seven hundred and six ty,four thousand and,15,1,4000,400,760,76
7,thir ty one,14.png,one hundred five,13,15.png,three hundred and one,three hundred and,12,0,300,105,301,31
8,eigh ty nine,16.png,two hundred,10,17.png,eight hundred and nine,two thousand,10,0,2000,200,809,89
9,three hundred and seven,18.png,three hundred and ty,5,19.png,three hundred and six ty seven,five hundred and ty,9,1,N/A,N/A,367,307
10,thir teen,20.png,one hundred and,12,21.png,for ty two,four hundred and,12,0,400,100,42,13
11,five hundred and eight,22.png,five hundred and ty,5,23.png,five hundred and eigh ty,three hundred and ty,9,1,N/A,N/A,580,508
12,two thousand and three,24.png,two thousand and,6,25.png,two thousand and thir ty,two thousand,10,1,2000,2000,2030,2003
13,three hundred and six,26.png,three hundred and,4,27.png,three hundred and six ty,five hundred and ty,7,1,N/A,300,360,306
14,seven,28.png,seven,0,29.png,eigh teen,four hundred,11,1,400,7,18,7
15,five,30.png,three,4,31.png,eight,two,4,0,2,3,8,5
16,five hundred,32.png,five hundred and ty,7,33.png,five thousand,five thousand,6,1,5000,N/A,5000,500
17,thir ty six,34.png,three hundred and,13,35.png,five hundred and nine,five hundred and,14,1,500,300,509,36
18,for ty two,36.png,four hundred and,11,37.png,four hundred and twen ty,four thousand and,11,0,4000,400,420,42
19,twen ty seven,38.png,four hundred and ty,16,39.png,two hundred and seven,two thousand,9,0,2000,N/A,207,27
20,six hundred and eight,40.png,six hundred and,6,41.png,six hundred and fif ty eight,six hundred and,6,0,600,600,658,608
21,seven teen,42.png,four hundred and,13,43.png,twen ty eight,two hundred,10,0,200,400,28,17
22,five hundred and six ty seven,44.png,five hundred and twen ty,10,45.png,five hundred and seven ty six,five hundred and twen ty,10,0,520,520,576,567
23,one,46.png,one,0,47.png,nine,one,0,1,1,1,9,1
