,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,seventy eight,0.png,ten ten,10,1.png,eight hundred seven,ten ten ten,11,1
1,sixty four,2.png,ten ten,9,3.png,six hundred four,ten ten ten,10,1
2,eighty five,4.png,ten ten,10,5.png,eight hundred fifty,ten ten ten,10,0
3,thirty six,6.png,ten ten,8,7.png,three hundred six,ten ten ten,8,0
4,twelve,8.png,ten,4,9.png,twenty two,ten ten,5,1
5,four hundred,10.png,ten ten,10,11.png,four thousand,ten ten,10,0
6,seventy six,12.png,ten ten,8,13.png,seven hundred sixty,ten ten ten,9,1
7,thirty one,14.png,ten ten,7,15.png,three hundred one,ten ten ten,8,1
8,eighty nine,16.png,ten ten,9,17.png,eight hundred nine,ten ten ten,9,0
9,three hundred seven,18.png,ten ten ten,12,19.png,three hundred sixty seven,ten ten ten ten,11,0
10,thirteen,20.png,ten,5,21.png,forty two,ten ten,4,0
11,five hundred eight,22.png,ten ten ten,14,23.png,five hundred eighty,ten ten ten,14,0
12,two thousand three,24.png,ten ten ten,11,25.png,two thousand thirty,ten ten ten,11,0
13,three hundred six,26.png,ten ten ten,12,27.png,three hundred sixty,ten ten ten,12,0
14,seven,28.png,ten,3,29.png,eighteen,ten,3,0
15,five,30.png,ten,4,31.png,eight,eighty,5,1
16,five hundred,32.png,ten ten,9,33.png,five thousand,ten ten,9,0
17,thirty six,34.png,ten ten,8,35.png,five hundred nine,ten ten ten,8,0
18,forty two,36.png,ten ten,7,37.png,four hundred twenty,ten ten ten,8,1
19,twenty seven,38.png,ten ten,6,39.png,two hundred seven,ten ten ten,7,1
20,six hundred eight,40.png,ten ten ten,14,41.png,six hundred fifty eight,ten ten ten ten,13,0
21,seventeen,42.png,seventeen,0,43.png,twenty eight,ten ten,5,1
22,five hundred sixty seven,44.png,ten ten ten ten,17,45.png,five hundred seventy six,ten ten ten ten,17,0
23,one,46.png,ten,3,47.png,nine,ten,3,0
