,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct,true_target_numbers,true_foil_numbers,predicted_target_numbers,predicted_foil_numbers
0,two hundred and six,0.png,three three three three,1.png,two hundred and sixty,three three three three,True,206,260,12,12
1,one hundred,2.png,three three,3.png,one thousand,fifty three,True,100,1000,6,53
2,sixty seven,4.png,fifty fifty,5.png,six hundred and seventy,three three three three,False,67,670,100,12
3,one thousand and two,6.png,fifty fifty three three,7.png,one thousand and twenty,three three three three,True,1002,1020,106,12
4,twenty one,8.png,fifty fifty,9.png,two hundred and one,three three three three,True,21,201,100,12
5,one hundred and five,10.png,fifty fifty fifty three,11.png,one hundred and twenty five,fifty fifty fifty and and,True,105,125,153,150
6,three hundred and five,12.png,three three three three,13.png,three hundred and fifty,three three three three,False,305,350,12,12
7,forty two,14.png,fifty fifty,15.png,four hundred and two,fifty fifty fifty three,True,42,402,100,153
8,five,16.png,fifty,17.png,fifteen,fifty,False,5,15,50,50
9,eleven,18.png,fifty,19.png,twenty four,fifty fifty,False,11,24,50,100
10,two,20.png,fifty,21.png,eight,fifty,True,2,8,50,50
11,twenty five,22.png,fifty fifty,23.png,four hundred and five,fifty fifty fifty fifty,False,25,405,100,200
12,sixty two,24.png,fifty fifty,25.png,six hundred and two,three three three three,True,62,602,100,12
13,twenty one,26.png,fifty fifty,27.png,two hundred and ten,three three three three,False,21,210,100,12
14,twenty four,28.png,fifty fifty,29.png,two hundred and four,three three three three,True,24,204,100,12
15,seventeen,30.png,fifty,31.png,twenty one,fifty fifty,True,17,21,50,100
16,thirty five,32.png,fifty fifty,33.png,three hundred and five,three three three three,False,35,305,100,12
17,forty seven,34.png,fifty fifty,35.png,four hundred and seventy,fifty fifty fifty fifty,False,47,470,100,200
18,nineteen,36.png,fifty,37.png,one hundred and nine,three three three three,False,19,109,50,12
19,sixteen,38.png,fifty,39.png,one hundred and six,fifty three three three,False,16,106,50,59
20,fifty three,40.png,fifty fifty,41.png,eighty,fifty,True,53,80,100,50
21,two hundred and sixteen,42.png,fifty fifty fifty three,43.png,two hundred and sixty one,three three three three three,False,216,261,153,15
22,four hundred and twelve,44.png,fifty fifty fifty fifty,45.png,four hundred and twenty one,fifty fifty fifty fifty fifty,False,412,421,200,250
23,six,46.png,fifty,47.png,thirteen,fifty,True,6,13,50,50
