,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,two hundred six,0.png,fifty fifty sixty,13,1.png,two hundred sixty,fifty fifty fifty,15,1
1,one hundred,2.png,fifty sixty,11,3.png,one thousand,fifty sixty,11,0
2,sixty seven,4.png,fifty fifty,7,5.png,six hundred seventy,fifty fifty sixty,12,1
3,one thousand two,6.png,eighty sixty sixty,16,7.png,one thousand twenty,fifty sixty sixty,16,0
4,twenty one,8.png,fifty fifty,9,9.png,two hundred one,fifty fifty sixty,13,1
5,one hundred five,10.png,fifty sixty sixty,15,11.png,one hundred twenty five,fifty fifty fifty sixty,20,1
6,three hundred five,12.png,fifty fifty <pad>,17,13.png,three hundred fifty,fifty fifty <pad>,17,0
7,forty two,14.png,fifty fifty,7,15.png,four hundred two,fifty fifty fifty,12,1
8,five,16.png,fifty,3,17.png,fifteen,fifty,3,0
9,eleven,18.png,fifty,6,19.png,twenty four,fifty fifty,11,1
10,two,20.png,fifty,5,21.png,eight,fifty,5,0
11,twenty five,22.png,fifty fifty,7,23.png,four hundred five,fifty fifty fifty,11,1
12,sixty two,24.png,fifty fifty,7,25.png,six hundred two,fifty fifty sixty,12,1
13,twenty one,26.png,fifty fifty,9,27.png,two hundred ten,fifty fifty sixty,13,1
14,twenty four,28.png,fifty fifty,8,29.png,two hundred four,fifty fifty fifty,12,1
15,seventeen,30.png,fifty,8,31.png,twenty one,fifty fifty,11,1
16,thirty five,32.png,fifty fifty,6,33.png,three hundred five,fifty fifty <pad>,12,1
17,forty seven,34.png,fifty fifty,7,35.png,four hundred seventy,fifty fifty fifty,13,1
18,nineteen,36.png,fifty,6,37.png,one hundred nine,fifty sixty sixty,15,1
19,sixteen,38.png,fifty,5,39.png,one hundred six,fifty sixty sixty,13,1
20,fifty three,40.png,fifty fifty,5,41.png,eighty,fifty,6,1
21,two hundred sixteen,42.png,fifty fifty sixty,14,43.png,two hundred sixty one,fifty fifty fifty fifty,20,1
22,four hundred twelve,44.png,fifty fifty fifty,17,45.png,four hundred twenty one,fifty fifty fifty fifty,20,1
23,six,46.png,fifty,4,47.png,thirteen,fifty,4,0
