,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,seventy eight,0.png,seven one,7,1.png,eight hundred seven,five one one,10,1
1,sixty four,2.png,five seven,9,3.png,six hundred four,five five one,10,1
2,eighty five,4.png,five five,5,5.png,eight hundred fifty,five five five,8,1
3,thirty six,6.png,five five,8,7.png,three hundred six,five seven seven,14,1
4,twelve,8.png,seven,4,9.png,twenty two,five one,6,1
5,four hundred,10.png,five seven,9,11.png,four thousand,seven seven,11,1
6,seventy six,12.png,five one,8,13.png,seven hundred sixty,five one one,9,1
7,thirty one,14.png,five one,5,15.png,three hundred one,seven seven seven,15,1
8,eighty nine,16.png,five five,7,17.png,eight hundred nine,five seven one,10,1
9,three hundred seven,18.png,seven seven seven,10,19.png,three hundred sixty seven,seven seven one one,15,1
10,thirteen,20.png,seven,6,21.png,forty two,seven seven,8,1
11,five hundred eight,22.png,five seven one,11,23.png,five hundred eighty,five seven one,11,0
12,two thousand three,24.png,five seven one,15,25.png,two thousand thirty,five seven seven,15,0
13,three hundred six,26.png,five seven seven,14,27.png,three hundred sixty,five seven seven,14,0
14,seven,28.png,five,3,29.png,eighteen,seven,0,0
15,five,30.png,five,0,31.png,eight,five,0,0
16,five hundred,32.png,five five,6,33.png,five thousand,five five,6,0
17,thirty six,34.png,five five,8,35.png,five hundred nine,five five five,12,1
18,forty two,36.png,seven seven,10,37.png,four hundred twenty,seven seven seven,16,1
19,twenty seven,38.png,five one,10,39.png,two hundred seven,five one one,11,1
20,six hundred eight,40.png,five seven one,14,41.png,six hundred fifty eight,five five one one,15,1
21,seventeen,42.png,seven,4,43.png,twenty eight,five one,6,1
22,five hundred sixty seven,44.png,five one one one,14,45.png,five hundred seventy six,five one one one,14,0
23,one,46.png,fourteen,6,47.png,nine,five,3,0
