,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,two hundred six,0.png,<start> eight eight,16,1.png,two hundred sixty,<start> eight eight,16,0
1,one hundred,2.png,<start> eight,13,3.png,one thousand,sixty sixty,11,0
2,sixty seven,4.png,<start> eight,10,5.png,six hundred seventy,<start> eight eight,15,1
3,one thousand two,6.png,sixty sixty hundred,17,7.png,one thousand twenty,sixty sixty eight,16,0
4,twenty one,8.png,sixty eight,9,9.png,two hundred one,<start> eight eight,16,1
5,one hundred five,10.png,<start> eight eight,17,11.png,one hundred twenty five,<start> eight eight eight,21,1
6,three hundred five,12.png,sixty sixty eight,16,13.png,three hundred fifty,sixty sixty eight,16,0
7,forty two,14.png,<start> sixty,10,15.png,four hundred two,sixty sixty eight,13,1
8,five,16.png,<start>,7,17.png,fifteen,<start>,7,0
9,eleven,18.png,sixty,6,19.png,twenty four,<start> eight,12,1
10,two,20.png,<start>,6,21.png,eight,<start>,6,0
11,twenty five,22.png,<start> eight,10,23.png,four hundred five,<start> eight eight,15,1
12,sixty two,24.png,<start> eight,10,25.png,six hundred two,<start> eight hundred,17,1
13,twenty one,26.png,sixty eight,9,27.png,two hundred ten,<start> eight eight,16,1
14,twenty four,28.png,<start> eight,11,29.png,two hundred four,<start> eight eight,16,1
15,seventeen,30.png,sixty,7,31.png,twenty one,sixty eight,9,1
16,thirty five,32.png,sixty eight,7,33.png,three hundred five,sixty sixty eight,11,1
17,forty seven,34.png,sixty forty,8,35.png,four hundred seventy,<start> sixty eight,14,1
18,nineteen,36.png,<start>,8,37.png,one hundred nine,sixty eight eight,13,1
19,sixteen,38.png,<start>,7,39.png,one hundred six,<start> eight eight,15,1
20,fifty three,40.png,<start> eight,11,41.png,eighty,<start>,9,0
21,two hundred sixteen,42.png,<start> eight eight,18,43.png,two hundred sixty one,<start> eight eight eight,20,1
22,four hundred twelve,44.png,sixty sixty eight,18,45.png,four hundred twenty one,sixty eight eight eight,19,1
23,six,46.png,<start>,6,47.png,thirteen,sixty,2,0
