,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct,true_target_numbers,true_foil_numbers,predicted_target_numbers,predicted_foil_numbers
0,seventy eight,0.png,seventy seventy,1.png,eight hundred seven,seventy seventy one,False,0,0,0,0
1,sixty four,2.png,eleven one,3.png,six hundred four,seventeen one one,False,0,0,0,0
2,eighty five,4.png,eleven seventy,5.png,eight hundred fifty,seventeen one seventy,True,0,0,0,0
3,thirty six,6.png,eleven one,7.png,three hundred six,one one one,True,0,0,0,0
4,twelve,8.png,one,9.png,twenty two,one one,False,0,0,0,0
5,four hundred,10.png,one one,11.png,four thousand,one one,False,0,0,0,0
6,seventy six,12.png,one one,13.png,seven hundred sixty,one one one,True,0,0,0,0
7,thirty one,14.png,eleven one,15.png,three hundred one,one one one,True,0,0,0,0
8,eighty nine,16.png,eleven one,17.png,eight hundred nine,sixty seventy seventy,True,0,0,0,0
9,three hundred seven,18.png,one one one,19.png,three hundred sixty seven,seventy one one one,True,0,0,0,0
10,thirteen,20.png,eleven,21.png,forty two,one one,True,0,0,0,0
11,five hundred eight,22.png,seventy seventy seventy,23.png,five hundred eighty,seventy seventy seventy,False,0,0,0,0
12,two thousand three,24.png,seventeen seventeen seventeen,25.png,two thousand thirty,seventeen seventeen seventeen,False,0,0,0,0
13,three hundred six,26.png,one one one,27.png,three hundred sixty,seventeen one one,False,0,0,0,0
14,seven,28.png,sixty,29.png,eighteen,eleven,False,0,0,0,0
15,five,30.png,eleven,31.png,eight,eleven,False,0,0,0,0
16,five hundred,32.png,seventeen seventeen,33.png,five thousand,seventeen seventeen,False,0,0,0,0
17,thirty six,34.png,eleven one,35.png,five hundred nine,seventeen one one,True,0,0,0,0
18,forty two,36.png,one one,37.png,four hundred twenty,one one one,True,0,0,0,0
19,twenty seven,38.png,one one,39.png,two hundred seven,one one one,False,0,0,0,0
20,six hundred eight,40.png,seventeen seventy seventy,41.png,six hundred fifty eight,seventy seventy seventy seventy,False,0,0,0,0
21,seventeen,42.png,one,43.png,twenty eight,hundred one,False,0,0,0,0
22,five hundred sixty seven,44.png,seventy one one one,45.png,five hundred seventy six,one one one one,False,0,0,0,0
23,one,46.png,fifteen,47.png,nine,eleven,False,0,0,0,0
