,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct,true_target_numbers,true_foil_numbers,predicted_target_numbers,predicted_foil_numbers
0,two hundred six,0.png,seventy <unk> <unk>,1.png,two hundred sixty,seventy <unk> <unk>,False,0,0,0,0
1,one hundred,2.png,twelve <unk>,3.png,one thousand,twelve <unk>,False,0,0,0,0
2,sixty seven,4.png,<unk> <unk>,5.png,six hundred seventy,<unk> <unk> <unk>,True,0,0,0,0
3,one thousand two,6.png,twelve <unk> <unk>,7.png,one thousand twenty,twelve <unk> <unk>,False,0,0,0,0
4,twenty one,8.png,fourteen <unk>,9.png,two hundred one,fourteen <unk> <unk>,False,0,0,0,0
5,one hundred five,10.png,twelve <unk> <unk>,11.png,one hundred twenty five,fourteen <unk> <unk> <unk>,False,0,0,0,0
6,three hundred five,12.png,fourteen twelve ninety,13.png,three hundred fifty,fourteen <unk> ninety,False,0,0,0,0
7,forty two,14.png,seventy nineteen,15.png,four hundred two,seventy <unk> <unk>,True,0,0,0,0
8,five,16.png,eighteen,17.png,fifteen,eighteen,False,0,0,0,0
9,eleven,18.png,eighteen,19.png,twenty four,seventy nineteen,False,0,0,0,0
10,two,20.png,seventy,21.png,eight,seventy,True,0,0,0,0
11,twenty five,22.png,seventy <unk>,23.png,four hundred five,seventy twelve <unk>,True,0,0,0,0
12,sixty two,24.png,seventy <unk>,25.png,six hundred two,seventy <unk> <unk>,True,0,0,0,0
13,twenty one,26.png,fourteen <unk>,27.png,two hundred ten,<unk> <unk> <unk>,False,0,0,0,0
14,twenty four,28.png,seventy nineteen,29.png,two hundred four,seventy <unk> <unk>,True,0,0,0,0
15,seventeen,30.png,nineteen,31.png,twenty one,fourteen <unk>,False,0,0,0,0
16,thirty five,32.png,fourteen ninety,33.png,three hundred five,fourteen twelve ninety,False,0,0,0,0
17,forty seven,34.png,nineteen nineteen,35.png,four hundred seventy,seventy seventy <unk>,False,0,0,0,0
18,nineteen,36.png,eighteen,37.png,one hundred nine,seventy <unk> <unk>,False,0,0,0,0
19,sixteen,38.png,eighteen,39.png,one hundred six,<unk> <unk> <unk>,True,0,0,0,0
20,fifty three,40.png,fourteen <unk>,41.png,eighty,seventy,True,0,0,0,0
21,two hundred sixteen,42.png,<unk> <unk> <unk>,43.png,two hundred sixty one,fourteen <unk> <unk> <unk>,False,0,0,0,0
22,four hundred twelve,44.png,seventy nineteen nineteen,45.png,four hundred twenty one,fourteen nineteen nineteen nineteen,True,0,0,0,0
23,six,46.png,seventy,47.png,thirteen,fourteen,True,0,0,0,0
