,,Time_0,Time_1,Time_2,Time_3
sixty seven,<pad>,-0.555881,-0.19330285,,
sixty seven,one,2.3563094,-0.13099949,,
sixty seven,two,4.505558,-0.19034591,,
sixty seven,three,-0.31998327,-0.18988664,,
sixty seven,four,0.15106009,-0.17056634,,
sixty seven,five,0.50643104,-0.1596135,,
sixty seven,six,0.11748418,-0.18985716,,
sixty seven,seven,-0.32233682,-0.19024473,,
sixty seven,eight,0.27876335,-0.18648863,,
sixty seven,nine,-0.28797865,-0.19063723,,
sixty seven,ten,-0.55594057,-0.19333854,,
sixty seven,eleven,-0.5614463,-0.1931053,,
sixty seven,twelve,-0.5450141,-0.1916515,,
sixty seven,thirteen,-0.49315867,-0.19264346,,
sixty seven,fourteen,-0.46611047,-0.19162655,,
sixty seven,fifteen,-0.37755683,-0.18906596,,
sixty seven,sixteen,-0.11774236,-0.18913351,,
sixty seven,seventeen,-0.5649506,-0.19285485,,
sixty seven,eighteen,-0.54421085,-0.19323736,,
sixty seven,nineteen,0.9746543,-0.18136829,,
sixty seven,twenty,0.844355,-0.18241881,,
sixty seven,thirty,-0.18564701,-0.18393344,,
sixty seven,forty,-0.36533087,-0.1837719,,
sixty seven,fifty,-0.5376282,-0.19154671,,
sixty seven,sixty,-0.35973433,-0.16737105,,
sixty seven,seventy,0.47424972,-0.17133139,,
sixty seven,eighty,-0.056221895,-0.18897364,,
sixty seven,ninety,-0.5498302,-0.19328544,,
sixty seven,hundred,-0.2886065,0.08006638,,
sixty seven,thousand,-0.4931323,-0.1819969,,
sixty seven,<unk>,-0.54794234,-0.19279882,,
sixty seven,<start>,-0.5558877,-0.1932472,,
sixty seven,<end>,-0.55659294,5.650577,,
six hundred seventy,<pad>,-0.28665355,-0.17933656,-0.22501075,-0.17699596
six hundred seventy,one,-0.035406232,-0.17896667,-0.21597447,-0.17682482
six hundred seventy,two,1.6064782,-0.1784577,-0.12301622,-0.17693995
six hundred seventy,three,-0.15608172,-0.17907381,-0.22212242,-0.17700154
six hundred seventy,four,5.2507324,-0.17737477,-0.16618145,-0.1766728
six hundred seventy,five,-0.02632168,-0.17772518,-0.10441061,-0.17684326
six hundred seventy,six,0.8584366,-0.17185654,-0.123216346,-0.17693967
six hundred seventy,seven,-0.27987662,-0.17934445,-0.22693948,-0.17701186
six hundred seventy,eight,-0.25433093,-0.17914094,-0.22204919,-0.17699341
six hundred seventy,nine,-0.26672554,-0.17932396,-0.22491287,-0.17699262
six hundred seventy,ten,-0.2866253,-0.17935796,-0.2269589,-0.17700541
six hundred seventy,eleven,-0.28808904,-0.17935571,-0.22787286,-0.17702137
six hundred seventy,twelve,-0.28764293,-0.17933813,-0.22431266,-0.17698848
six hundred seventy,thirteen,-0.28578642,-0.17933714,-0.22109714,-0.17701145
six hundred seventy,fourteen,-0.28299987,-0.17930666,-0.22203796,-0.17697468
six hundred seventy,fifteen,-0.282783,-0.17930819,-0.22504263,-0.17701045
six hundred seventy,sixteen,-0.27265072,-0.17924784,-0.22120783,-0.17699307
six hundred seventy,seventeen,-0.28744024,-0.17934968,-0.22634447,-0.17700699
six hundred seventy,eighteen,-0.28678846,-0.17934947,-0.22649752,-0.17700832
six hundred seventy,nineteen,-0.2798002,-0.17929572,-0.22368592,-0.1770065
six hundred seventy,twenty,-0.27287394,-0.1791784,0.03535996,-0.17693155
six hundred seventy,thirty,-0.27393034,-0.17923962,-0.2168814,-0.17698734
six hundred seventy,forty,-0.2788471,-0.1791927,-0.21393502,-0.1769872
six hundred seventy,fifty,-0.28430638,-0.17917943,-0.17887643,-0.17687702
six hundred seventy,sixty,-0.2773372,-0.17849489,-0.14612734,-0.17690857
six hundred seventy,seventy,-0.2444929,-0.1715563,5.6213923,-0.1709771
six hundred seventy,eighty,-0.26621768,-0.17922327,-0.22018872,-0.17698239
six hundred seventy,ninety,-0.28715116,-0.17934446,-0.22580346,-0.17701232
six hundred seventy,hundred,-0.25837737,5.6565533,-0.048572384,-0.17693274
six hundred seventy,thousand,-0.26257372,-0.11934755,-0.22218913,-0.1770203
six hundred seventy,<unk>,-0.28717798,-0.17933603,-0.22287622,-0.17699936
six hundred seventy,<start>,-0.2876051,-0.17935894,-0.22385155,-0.17699271
six hundred seventy,<end>,-0.28875297,-0.17925495,0.3614407,5.6568513
