,,Time_0,Time_1
one,<pad>,-0.18010771,-0.17719978
one,one,5.656781,-0.16946407
one,two,-0.16244729,-0.1768215
one,three,-0.17745431,-0.17717198
one,four,-0.1689143,-0.17689802
one,five,-0.1702303,-0.17699918
one,six,-0.1792338,-0.17718098
one,seven,-0.1729607,-0.17710975
one,eight,-0.17904033,-0.177186
one,nine,-0.17963584,-0.17719604
one,ten,-0.18006618,-0.17719258
one,eleven,-0.18004121,-0.17718907
one,twelve,-0.17995267,-0.17719373
one,thirteen,-0.17991465,-0.17719929
one,fourteen,-0.17513789,-0.177087
one,fifteen,-0.16366029,-0.176983
one,sixteen,-0.17945054,-0.17716497
one,seventeen,-0.18005697,-0.17719963
one,eighteen,-0.18000323,-0.17719857
one,nineteen,-0.17977059,-0.17717998
one,twenty,-0.16351207,-0.17712162
one,thirty,-0.17655146,-0.17704877
one,forty,-0.17848945,-0.17696334
one,fifty,-0.17994109,-0.17714722
one,sixty,-0.17970541,-0.17716861
one,seventy,-0.17775886,-0.17705682
one,eighty,-0.17785268,-0.17716356
one,ninety,-0.1800546,-0.17720117
one,hundred,-0.1791656,-0.17403002
one,thousand,-0.17875156,-0.17674482
one,<unk>,-0.18001442,-0.17719072
one,<start>,-0.17999291,-0.17719717
one,<end>,-0.17691244,5.656849
nine,<pad>,-0.2745237,-0.17680797
nine,one,-0.15098171,-0.17677206
nine,two,-0.01727445,-0.17672166
nine,three,-0.140767,-0.17679112
nine,four,-0.2433141,-0.17677528
nine,five,0.05611858,-0.17675479
nine,six,0.3367357,-0.17678717
nine,seven,-0.19968379,-0.17679843
nine,eight,-0.13592155,-0.17679848
nine,nine,5.6040025,-0.17678021
nine,ten,-0.27654982,-0.17680813
nine,eleven,-0.27079698,-0.17680645
nine,twelve,-0.27235797,-0.17680821
nine,thirteen,-0.27698252,-0.17680864
nine,fourteen,-0.26502204,-0.17680256
nine,fifteen,-0.04880161,-0.17676222
nine,sixteen,-0.11737497,-0.17676108
nine,seventeen,-0.27492908,-0.1768076
nine,eighteen,-0.27143246,-0.17680852
nine,nineteen,-0.20249842,-0.17678472
nine,twenty,-0.2585546,-0.17680465
nine,thirty,0.06307644,-0.17677575
nine,forty,-0.24434397,-0.17678113
nine,fifty,-0.27108514,-0.17680435
nine,sixty,-0.21867128,-0.1767608
nine,seventy,-0.17121282,-0.1767466
nine,eighty,-0.18281537,-0.17679378
nine,ninety,-0.27579194,-0.17680904
nine,hundred,-0.25612465,-0.17656355
nine,thousand,-0.23409402,-0.17665167
nine,<unk>,-0.27630407,-0.1768086
nine,<start>,-0.27585676,-0.17680915
nine,<end>,0.044134535,5.656854
