,,Time_0,Time_1,Time_2
seventy eight,<pad>,-0.25381264,-0.17944345,
seventy eight,one,-0.23803242,-0.17903784,
seventy eight,two,0.963004,-0.17662552,
seventy eight,three,-0.24434221,-0.17920649,
seventy eight,four,-0.20564176,-0.17900814,
seventy eight,five,-0.24647027,-0.1790229,
seventy eight,six,-0.02714803,-0.17864875,
seventy eight,seven,-0.22747374,-0.17903861,
seventy eight,eight,-0.0035513225,-0.17813002,
seventy eight,nine,-0.14923155,-0.17915913,
seventy eight,ten,-0.25510192,-0.17934644,
seventy eight,eleven,-0.25455412,-0.1794368,
seventy eight,twelve,-0.2462396,-0.1793458,
seventy eight,thirteen,-0.25416318,-0.17935528,
seventy eight,fourteen,-0.22489677,-0.17901427,
seventy eight,fifteen,-0.25091115,-0.17930296,
seventy eight,sixteen,-0.14039159,-0.1784211,
seventy eight,seventeen,-0.24499625,-0.17932439,
seventy eight,eighteen,-0.24940598,-0.17935373,
seventy eight,nineteen,-0.21005534,-0.17907561,
seventy eight,twenty,-0.25252178,-0.17926496,
seventy eight,thirty,-0.24968092,-0.17899215,
seventy eight,forty,-0.22870618,-0.17854545,
seventy eight,fifty,-0.25420994,-0.1789481,
seventy eight,sixty,-0.21784717,-0.16701633,
seventy eight,seventy,0.026995767,-0.1770374,
seventy eight,eighty,5.526385,-0.1703106,
seventy eight,ninety,-0.25266618,-0.17945594,
seventy eight,hundred,-0.1603179,-0.13119029,
seventy eight,thousand,-0.23841989,-0.17784482,
seventy eight,<unk>,-0.25333437,-0.17939696,
seventy eight,<start>,-0.25395516,-0.17935154,
seventy eight,<end>,-0.22830567,5.656652,
eight hundred seven,<pad>,-0.2112249,-0.18256746,-0.20743562
eight hundred seven,one,-0.18395287,-0.18231398,-0.20206738
eight hundred seven,two,5.636867,-0.16242765,-0.068411216
eight hundred seven,three,-0.17470486,-0.18192846,-0.20034812
eight hundred seven,four,-0.06259478,-0.18181974,-0.20423418
eight hundred seven,five,-0.16970174,-0.17792049,-0.1551395
eight hundred seven,six,0.22736003,-0.166261,-0.18137272
eight hundred seven,seven,-0.20822145,-0.18231368,-0.2059409
eight hundred seven,eight,-0.20391114,-0.18195382,-0.20608093
eight hundred seven,nine,-0.1401109,-0.18117532,-0.20416915
eight hundred seven,ten,-0.21098049,-0.18259837,-0.20733652
eight hundred seven,eleven,-0.21063681,-0.18262245,-0.20786688
eight hundred seven,twelve,-0.2083892,-0.1823822,-0.20774105
eight hundred seven,thirteen,-0.21098825,-0.18250869,-0.20592743
eight hundred seven,fourteen,-0.20863874,-0.18214633,-0.20604229
eight hundred seven,fifteen,-0.20876679,-0.18206099,-0.2041861
eight hundred seven,sixteen,-0.20189297,-0.18215576,-0.20481631
eight hundred seven,seventeen,-0.20842527,-0.18246219,-0.20837314
eight hundred seven,eighteen,-0.20720175,-0.18229812,-0.20454206
eight hundred seven,nineteen,-0.19881426,-0.1819519,-0.20486102
eight hundred seven,twenty,-0.21109067,-0.18221392,-0.04712523
eight hundred seven,thirty,-0.20843983,-0.18211316,-0.2009133
eight hundred seven,forty,-0.18888184,-0.18012433,-0.18689509
eight hundred seven,fifty,-0.21122792,-0.18181665,-0.18677671
eight hundred seven,sixty,-0.20076509,-0.16373822,0.24327195
eight hundred seven,seventy,-0.18648654,-0.1805199,-0.16280933
eight hundred seven,eighty,0.0050465055,-0.17696774,-0.19320627
eight hundred seven,ninety,-0.20904562,-0.18257818,-0.20681737
eight hundred seven,hundred,-0.19280502,5.6558967,-0.18221653
eight hundred seven,thousand,-0.1992517,-0.07695853,-0.20329869
eight hundred seven,<unk>,-0.21050633,-0.18240823,-0.20663929
eight hundred seven,<start>,-0.20985705,-0.18255298,-0.2072883
eight hundred seven,<end>,-0.2117593,-0.18003622,5.637606
