,,Time_0,Time_1,Time_2
seventeen,<pad>,-0.31738546,-0.17718877,
seventeen,one,5.534424,-0.1753462,
seventeen,two,-0.08642814,-0.17680848,
seventeen,three,0.10775826,-0.17690955,
seventeen,four,-0.11962968,-0.17692961,
seventeen,five,0.036766857,-0.17688562,
seventeen,six,-0.25146538,-0.17713043,
seventeen,seven,0.20533249,-0.176599,
seventeen,eight,-0.2728931,-0.17713507,
seventeen,nine,-0.2574812,-0.17714526,
seventeen,ten,-0.32234192,-0.1771952,
seventeen,eleven,-0.3146554,-0.17718269,
seventeen,twelve,-0.30926988,-0.17717579,
seventeen,thirteen,-0.32156342,-0.17714506,
seventeen,fourteen,-0.13687526,-0.17707835,
seventeen,fifteen,0.21379589,-0.1759052,
seventeen,sixteen,-0.1882415,-0.17688535,
seventeen,seventeen,-0.31335953,-0.17716517,
seventeen,eighteen,-0.31428272,-0.17719452,
seventeen,nineteen,-0.174553,-0.17703064,
seventeen,twenty,0.0070494823,-0.17667633,
seventeen,thirty,-0.272322,-0.17687862,
seventeen,forty,-0.091765285,-0.17583798,
seventeen,fifty,-0.32040554,-0.17711918,
seventeen,sixty,-0.3072311,-0.17696144,
seventeen,seventy,0.6175016,-0.17631415,
seventeen,eighty,-0.29896483,-0.17714319,
seventeen,ninety,-0.31729746,-0.1771875,
seventeen,hundred,-0.26101157,-0.17354415,
seventeen,thousand,-0.3039839,-0.17675424,
seventeen,<unk>,-0.3180777,-0.17719729,
seventeen,<start>,-0.31766227,-0.17720298,
seventeen,<end>,-0.2134801,5.656853,
twenty one,<pad>,-0.2718557,-0.32898456,-0.17959784
twenty one,one,4.815635,3.5152805,-0.123033956
twenty one,two,0.34537888,-0.18660991,-0.17689924
twenty one,three,-0.25768968,-0.32061085,-0.1794604
twenty one,four,-0.24583301,-0.24982226,-0.17904454
twenty one,five,-0.2567004,-0.32281038,-0.1792388
twenty one,six,-0.24322106,-0.31378302,-0.17956974
twenty one,seven,-0.25802112,-0.3165225,-0.17953242
twenty one,eight,-0.26877922,-0.32767808,-0.17966492
twenty one,nine,-0.27170515,-0.32912093,-0.17967176
twenty one,ten,-0.27542958,-0.33150142,-0.17963617
twenty one,eleven,-0.27521136,-0.33218756,-0.17964415
twenty one,twelve,-0.27327117,-0.33062172,-0.17967845
twenty one,thirteen,-0.27589276,-0.3316653,-0.17960942
twenty one,fourteen,-0.26894048,-0.32722783,-0.17964844
twenty one,fifteen,-0.249874,-0.31481078,-0.17942034
twenty one,sixteen,-0.26891288,-0.3287776,-0.17959127
twenty one,seventeen,-0.2724131,-0.329871,-0.1796799
twenty one,eighteen,-0.27482623,-0.33179918,-0.17967658
twenty one,nineteen,-0.2530959,-0.32215774,-0.17960629
twenty one,twenty,2.7560987,0.37214357,-0.15314628
twenty one,thirty,-0.2708458,-0.3247841,-0.17949289
twenty one,forty,-0.2346559,-0.26928785,-0.17910612
twenty one,fifty,-0.27497348,-0.32419243,-0.17939055
twenty one,sixty,-0.26147428,-0.19505101,-0.17746311
twenty one,seventy,-0.22809581,-0.29460704,-0.17829683
twenty one,eighty,-0.26486507,-0.32664728,-0.17961319
twenty one,ninety,-0.27254382,-0.33050093,-0.17956015
twenty one,hundred,-0.25490627,4.1471972,-0.1796644
twenty one,thousand,-0.26782718,-0.074201494,-0.17962627
twenty one,<unk>,-0.27512756,-0.3317347,-0.17969175
twenty one,<start>,-0.2745127,-0.33067378,-0.1795847
twenty one,<end>,-0.27561226,0.7436225,5.656541
