,,Time_0,Time_1,Time_2,Time_3
seventy six,<pad>,-0.42656925,-0.1778461,,
seventy six,one,-0.31540856,-0.1771429,,
seventy six,two,-0.07937802,-0.17735958,,
seventy six,three,0.12029756,-0.17757879,,
seventy six,four,-0.24419028,-0.17674053,,
seventy six,five,-0.23414618,-0.17730865,,
seventy six,six,0.43992177,-0.17756967,,
seventy six,seven,-0.36433733,-0.17778099,,
seventy six,eight,-0.40406746,-0.1777908,,
seventy six,nine,-0.3497393,-0.1777809,,
seventy six,ten,-0.43641075,-0.17786074,,
seventy six,eleven,-0.43641415,-0.17782795,,
seventy six,twelve,-0.42652145,-0.17775376,,
seventy six,thirteen,-0.43972337,-0.17784569,,
seventy six,fourteen,-0.42012307,-0.17785496,,
seventy six,fifteen,-0.3425591,-0.17727724,,
seventy six,sixteen,5.021518,-0.17639695,,
seventy six,seventeen,-0.4301298,-0.17778563,,
seventy six,eighteen,-0.43900838,-0.17785971,,
seventy six,nineteen,1.6703556,-0.17724793,,
seventy six,twenty,0.15246207,-0.17766301,,
seventy six,thirty,-0.15061031,-0.1767862,,
seventy six,forty,-0.34372392,-0.17760675,,
seventy six,fifty,-0.4197772,-0.1775744,,
seventy six,sixty,1.0160701,-0.17526606,,
seventy six,seventy,0.44153315,-0.17560138,,
seventy six,eighty,-0.35127372,-0.17763902,,
seventy six,ninety,-0.43374828,-0.17778872,,
seventy six,hundred,0.18721668,-0.15759975,,
seventy six,thousand,-0.2882785,-0.17696203,,
seventy six,<unk>,-0.4348483,-0.1778507,,
seventy six,<start>,-0.4259183,-0.177873,,
seventy six,<end>,-0.4124712,5.656821,,
seven hundred sixty,<pad>,-0.44773766,-0.17993149,-0.32599515,-0.17681772
seven hundred sixty,one,0.09379625,-0.17952853,-0.06698519,-0.17629282
seven hundred sixty,two,3.7900298,-0.17929396,0.6891567,-0.1763991
seven hundred sixty,three,2.1700926,-0.17982566,-0.3201862,-0.17681365
seven hundred sixty,four,1.2404927,-0.1797829,-0.3111269,-0.17679925
seven hundred sixty,five,0.8564033,-0.1794242,-0.2326551,-0.1767864
seven hundred sixty,six,2.6776917,-0.17406893,-0.10117827,-0.17681153
seven hundred sixty,seven,-0.44411555,-0.1799397,-0.3247437,-0.17681709
seven hundred sixty,eight,-0.35330513,-0.179889,-0.31883067,-0.17680821
seven hundred sixty,nine,-0.3426395,-0.17977521,-0.3224418,-0.17681584
seven hundred sixty,ten,-0.45030034,-0.1799542,-0.32791466,-0.17681704
seven hundred sixty,eleven,-0.44632807,-0.17995195,-0.32336855,-0.17681362
seven hundred sixty,twelve,-0.45064172,-0.1799297,-0.32326877,-0.17681478
seven hundred sixty,thirteen,-0.44973028,-0.1799459,-0.3241215,-0.17681596
seven hundred sixty,fourteen,-0.4085602,-0.17990999,-0.3216412,-0.17681763
seven hundred sixty,fifteen,-0.43125513,-0.17987704,-0.27782357,-0.17680937
seven hundred sixty,sixteen,-0.42777973,-0.17986925,-0.31973916,-0.1768159
seven hundred sixty,seventeen,-0.4473242,-0.17994183,-0.3201921,-0.17681105
seven hundred sixty,eighteen,-0.43821874,-0.1799229,-0.32476345,-0.17681599
seven hundred sixty,nineteen,-0.42142972,-0.1797798,-0.31745285,-0.17681575
seven hundred sixty,twenty,-0.3391155,-0.17955144,1.274894,-0.17680977
seven hundred sixty,thirty,-0.4098485,-0.17927085,-0.24958955,-0.17680125
seven hundred sixty,forty,-0.37539837,-0.17966321,-0.29141614,-0.17681605
seven hundred sixty,fifty,-0.4479978,-0.17958076,-0.08155452,-0.17678948
seven hundred sixty,sixty,-0.22032744,-0.17572917,5.2761426,-0.17673643
seven hundred sixty,seventy,-0.39144224,-0.1792745,-0.13059054,-0.17671065
seven hundred sixty,eighty,-0.3814531,-0.1799327,-0.31854895,-0.17681246
seven hundred sixty,ninety,-0.4458628,-0.17994845,-0.3266764,-0.17681473
seven hundred sixty,hundred,-0.1579084,5.6562295,-0.18564564,-0.1768021
seven hundred sixty,thousand,-0.36839086,-0.0930064,-0.29913902,-0.17681582
seven hundred sixty,<unk>,-0.4331143,-0.17991595,-0.3274238,-0.17681858
seven hundred sixty,<start>,-0.44430158,-0.17995785,-0.32836956,-0.17681822
seven hundred sixty,<end>,-0.45398006,-0.17985624,0.8031899,5.656854
