,,Time_0,Time_1
fifty three,<pad>,-0.35301602,-0.17702445
fifty three,one,-0.3274233,-0.17693578
fifty three,two,-0.33882132,-0.17702162
fifty three,three,4.357911,-0.17657027
fifty three,four,-0.3217004,-0.17696838
fifty three,five,2.414589,-0.17549343
fifty three,six,-0.32056963,-0.17695586
fifty three,seven,-0.35150978,-0.17702568
fifty three,eight,-0.3474271,-0.17700325
fifty three,nine,-0.32690006,-0.1770068
fifty three,ten,-0.3499218,-0.17701428
fifty three,eleven,-0.35301873,-0.17702417
fifty three,twelve,-0.34733078,-0.17701997
fifty three,thirteen,-0.35259953,-0.17702429
fifty three,fourteen,-0.3439207,-0.17700297
fifty three,fifteen,0.58774054,-0.176341
fifty three,sixteen,-0.32408547,-0.17699082
fifty three,seventeen,-0.35032317,-0.17702623
fifty three,eighteen,-0.3530212,-0.17703153
fifty three,nineteen,-0.2936088,-0.17696618
fifty three,twenty,-0.2932558,-0.17692561
fifty three,thirty,2.1635559,-0.1756588
fifty three,forty,-0.32419705,-0.17696594
fifty three,fifty,-0.34371236,-0.17694154
fifty three,sixty,-0.33970186,-0.1770071
fifty three,seventy,-0.29989478,-0.17684117
fifty three,eighty,-0.3307012,-0.17699862
fifty three,ninety,-0.35145158,-0.17700808
fifty three,hundred,-0.24576333,-0.17431664
fifty three,thousand,-0.27323398,-0.1767043
fifty three,<unk>,-0.35081312,-0.17701828
fifty three,<start>,-0.35160083,-0.1770202
fifty three,<end>,-0.26427266,5.656853
eighty,<pad>,-0.18540199,-0.17688844
eighty,one,-0.18046004,-0.17681788
eighty,two,-0.17393675,-0.17683643
eighty,three,-0.18193352,-0.17686592
eighty,four,-0.17387289,-0.1768355
eighty,five,-0.18008436,-0.17677708
eighty,six,-0.10782552,-0.17668596
eighty,seven,-0.18397038,-0.17687704
eighty,eight,-0.13643712,-0.1767926
eighty,nine,-0.16558932,-0.17685486
eighty,ten,-0.18525615,-0.17689037
eighty,eleven,-0.18542746,-0.1768917
eighty,twelve,-0.18441267,-0.17688778
eighty,thirteen,-0.18533215,-0.17688869
eighty,fourteen,-0.18233557,-0.17687607
eighty,fifteen,-0.18515356,-0.17688687
eighty,sixteen,-0.18335298,-0.17687656
eighty,seventeen,-0.1844097,-0.17688829
eighty,eighteen,-0.18517989,-0.17689104
eighty,nineteen,-0.18339221,-0.17686138
eighty,twenty,-0.18053578,-0.17688203
eighty,thirty,-0.17666584,-0.1767992
eighty,forty,-0.16927268,-0.17682917
eighty,fifty,-0.1852314,-0.17686954
eighty,sixty,-0.17276242,-0.17675705
eighty,seventy,-0.16544561,-0.17664123
eighty,eighty,5.6561785,-0.17551892
eighty,ninety,-0.18530448,-0.1768865
eighty,hundred,-0.18361458,-0.17623082
eighty,thousand,-0.18053953,-0.17658956
eighty,<unk>,-0.18538116,-0.17688929
eighty,<start>,-0.18529192,-0.17689025
eighty,<end>,-0.17236929,5.656854
