,,Time_0,Time_1,Time_2,Time_3,Time_4
two thousand three,<pad>,-0.19724692,-0.1782808,-0.22449791,-0.18433028,
two thousand three,one,-0.13927609,-0.17818639,-0.21594706,-0.18153104,
two thousand three,two,5.641024,-0.16939151,5.606797,-0.0036925839,
two thousand three,three,0.23114276,-0.17742841,-0.20328519,-0.18396637,
two thousand three,four,-0.10172484,-0.17802674,-0.21696477,-0.18397833,
two thousand three,five,-0.17975983,-0.17799862,0.13082942,-0.17888169,
two thousand three,six,-0.16567749,-0.17568323,0.44072747,-0.18016157,
two thousand three,seven,-0.19708246,-0.17825195,-0.22247973,-0.18414333,
two thousand three,eight,-0.19606204,-0.17826918,-0.22407776,-0.18424204,
two thousand three,nine,-0.19670142,-0.17827931,-0.22283563,-0.18410899,
two thousand three,ten,-0.19760714,-0.17828174,-0.22596121,-0.18436319,
two thousand three,eleven,-0.19716468,-0.17826907,-0.22260307,-0.1843035,
two thousand three,twelve,-0.19752297,-0.17827927,-0.22342965,-0.1843436,
two thousand three,thirteen,-0.19761573,-0.17828743,-0.22499274,-0.18438555,
two thousand three,fourteen,-0.19718853,-0.1782734,-0.22516096,-0.18436834,
two thousand three,fifteen,-0.19661881,-0.17819858,-0.22223999,-0.18348421,
two thousand three,sixteen,-0.1972057,-0.17828313,-0.22509159,-0.18428035,
two thousand three,seventeen,-0.19765921,-0.17829008,-0.22575797,-0.18438026,
two thousand three,eighteen,-0.19748531,-0.17828532,-0.2256116,-0.18442176,
two thousand three,nineteen,-0.19612369,-0.1782618,-0.2236743,-0.18436931,
two thousand three,twenty,-0.19643794,-0.1782465,-0.1660993,-0.18113525,
two thousand three,thirty,-0.19734061,-0.1782528,-0.22126608,-0.18409452,
two thousand three,forty,-0.19653685,-0.17821088,-0.22399344,-0.18397373,
two thousand three,fifty,-0.19750836,-0.17827861,-0.22306095,-0.183585,
two thousand three,sixty,-0.19500786,-0.17802063,-0.19830835,-0.18241233,
two thousand three,seventy,-0.19728386,-0.17822634,-0.20091186,-0.1810891,
two thousand three,eighty,-0.19657272,-0.17828259,-0.22482318,-0.1841658,
two thousand three,ninety,-0.19734883,-0.17828192,-0.22504604,-0.18430397,
two thousand three,hundred,-0.1972084,-0.14363974,-0.13879894,-0.15020923,
two thousand three,thousand,-0.16289553,5.65675,0.05203593,-0.17932211,
two thousand three,<unk>,-0.19726866,-0.17827223,-0.22156563,-0.1840618,
two thousand three,<start>,-0.19722816,-0.17826928,-0.22342159,-0.18401888,
two thousand three,<end>,-0.1978067,-0.17826252,-0.18848318,5.654108,
two thousand thirty,<pad>,-0.23570083,-0.17869964,-0.36233193,-0.28269324,-0.17815752
two thousand thirty,one,-0.15209027,-0.17865176,-0.35216928,-0.26641273,-0.17736231
two thousand thirty,two,5.52402,-0.17577569,2.70634,0.36244085,-0.16841458
two thousand thirty,three,0.92482394,-0.17782974,-0.295275,-0.27557296,-0.17813334
two thousand thirty,four,0.29639748,-0.17840976,-0.3465856,-0.2819469,-0.17809334
two thousand thirty,five,-0.17922829,-0.17813997,3.578924,-0.15060057,-0.17665417
two thousand thirty,six,-0.11360448,-0.17529021,3.0483816,-0.20641708,-0.17771073
two thousand thirty,seven,-0.23580973,-0.17867057,-0.3591263,-0.28190738,-0.17812498
two thousand thirty,eight,-0.23253028,-0.1786838,-0.3613508,-0.28242186,-0.1781547
two thousand thirty,nine,-0.23430061,-0.17869812,-0.35904375,-0.28160134,-0.17803138
two thousand thirty,ten,-0.23688135,-0.17869969,-0.36702597,-0.2847393,-0.17817132
two thousand thirty,eleven,-0.23586755,-0.17869216,-0.3612279,-0.28454164,-0.17817652
two thousand thirty,twelve,-0.23665269,-0.17869714,-0.36150953,-0.28424537,-0.17816688
two thousand thirty,thirteen,-0.23707679,-0.17870727,-0.36510542,-0.28464532,-0.17816594
two thousand thirty,fourteen,-0.23583367,-0.17869335,-0.36450705,-0.2843442,-0.17816883
two thousand thirty,fifteen,-0.23509353,-0.17863117,-0.35895488,-0.27662542,-0.17778498
two thousand thirty,sixteen,-0.2362918,-0.17870343,-0.366026,-0.28447315,-0.17816322
two thousand thirty,seventeen,-0.23721686,-0.17870957,-0.36712053,-0.2853241,-0.1781768
two thousand thirty,eighteen,-0.23675774,-0.17870544,-0.3665936,-0.2853363,-0.178189
two thousand thirty,nineteen,-0.23350967,-0.17868754,-0.36343968,-0.28454962,-0.17819004
two thousand thirty,twenty,-0.23509006,-0.17867525,-0.21263054,-0.19955763,-0.14924565
two thousand thirty,thirty,-0.2361712,-0.17866245,-0.34875074,-0.2781323,-0.17805459
two thousand thirty,forty,-0.23488873,-0.17865297,-0.3650453,-0.28277242,-0.17814003
two thousand thirty,fifty,-0.23703097,-0.17870305,-0.3629214,-0.2783186,-0.1779355
two thousand thirty,sixty,-0.23091629,-0.17849076,-0.3076996,-0.26420602,-0.17790478
two thousand thirty,seventy,-0.2365673,-0.17865948,-0.3200194,-0.24572036,-0.17713074
two thousand thirty,eighty,-0.23485541,-0.17870413,-0.3658446,-0.2842854,-0.17810793
two thousand thirty,ninety,-0.23619701,-0.17870368,-0.36596605,-0.28461316,-0.17817137
two thousand thirty,hundred,-0.23597638,-0.12550347,0.24349268,4.5925784,-0.17754681
two thousand thirty,thousand,-0.17373347,5.6566205,0.22904599,-0.22172026,-0.17814994
two thousand thirty,<unk>,-0.23588394,-0.17869517,-0.35600346,-0.28037307,-0.17810117
two thousand thirty,<start>,-0.23596618,-0.1786916,-0.36356175,-0.2830879,-0.17809995
two thousand thirty,<end>,-0.23751874,-0.17870232,-0.36034778,3.0961661,5.656779
