,,Time_0,Time_1,Time_2,Time_3,Time_4
one thousand two,<pad>,-0.19021419,-0.18457305,-0.22046725,-0.17685425,
one thousand two,one,5.650713,-0.16786815,-0.20406584,-0.17677252,
one thousand two,two,0.067382105,0.015446196,5.4519897,-0.17453697,
one thousand two,three,-0.12280171,-0.18394788,-0.22007118,-0.17685243,
one thousand two,four,-0.18289603,-0.18434402,-0.21989581,-0.1768477,
one thousand two,five,-0.18569578,-0.18378608,-0.21834989,-0.1768437,
one thousand two,six,-0.17559701,-0.17991254,-0.21583217,-0.17685075,
one thousand two,seven,-0.18975997,-0.18451935,-0.22040923,-0.1768545,
one thousand two,eight,-0.19003865,-0.18456584,-0.2205278,-0.17685421,
one thousand two,nine,-0.18946128,-0.18453489,-0.2204477,-0.17685397,
one thousand two,ten,-0.19039729,-0.18451141,-0.22021516,-0.1768515,
one thousand two,eleven,-0.19034578,-0.18449323,-0.22012666,-0.17685361,
one thousand two,twelve,-0.19041048,-0.18460293,-0.22056596,-0.17685486,
one thousand two,thirteen,-0.19047028,-0.18458429,-0.22051172,-0.17685404,
one thousand two,fourteen,-0.18941,-0.18446164,-0.22023451,-0.17685355,
one thousand two,fifteen,-0.18943606,-0.1844622,-0.22049081,-0.17685427,
one thousand two,sixteen,-0.19013356,-0.18458453,-0.22049537,-0.176853,
one thousand two,seventeen,-0.18987554,-0.1844983,-0.2204793,-0.1768544,
one thousand two,eighteen,-0.19039388,-0.18449146,-0.22034778,-0.17685355,
one thousand two,nineteen,-0.18960866,-0.18458259,-0.22046487,-0.17685367,
one thousand two,twenty,-0.18937862,-0.18387215,-0.21730359,-0.17684267,
one thousand two,thirty,-0.18963794,-0.18433155,-0.2198283,-0.17685255,
one thousand two,forty,-0.19013588,-0.184414,-0.21849085,-0.17683126,
one thousand two,fifty,-0.19026834,-0.1844274,-0.22013648,-0.17685215,
one thousand two,sixty,-0.18995811,-0.18383415,-0.2178514,-0.1768458,
one thousand two,seventy,-0.18945101,-0.18445034,-0.22015712,-0.17685302,
one thousand two,eighty,-0.19010766,-0.18454815,-0.22047617,-0.17685467,
one thousand two,ninety,-0.19039524,-0.18451214,-0.22039504,-0.1768541,
one thousand two,hundred,-0.19031124,-0.15911886,-0.2201981,-0.176854,
one thousand two,thousand,-0.11044484,5.653514,-0.20950326,-0.17684749,
one thousand two,<unk>,-0.19042227,-0.18460606,-0.2205884,-0.17685474,
one thousand two,<start>,-0.1901151,-0.18450835,-0.22041121,-0.17685421,
one thousand two,<end>,-0.1905226,-0.18301317,1.3373497,5.6568537,
one thousand twenty,<pad>,-0.31673297,-0.17911586,-0.26803765,-0.2751142,-0.17732465
one thousand twenty,one,0.90002304,-0.17857699,-0.25371322,-0.26618043,-0.17711392
one thousand twenty,two,2.4624472,-0.17859955,-0.23350017,-0.2667092,-0.17719214
one thousand twenty,three,0.55359167,-0.17834473,-0.22698441,-0.2491821,-0.17720523
one thousand twenty,four,4.8074636,-0.17827244,-0.22492519,-0.24211764,-0.17711653
one thousand twenty,five,-0.24950212,-0.16924702,5.387451,0.3954986,-0.17475617
one thousand twenty,six,-0.05193119,-0.17268541,1.203269,-0.21723956,-0.17725596
one thousand twenty,seven,-0.3178364,-0.17911223,-0.26813984,-0.27624816,-0.17733532
one thousand twenty,eight,-0.3173538,-0.17910793,-0.26719588,-0.2756293,-0.17734322
one thousand twenty,nine,-0.30609757,-0.17910795,-0.26739156,-0.27587116,-0.177341
one thousand twenty,ten,-0.31812966,-0.17911199,-0.26826456,-0.27396113,-0.17730294
one thousand twenty,eleven,-0.31941324,-0.17912191,-0.26879534,-0.27648488,-0.17734134
one thousand twenty,twelve,-0.31874794,-0.17913164,-0.268999,-0.27632326,-0.17734851
one thousand twenty,thirteen,-0.31931412,-0.17913216,-0.26935923,-0.2764117,-0.17733626
one thousand twenty,fourteen,-0.3121812,-0.17906165,-0.26518306,-0.27275828,-0.17731367
one thousand twenty,fifteen,-0.31652325,-0.17908418,-0.2647732,-0.27249572,-0.17730458
one thousand twenty,sixteen,-0.31808928,-0.17913173,-0.26853678,-0.27507508,-0.17731407
one thousand twenty,seventeen,-0.31665364,-0.17908904,-0.26877478,-0.27629256,-0.17734268
one thousand twenty,eighteen,-0.31933415,-0.17912374,-0.2685391,-0.27568847,-0.17734315
one thousand twenty,nineteen,-0.31560442,-0.17912568,-0.26852825,-0.27622586,-0.17734489
one thousand twenty,twenty,-0.31864086,-0.17894065,-0.17973849,-0.10791572,-0.16392237
one thousand twenty,thirty,-0.3157455,-0.17906639,-0.25924727,-0.2721905,-0.17729935
one thousand twenty,forty,-0.31773874,-0.17911485,-0.26581538,-0.2730575,-0.17711383
one thousand twenty,fifty,-0.31766888,-0.17905356,-0.2641416,-0.27002704,-0.17709373
one thousand twenty,sixty,-0.31238505,-0.17892985,-0.24849546,-0.2605809,-0.1771955
one thousand twenty,seventy,-0.31274655,-0.1790984,-0.26409173,-0.26995495,-0.17718583
one thousand twenty,eighty,-0.31329662,-0.1790914,-0.26676184,-0.27555835,-0.17733361
one thousand twenty,ninety,-0.31843388,-0.17911959,-0.269273,-0.27668583,-0.17735134
one thousand twenty,hundred,-0.3181086,-0.12352512,0.73790824,4.8756504,-0.17704137
one thousand twenty,thousand,-0.18837075,5.6565924,0.1749856,-0.2534005,-0.17733525
one thousand twenty,<unk>,-0.31923732,-0.17913501,-0.26946867,-0.27677226,-0.17734289
one thousand twenty,<start>,-0.3176116,-0.17912205,-0.26886457,-0.27654546,-0.17734753
one thousand twenty,<end>,-0.32009628,-0.17911194,-0.25807494,2.6375482,5.656839
