,,Time_0,Time_1,Time_2,Time_3,Time_4
two thousand three,<pad>,2.1640864e-05,1.553329e-05,0.001366157,3.1153768e-06,
two thousand three,one,0.0009505762,3.369232e-05,0.0030793576,2.0596284e-05,
two thousand three,two,0.98115176,0.00066652027,0.13401209,0.00012440103,
two thousand three,three,0.009217506,0.00023188377,0.005329991,5.905342e-06,
two thousand three,four,0.0020282033,6.944045e-05,0.004360381,1.2573229e-05,
two thousand three,five,0.0012725673,0.0002448945,0.20541875,0.00017224166,
two thousand three,six,0.0018604414,0.00031082108,0.11819282,1.5116997e-05,
two thousand three,seven,7.2274066e-05,5.312562e-06,0.00068135594,3.3934461e-06,
two thousand three,eight,4.093115e-05,5.950496e-06,0.002267832,7.7966415e-06,
two thousand three,nine,6.292319e-05,1.3156669e-05,0.0014434227,5.6320637e-06,
two thousand three,ten,4.1362717e-05,6.771323e-06,0.0018142059,8.492047e-06,
two thousand three,eleven,4.178068e-06,3.0586978e-06,0.0011082484,9.235733e-06,
two thousand three,twelve,8.202649e-06,2.6448843e-06,0.0006207231,3.4452717e-06,
two thousand three,thirteen,1.0987449e-05,2.3223874e-06,0.00064329174,6.1423175e-06,
two thousand three,fourteen,0.000109538174,1.3794582e-05,0.0028190266,1.1511509e-05,
two thousand three,fifteen,3.90085e-05,3.567551e-05,0.004330098,1.230191e-05,
two thousand three,sixteen,5.9918002e-05,5.9231384e-06,0.0013899535,1.27592975e-05,
two thousand three,seventeen,5.150622e-06,3.091564e-06,0.0008833346,3.9448996e-06,
two thousand three,eighteen,7.76706e-06,4.3831997e-06,0.0012556274,5.962753e-06,
two thousand three,nineteen,5.1694573e-05,4.861195e-06,0.0014422216,5.0849876e-06,
two thousand three,twenty,3.9991868e-05,3.1683106e-05,0.07158693,0.00017945621,
two thousand three,thirty,2.9068162e-05,1.6599231e-05,0.006145243,3.5848996e-05,
two thousand three,forty,1.1375735e-05,1.3305409e-05,0.005301599,1.7898748e-05,
two thousand three,fifty,6.193873e-05,1.6873195e-05,0.0044991076,2.0660022e-05,
two thousand three,sixty,6.584377e-05,5.011807e-05,0.008532084,1.163458e-05,
two thousand three,seventy,1.2188971e-05,2.518968e-05,0.007725922,2.633845e-05,
two thousand three,eighty,4.3561344e-05,6.7476135e-06,0.0019631803,1.2745276e-05,
two thousand three,ninety,5.8325837e-05,5.9132612e-06,0.0009852966,5.047875e-06,
two thousand three,hundred,1.8630022e-05,0.013089184,0.13227434,3.273044e-05,
two thousand three,thousand,0.0026344932,0.98505324,0.22985967,2.0178873e-05,
two thousand three,<unk>,3.4602701e-06,3.6041708e-06,0.0011973958,1.5219514e-05,
two thousand three,<start>,4.2112624e-06,6.8519125e-06,0.0029291916,7.124194e-06,
two thousand three,<end>,2.0963263e-07,9.2972823e-07,0.0345411,0.99916553,
two thousand thirty,<pad>,6.0018963e-05,2.1957227e-05,0.00030978557,0.00014730035,2.965664e-06
two thousand thirty,one,0.0011319295,4.8731752e-05,0.0011457569,0.0009247925,6.802461e-05
two thousand thirty,two,0.539314,0.0004778553,0.011196287,0.002666217,2.8962198e-05
two thousand thirty,three,0.43274754,0.0009059697,0.006786602,0.0015303125,1.3891021e-05
two thousand thirty,four,0.008409504,9.0368776e-05,0.0012528596,0.00058119936,1.8705465e-05
two thousand thirty,five,0.004123592,0.00071349565,0.3039588,0.02269112,0.00017486374
two thousand thirty,six,0.004434702,0.0009664115,0.22302094,0.007191962,1.1879433e-05
two thousand thirty,seven,0.0002430192,5.945156e-06,0.00013157752,0.00015255774,4.7490707e-06
two thousand thirty,eight,0.00011770804,7.9106185e-06,0.0005010174,0.00046087106,7.611564e-06
two thousand thirty,nine,0.00015642011,2.0656096e-05,0.000496052,0.00034688896,8.58777e-06
two thousand thirty,ten,0.00012939602,8.798285e-06,0.00039026086,0.00025445782,1.0162695e-05
two thousand thirty,eleven,1.6231019e-05,5.4693865e-06,0.0003617085,0.0005895353,2.1417063e-05
two thousand thirty,twelve,3.3963246e-05,4.9286323e-06,0.00018466942,0.00013944441,5.431762e-06
two thousand thirty,thirteen,2.6444699e-05,2.9691962e-06,0.00010907639,0.00016986048,7.678538e-06
two thousand thirty,fourteen,0.00017519122,1.8964069e-05,0.0007652959,0.00042052788,1.18079915e-05
two thousand thirty,fifteen,0.00011295188,4.4717104e-05,0.0012086818,0.0004809678,1.102905e-05
two thousand thirty,sixteen,0.00012439502,5.4225657e-06,0.00015075324,0.00013410366,8.089072e-06
two thousand thirty,seventeen,1.3092648e-05,4.7343574e-06,0.00020786577,0.00022307967,6.3511056e-06
two thousand thirty,eighteen,1.4813788e-05,4.535764e-06,0.00029437567,0.00041218768,8.866081e-06
two thousand thirty,nineteen,0.000100075835,5.095458e-06,0.0003640975,0.00021895088,5.851633e-06
two thousand thirty,twenty,0.00010408324,5.131371e-05,0.04991945,0.8092127,0.00094553037
two thousand thirty,thirty,6.941842e-05,1.4842542e-05,0.0011622522,0.0016537246,4.7227015e-05
two thousand thirty,forty,4.440711e-05,1.1185888e-05,0.0012158306,0.0017956755,3.058114e-05
two thousand thirty,fifty,0.00017522731,2.6581421e-05,0.0014182997,0.0011172061,2.9172432e-05
two thousand thirty,sixty,0.00013638806,6.280741e-05,0.0021937126,0.00059126405,5.447267e-06
two thousand thirty,seventy,3.68735e-05,2.4662299e-05,0.0017612057,0.0017597226,2.5181544e-05
two thousand thirty,eighty,0.00010358525,8.7424805e-06,0.00036607985,0.00044832926,1.6678257e-05
two thousand thirty,ninety,0.00013019491,1.0470218e-05,0.00044182915,0.00028009573,8.455749e-06
two thousand thirty,hundred,4.576124e-05,0.015794007,0.33596215,0.1128801,9.3836454e-05
two thousand thirty,thousand,0.007644628,0.98061746,0.05168496,0.0019973079,6.2400413e-06
two thousand thirty,<unk>,1.2923772e-05,5.0107847e-06,0.0002713199,0.0004704757,3.4309858e-05
two thousand thirty,<start>,1.1046016e-05,7.560735e-06,0.00067070976,0.00033687445,5.0871386e-06
two thousand thirty,<end>,5.2965987e-07,2.894663e-07,9.581098e-05,0.02772018,0.99831545
