,,Time_0,Time_1
six,<pad>,8.5860716e-05,8.0644685e-07
six,one,0.0011825906,2.5622807e-05
six,two,0.0070610065,2.1723366e-05
six,three,0.0028809784,2.2968858e-05
six,four,0.0018272558,2.78234e-05
six,five,0.00667082,3.190285e-05
six,six,0.9342697,0.00011348261
six,seven,0.00022395405,3.4927812e-06
six,eight,0.009209732,1.602864e-05
six,nine,0.008838286,5.3958906e-06
six,ten,8.5923784e-05,1.2997612e-06
six,eleven,4.9626917e-05,2.3956008e-07
six,twelve,9.117617e-05,6.540317e-07
six,thirteen,0.00011979282,1.5987198e-06
six,fourteen,0.0003585172,3.4604511e-06
six,fifteen,0.0004564414,2.8945831e-05
six,sixteen,0.003225538,3.1013475e-05
six,seventeen,5.9481124e-05,7.2863145e-07
six,eighteen,7.266979e-05,1.6170422e-06
six,nineteen,0.0005362159,4.2716565e-06
six,twenty,0.001030527,4.883813e-06
six,thirty,0.0018704612,1.2643521e-05
six,forty,0.0018092222,3.4771754e-05
six,fifty,6.501492e-05,7.4501927e-06
six,sixty,0.0034027754,0.00010508927
six,seventy,0.0019364472,3.252432e-05
six,eighty,0.008599208,3.5967787e-05
six,ninety,0.00013207029,1.3820443e-06
six,hundred,0.0015450324,0.00097476336
six,thousand,0.00043829615,9.866119e-06
six,<unk>,0.000110173976,5.2283453e-06
six,<start>,5.1149633e-05,1.390093e-06
six,<end>,0.0017041239,0.9984309
thirteen,<pad>,0.0002263762,4.8996053e-06
thirteen,one,0.18746042,0.00042686588
thirteen,two,0.0038265123,2.8906556e-05
thirteen,three,0.299861,0.00019594375
thirteen,four,0.004104947,0.00012894807
thirteen,five,0.023265876,0.00056737283
thirteen,six,0.0024993827,6.616259e-05
thirteen,seven,0.0061247963,3.9999883e-05
thirteen,eight,0.0007458473,2.4279627e-05
thirteen,nine,0.0031959757,3.743845e-05
thirteen,ten,0.0003662211,1.1104801e-05
thirteen,eleven,0.0001828964,2.582068e-06
thirteen,twelve,9.900845e-05,2.8859497e-06
thirteen,thirteen,0.00017493998,8.775218e-06
thirteen,fourteen,0.0043093488,0.00013299957
thirteen,fifteen,0.25503916,0.0053491574
thirteen,sixteen,0.0042960253,3.991068e-05
thirteen,seventeen,0.00016354103,6.6643966e-06
thirteen,eighteen,0.00010176034,1.052469e-05
thirteen,nineteen,0.019333337,0.00024683776
thirteen,twenty,0.003386806,0.00010678534
thirteen,thirty,0.15179582,0.00088466005
thirteen,forty,0.007135598,0.00033362146
thirteen,fifty,0.0007784885,0.0003046139
thirteen,sixty,0.0011649054,3.7626938e-05
thirteen,seventy,0.0076097837,0.0001866692
thirteen,eighty,0.0008922768,2.832251e-05
thirteen,ninety,0.0002733505,2.8759252e-05
thirteen,hundred,0.006745934,0.030001033
thirteen,thousand,0.0022078643,0.000212933
thirteen,<unk>,0.000471872,3.4556455e-05
thirteen,<start>,0.00021555285,1.1298647e-05
thirteen,<end>,0.0019443544,0.9604969
