,,Time_0,Time_1,Time_2,Time_3
twenty five,<pad>,0.00054295943,0.00013081759,,
twenty five,one,0.011736483,0.0018804619,,
twenty five,two,0.19788931,0.0012814986,,
twenty five,three,0.3451871,0.0036597338,,
twenty five,four,0.0041118385,0.0003619593,,
twenty five,five,0.031673536,0.0038490451,,
twenty five,six,0.005248437,0.0007232699,,
twenty five,seven,0.001549917,0.0001665922,,
twenty five,eight,0.0027439513,0.00030829158,,
twenty five,nine,0.007092871,0.00019569995,,
twenty five,ten,0.0006176746,0.000106747204,,
twenty five,eleven,0.0003762351,0.00012565317,,
twenty five,twelve,0.00011788334,7.572651e-05,,
twenty five,thirteen,0.00011556592,1.1874664e-05,,
twenty five,fourteen,0.002646438,0.0002132794,,
twenty five,fifteen,0.24949306,0.006824622,,
twenty five,sixteen,0.005346191,8.656697e-05,,
twenty five,seventeen,0.0006669719,8.341706e-05,,
twenty five,eighteen,0.00019494472,3.7825772e-05,,
twenty five,nineteen,0.058572676,0.0017387639,,
twenty five,twenty,0.01753811,0.0049327104,,
twenty five,thirty,0.02305244,0.007008455,,
twenty five,forty,0.0012880709,0.0008495218,,
twenty five,fifty,0.0008067983,0.0005151112,,
twenty five,sixty,0.0016130948,0.00023814784,,
twenty five,seventy,0.002531554,0.00050961267,,
twenty five,eighty,0.0011998953,3.1570242e-05,,
twenty five,ninety,0.0014133361,0.00013159978,,
twenty five,hundred,0.019116512,0.18329962,,
twenty five,thousand,0.0034867665,0.002361566,,
twenty five,<unk>,0.00037155018,0.00011810002,,
twenty five,<start>,0.0007083593,0.00016475329,,
twenty five,<end>,0.00094957463,0.7779776,,
four hundred five,<pad>,0.0003120957,3.8920675e-06,0.00049556524,3.4011541e-06
four hundred five,one,0.034563493,5.2460302e-05,0.00898739,0.00014516893
four hundred five,two,0.037806276,3.9266262e-05,0.0044934633,3.5189158e-05
four hundred five,three,0.0103712585,3.4643042e-05,0.003529169,1.6414668e-05
four hundred five,four,0.88326406,0.00010487053,0.0029038042,2.420172e-05
four hundred five,five,0.009203335,0.00037204803,0.5657777,0.0023939628
four hundred five,six,0.008587218,8.790861e-05,0.0022586572,6.890264e-06
four hundred five,seven,0.00046782274,2.2826646e-06,0.00034595042,3.6608158e-06
four hundred five,eight,0.0007869339,6.807198e-06,0.0013387487,9.782119e-06
four hundred five,nine,0.00059808366,4.2081874e-06,0.00043950227,3.397669e-06
four hundred five,ten,6.957285e-05,2.7901112e-06,0.0005668041,3.1545355e-06
four hundred five,eleven,0.0002170519,2.2737565e-06,0.0007384915,5.3500826e-06
four hundred five,twelve,3.8884915e-05,4.5783352e-07,0.00050889625,6.79997e-06
four hundred five,thirteen,0.00015245634,1.5563422e-06,0.00056212104,4.036841e-06
four hundred five,fourteen,0.0005363582,5.8370715e-06,0.00072533096,2.3451953e-06
four hundred five,fifteen,0.00039667563,1.557889e-05,0.006998399,2.6658834e-05
four hundred five,sixteen,0.000591715,9.957812e-06,0.0006451605,2.5287866e-06
four hundred five,seventeen,0.00011563588,3.5824028e-06,0.00064177415,7.2690723e-06
four hundred five,eighteen,0.00018371672,3.780403e-06,0.00055288314,5.548386e-06
four hundred five,nineteen,0.00092504907,8.45564e-06,0.0032557964,1.1716253e-05
four hundred five,twenty,0.00056747865,2.866607e-05,0.122307286,1.642635e-05
four hundred five,thirty,0.00093909464,8.485056e-05,0.018204195,3.8790295e-05
four hundred five,forty,0.00041019317,5.923671e-05,0.041596442,8.9026486e-05
four hundred five,fifty,0.00016651915,1.6173195e-05,0.06397455,7.8639816e-05
four hundred five,sixty,0.00078050944,0.00011028261,0.058348056,3.718907e-05
four hundred five,seventy,0.00089164777,5.412939e-05,0.01769506,6.3174106e-05
four hundred five,eighty,0.002011689,3.90536e-06,0.0007555247,2.730062e-06
four hundred five,ninety,0.00016290967,4.4646267e-06,0.00068763,6.693122e-06
four hundred five,hundred,0.003161428,0.9957287,0.034157876,1.6253394e-05
four hundred five,thousand,0.0011497494,0.0031349116,0.0029438573,3.9716674e-06
four hundred five,<unk>,0.00026824907,5.580954e-06,0.0003761231,4.8856305e-06
four hundred five,<start>,0.00029944192,3.47616e-06,0.00089152594,5.3874846e-06
four hundred five,<end>,3.4174548e-06,3.014687e-06,0.03229638,0.9969193
