,,Time_0,Time_1,Time_2,Time_3,Time_4
one hundred five,<pad>,0.00011607039,3.465807e-06,0.00017386847,6.1949804e-06,
one hundred five,one,0.8606261,9.6353666e-05,0.0016054395,0.00011508386,
one hundred five,two,0.072213955,6.801941e-05,0.0018171915,5.788425e-05,
one hundred five,three,0.014188073,2.024743e-05,0.00043543024,1.867332e-05,
one hundred five,four,0.015478718,4.8452574e-05,0.0008510587,1.4725957e-05,
one hundred five,five,0.012730672,0.0009471859,0.75982946,0.032796387,
one hundred five,six,0.0058631,0.0001333667,0.0012093213,1.4382718e-05,
one hundred five,seven,0.0006536514,2.1053795e-05,0.00039828752,1.2863639e-05,
one hundred five,eight,0.0003731294,1.2140715e-05,0.00021156149,1.4719372e-05,
one hundred five,nine,0.0015144967,1.0044908e-05,0.00021278486,1.1091106e-05,
one hundred five,ten,6.429282e-05,2.44557e-06,0.00023113641,1.4751146e-05,
one hundred five,eleven,0.00018269093,2.574712e-06,0.00028177278,2.7097403e-05,
one hundred five,twelve,0.00026823417,1.3233532e-05,0.0001822482,1.0017304e-05,
one hundred five,thirteen,2.7715998e-05,2.8759498e-06,0.00024141985,3.2635715e-05,
one hundred five,fourteen,0.00053513626,1.5407955e-05,0.00019737272,8.953517e-06,
one hundred five,fifteen,0.0013639164,0.00011048677,0.0066027585,0.00010909896,
one hundred five,sixteen,0.00074246444,1.4171779e-05,0.00025363205,2.1658063e-05,
one hundred five,seventeen,0.00025729617,1.3325412e-05,0.00040032598,1.8854878e-05,
one hundred five,eighteen,0.000151499,6.8607537e-06,0.00020768352,1.42561275e-05,
one hundred five,nineteen,0.00061605586,1.3759923e-05,0.00021817144,1.1926684e-05,
one hundred five,twenty,0.000635238,8.771838e-05,0.15770969,0.00018179769,
one hundred five,thirty,0.0017854188,0.00012828663,0.014626975,0.0001672204,
one hundred five,forty,0.0036925618,0.0003829263,0.024332548,0.00021061387,
one hundred five,fifty,8.042039e-05,2.6773447e-05,0.0020899754,6.0268783e-05,
one hundred five,sixty,0.00025121175,5.966394e-05,0.0020396842,3.8526545e-05,
one hundred five,seventy,0.0011573067,2.8384391e-05,0.002837303,7.321855e-05,
one hundred five,eighty,0.0009474767,1.675914e-05,0.00045030727,1.7703875e-05,
one hundred five,ninety,0.00024026341,4.736266e-06,0.0011360582,4.475939e-05,
one hundred five,hundred,0.0027073994,0.9960938,0.009050043,6.311316e-05,
one hundred five,thousand,0.0002720976,0.0015988308,0.00062303094,8.210476e-06,
one hundred five,<unk>,8.3800245e-05,8.774059e-06,0.0002097862,7.1768513e-06,
one hundred five,<start>,0.00017769993,2.7992594e-06,0.00014105887,1.2371159e-05,
one hundred five,<end>,1.502485e-06,4.9762375e-06,0.009192631,0.96578383,
one hundred twenty five,<pad>,9.355838e-05,3.2663352e-06,0.00024813044,4.1690113e-05,8.7595885e-07
one hundred twenty five,one,0.915828,0.00019728123,0.007728868,0.0041760304,4.1030904e-05
one hundred twenty five,two,0.057258055,5.5183682e-05,0.002419802,0.00036901524,6.690182e-06
one hundred twenty five,three,0.0030015598,1.1143631e-05,0.00044371514,0.00011271401,1.7922963e-06
one hundred twenty five,four,0.004548553,5.567944e-05,0.002504699,0.00047985048,2.9196733e-06
one hundred twenty five,five,0.0057830014,0.00028209557,0.3063583,0.7803178,0.002854799
one hundred twenty five,six,0.002138033,6.4544205e-05,0.0009913346,8.077015e-05,1.1365083e-06
one hundred twenty five,seven,0.00028563463,1.4755242e-05,0.0005742329,0.00012647784,2.193487e-06
one hundred twenty five,eight,0.00020188346,5.6216327e-06,0.0001764839,8.1040045e-05,2.036139e-06
one hundred twenty five,nine,0.0005717776,6.477269e-06,0.00034388382,0.00012339704,1.7883198e-06
one hundred twenty five,ten,2.3215898e-05,1.4307581e-06,0.00024462718,0.000103334496,2.3673203e-06
one hundred twenty five,eleven,5.9879927e-05,1.2599581e-06,0.00027297018,0.0001755986,3.9980305e-06
one hundred twenty five,twelve,0.00015960765,1.1058914e-05,0.00032580894,9.2634e-05,1.7253992e-06
