,,Time_0,Time_1,Time_2
twenty one,<pad>,9.0370166e-05,1.6860535e-05,1.6986123e-06
twenty one,one,0.21900514,0.98734623,0.028811106
twenty one,two,0.024343936,0.00035159697,0.00010142616
twenty one,three,0.00064279954,5.7773308e-05,4.6827968e-06
twenty one,four,0.0013526288,0.00048195643,4.0483792e-05
twenty one,five,0.0037964093,0.00031726662,6.742773e-05
twenty one,six,0.006161858,0.000117541334,6.6105304e-06
twenty one,seven,0.0009249998,6.945192e-05,1.1693383e-05
twenty one,eight,0.00044939076,4.930188e-05,7.284015e-06
twenty one,nine,0.0016690937,0.00012045126,5.2841797e-06
twenty one,ten,5.5788063e-05,5.2748096e-06,8.0796684e-07
twenty one,eleven,8.480055e-05,5.6184394e-06,1.2675924e-06
twenty one,twelve,6.3648076e-05,1.0407842e-05,2.3064317e-06
twenty one,thirteen,3.8374474e-05,4.4800295e-06,9.924353e-07
twenty one,fourteen,0.0002912995,2.0008865e-05,3.833003e-06
twenty one,fifteen,0.0020061363,0.00033357923,7.191828e-05
twenty one,sixteen,0.0006070493,1.4637417e-05,1.4130325e-06
twenty one,seventeen,0.00014964983,1.7489449e-05,2.471645e-06
twenty one,eighteen,8.3398314e-05,6.732868e-06,2.183286e-06
twenty one,nineteen,0.0008017171,1.16204565e-05,1.2793655e-06
twenty one,twenty,0.7271364,0.0018327717,8.245322e-05
twenty one,thirty,0.0013616531,7.386803e-05,1.1328969e-05
twenty one,forty,0.002133041,0.00012125181,1.8468381e-05
twenty one,fifty,0.00014893312,3.9106624e-05,7.553777e-06
twenty one,sixty,0.0012176835,0.0003937746,6.2216466e-05
twenty one,seventy,0.0021195733,4.0321574e-05,9.480181e-06
twenty one,eighty,0.0003602283,1.9071102e-05,2.4417086e-06
twenty one,ninety,0.00012585902,1.429034e-05,2.2546906e-06
twenty one,hundred,0.0016927788,0.002040271,4.7772514e-06
twenty one,thousand,0.00090090843,0.0006616422,3.730618e-06
twenty one,<unk>,1.7803306e-05,2.6673806e-06,7.096858e-07
twenty one,<start>,6.380464e-05,7.673617e-06,1.7634193e-06
twenty one,<end>,0.00010290945,0.00539507,0.97064656
two hundred ten,<pad>,0.00035368357,4.4972436e-05,5.060204e-06
two hundred ten,one,0.38039914,0.0012927306,0.00056220527
two hundred ten,two,0.37437928,0.0019063059,0.0010880304
two hundred ten,three,0.009060043,7.8174715e-05,7.0540514e-06
two hundred ten,four,0.055594858,0.00047464314,8.993984e-05
two hundred ten,five,0.029223114,0.0004457163,0.00017532268
two hundred ten,six,0.085534394,0.0011255998,3.773035e-05
two hundred ten,seven,0.0012756328,3.5490826e-05,2.0594649e-05
two hundred ten,eight,0.001071307,2.6672795e-05,7.1469562e-06
two hundred ten,nine,0.0009366661,6.8032685e-05,8.94581e-06
two hundred ten,ten,0.00026940566,4.918927e-06,1.7795118e-06
two hundred ten,eleven,0.00034965205,2.1671927e-05,6.1487285e-06
two hundred ten,twelve,0.00019237881,3.3273558e-05,1.163286e-05
two hundred ten,thirteen,0.00020291745,2.6858364e-05,6.5941263e-06
two hundred ten,fourteen,0.0018558567,1.8218812e-05,6.552739e-06
two hundred ten,fifteen,0.00066071755,0.000107333,5.031176e-05
two hundred ten,sixteen,0.0023705722,3.8780236e-05,4.0635887e-06
two hundred ten,seventeen,0.00038343252,2.1711749e-05,4.7158287e-06
two hundred ten,eighteen,0.00019261718,7.405404e-06,4.9322434e-06
two hundred ten,nineteen,0.0017915881,2.7398755e-05,5.7622487e-06
two hundred ten,twenty,0.0051495,0.00024590053,0.0003097722
two hundred ten,thirty,0.0034235201,9.8962046e-05,1.14774175e-05
two hundred ten,forty,0.0042712158,0.00014661702,5.4554133e-05
two hundred ten,fifty,0.0004766659,0.00026044477,7.0595604e-05
two hundred ten,sixty,0.0017292616,0.0006319727,0.0002006325
two hundred ten,seventy,0.01857512,0.0026642922,0.00067104877
two hundred ten,eighty,0.001355051,2.6234738e-05,6.0681173e-06
two hundred ten,ninety,0.00035594695,1.8468781e-05,5.4989896e-06
two hundred ten,hundred,0.014077849,0.9744824,1.9053696e-05
two hundred ten,thousand,0.0040295823,0.011172331,1.681911e-05
two hundred ten,<unk>,0.0002138107,8.265376e-06,3.2526325e-06
two hundred ten,<start>,0.00016430192,1.5489824e-05,4.653524e-06
two hundred ten,<end>,8.105481e-05,0.0044227433,0.99652183
