,,Time_0,Time_1
one,<pad>,4.868011e-05,9.139667e-06
one,one,0.987009,0.0055568516
one,two,0.0008059793,1.560247e-05
one,three,0.0005955178,4.500577e-05
one,four,0.0016639121,0.0003674818
one,five,0.0014865128,3.509023e-05
one,six,4.375533e-05,7.139082e-06
one,seven,0.00089266285,5.6009947e-05
one,eight,0.000545297,1.4661148e-05
one,nine,0.00019684859,6.2514337e-06
one,ten,2.3593811e-05,4.4240523e-06
one,eleven,2.4927305e-05,5.4216466e-06
one,twelve,9.880103e-06,1.2477446e-06
one,thirteen,1.7641481e-05,5.371391e-06
one,fourteen,0.0007858003,3.4011366e-05
one,fifteen,0.0020169986,0.0002804691
one,sixteen,0.00016257886,7.562237e-06
one,seventeen,1.2364896e-05,5.3592644e-06
one,eighteen,8.574475e-06,8.258741e-06
one,nineteen,0.00018732442,1.905995e-05
one,twenty,0.0018526503,0.00014650241
one,thirty,0.00010334238,6.370913e-05
one,forty,0.00030239907,3.3679233e-05
one,fifty,7.515616e-05,1.5766002e-05
one,sixty,8.214538e-05,7.692083e-05
one,seventy,0.00051481015,7.76948e-05
one,eighty,5.4671953e-05,6.8418153e-06
one,ninety,1.30112385e-05,2.7885949e-06
one,hundred,0.00016852822,0.0011216602
one,thousand,5.1606163e-05,5.5973476e-05
one,<unk>,1.2575136e-05,6.4206993e-06
one,<start>,1.5156435e-05,3.112686e-06
one,<end>,0.00021584937,0.99190444
nine,<pad>,0.0012217239,2.4710055e-06
nine,one,0.008107661,1.42406225e-05
nine,two,0.04834791,2.1200502e-05
nine,three,0.01165169,7.1988616e-06
nine,four,0.018262831,3.4103276e-05
nine,five,0.017556783,1.4936247e-05
nine,six,0.15973742,6.2758496e-05
nine,seven,0.0028728712,7.400588e-06
nine,eight,0.029913401,7.3469964e-06
nine,nine,0.4812072,2.905907e-05
nine,ten,0.001262561,2.6163216e-06
nine,eleven,0.0007419842,1.082997e-06
nine,twelve,0.0010110515,1.1017346e-06
nine,thirteen,0.0010310626,2.5464597e-06
nine,fourteen,0.004917848,5.6883964e-06
nine,fifteen,0.024156706,3.656459e-05
nine,sixteen,0.015380144,1.1152963e-05
nine,seventeen,0.00091702153,6.162824e-06
nine,eighteen,0.00081941194,5.456763e-06
nine,nineteen,0.0044534323,7.438082e-06
nine,twenty,0.0021889121,6.447974e-06
nine,thirty,0.038413327,3.576277e-05
nine,forty,0.008264075,6.790611e-06
nine,fifty,0.002625093,9.1285765e-06
nine,sixty,0.014747839,9.488937e-05
nine,seventy,0.01919319,3.7167185e-05
nine,eighty,0.02518147,1.1639762e-05
nine,ninety,0.00075315434,1.1407135e-06
nine,hundred,0.0020732337,0.0002497469
nine,thousand,0.024778586,6.297691e-05
nine,<unk>,0.0006256502,2.9199177e-06
nine,<start>,0.0026644291,2.857508e-06
nine,<end>,0.024920313,0.9991978
