,,Time_0,Time_1,Time_2
five hundred eight,<pad>,0.0018775786,4.8155733e-05,3.4535915e-05
five hundred eight,one,0.010918552,0.00023077417,0.00021023111
five hundred eight,two,0.2276845,0.0013401767,0.001327768
five hundred eight,three,0.22699668,0.0004736696,2.5529089e-05
five hundred eight,four,0.031251274,0.00030227035,9.49241e-05
five hundred eight,five,0.18796748,0.0037540388,0.0021047858
five hundred eight,six,0.16456863,0.0021140415,0.00032547076
five hundred eight,seven,0.0009074759,8.4113904e-05,2.0905542e-05
five hundred eight,eight,0.024733113,0.00018371498,4.871608e-05
five hundred eight,nine,0.0169957,0.00018138565,0.00016935273
five hundred eight,ten,0.00023824984,1.7213084e-05,1.0450722e-05
five hundred eight,eleven,0.00085354,3.056356e-05,2.8395603e-05
five hundred eight,twelve,0.00045273209,3.544586e-05,2.6125399e-05
five hundred eight,thirteen,0.00028970692,6.978233e-06,1.0989499e-05
five hundred eight,fourteen,0.00037130562,1.8889861e-05,9.585431e-06
five hundred eight,fifteen,0.0020502724,0.0003083235,0.00017784968
five hundred eight,sixteen,0.0033736643,7.237441e-05,4.381448e-05
five hundred eight,seventeen,0.0002653915,1.26155865e-05,1.0814646e-05
five hundred eight,eighteen,0.00044730766,9.399925e-06,9.027938e-06
five hundred eight,nineteen,0.005010487,4.5614288e-05,1.2022503e-05
five hundred eight,twenty,0.0011396112,6.721774e-05,0.0013344554
five hundred eight,thirty,0.0044801985,0.00040979948,0.000107511005
five hundred eight,forty,0.0016846908,0.00021745136,4.1923136e-05
five hundred eight,fifty,0.0008171614,0.000102201804,0.00014749433
five hundred eight,sixty,0.034679156,0.00542096,0.0016589853
five hundred eight,seventy,0.0038352276,0.0010353505,0.0010355273
five hundred eight,eighty,0.027343871,0.0003455112,0.00037930591
five hundred eight,ninety,0.00043717815,1.989611e-05,1.9837547e-05
five hundred eight,hundred,0.0084484955,0.92088586,0.00012055989
five hundred eight,thousand,0.007544242,0.039439715,3.8890328e-05
five hundred eight,<unk>,0.00086428924,3.260898e-05,1.5698435e-05
five hundred eight,<start>,0.0013566196,4.9075697e-05,2.2908409e-05
five hundred eight,<end>,0.000115724746,0.022704715,0.9903756
five hundred eighty,<pad>,0.0017283323,2.7142643e-05,0.0004270455
five hundred eighty,one,0.005451772,0.00011386987,0.0022093188
five hundred eighty,two,0.17683081,0.0005206286,0.009682538
five hundred eighty,three,0.36971986,0.0007207462,0.001164026
five hundred eighty,four,0.024907272,0.00021313294,0.0014700411
five hundred eighty,five,0.21229322,0.0019587988,0.029902192
five hundred eighty,six,0.12525076,0.003513665,0.017434163
five hundred eighty,seven,0.001153796,6.593232e-05,0.0006482727
five hundred eighty,eight,0.011177272,9.97642e-05,0.0006732203
five hundred eighty,nine,0.009094613,0.000103242804,0.0032140773
five hundred eighty,ten,0.0001843158,1.1226084e-05,0.00012712843
five hundred eighty,eleven,0.0007616783,1.7776982e-05,0.00040292492
five hundred eighty,twelve,0.00052013673,2.5780564e-05,0.0007384031
five hundred eighty,thirteen,0.00033842537,4.8746756e-06,0.00017347262
five hundred eighty,fourteen,0.00043773808,2.007963e-05,0.00021745967
five hundred eighty,fifteen,0.0024782706,0.00025635608,0.0033921176
five hundred eighty,sixteen,0.0021721134,4.4981018e-05,0.00060565077
five hundred eighty,seventeen,0.00019544344,6.6559883e-06,0.00012457826
five hundred eighty,eighteen,0.00031410574,5.4011543e-06,0.00010431391
five hundred eighty,nineteen,0.0057713576,5.542514e-05,0.00035009932
five hundred eighty,twenty,0.0021884139,0.00018523246,0.37423518
five hundred eighty,thirty,0.0030642406,0.00020066774,0.0018540116
five hundred eighty,forty,0.0013037119,0.00010828403,0.00066366215
five hundred eighty,fifty,0.00045988444,3.8507893e-05,0.00096364814
five hundred eighty,sixty,0.018272376,0.0025425814,0.017598359
five hundred eighty,seventy,0.002824626,0.0005460982,0.025969205
five hundred eighty,eighty,0.008389396,0.00010773059,0.0026667065
five hundred eighty,ninety,0.0005341116,1.1578078e-05,0.00020538259
five hundred eighty,hundred,0.004842935,0.92248255,0.0070671914
five hundred eighty,thousand,0.0054708053,0.065029286,0.00071039033
five hundred eighty,<unk>,0.00071493164,2.1065056e-05,0.0002506428
five hundred eighty,<start>,0.0011318056,4.3109358e-05,0.0005862929
five hundred eighty,<end>,2.1483887e-05,0.0008977944,0.49416813
