,,Time_0,Time_1,Time_2,Time_3
twenty five,<pad>,0.029467888,0.027145693,0.025203189,
twenty five,one,0.0307818,0.02672213,0.025557974,
twenty five,two,0.029522907,0.03597326,0.039158184,
twenty five,three,0.028058367,0.02853607,0.028655732,
twenty five,four,0.027620554,0.027516857,0.027371824,
twenty five,five,0.026989805,0.024499066,0.023631264,
twenty five,six,0.03372734,0.036080282,0.037652817,
twenty five,seven,0.032295585,0.027059972,0.024194846,
twenty five,eight,0.023945538,0.027005585,0.027854586,
twenty five,nine,0.031977966,0.030847525,0.030277828,
twenty five,ten,0.021094905,0.022329358,0.023638029,
twenty five,eleven,0.031597294,0.03438468,0.035996687,
twenty five,twelve,0.024551207,0.028577613,0.030949682,
twenty five,thirteen,0.03095166,0.031073416,0.031166391,
twenty five,fourteen,0.03261136,0.033017285,0.033511322,
twenty five,fifteen,0.029989088,0.031271353,0.031704854,
twenty five,sixteen,0.029342083,0.02884506,0.028594049,
twenty five,seventeen,0.039206274,0.040688332,0.03997296,
twenty five,eighteen,0.029317925,0.02853038,0.028429389,
twenty five,nineteen,0.03187627,0.033927236,0.03447636,
twenty five,twenty,0.034496676,0.03904034,0.04074801,
twenty five,thirty,0.03485405,0.03574301,0.03575921,
twenty five,forty,0.036011167,0.03618253,0.036326878,
twenty five,fifty,0.028780494,0.03212624,0.033648703,
twenty five,sixty,0.033084005,0.032312118,0.032367926,
twenty five,seventy,0.034514185,0.03598137,0.037163347,
twenty five,eighty,0.026456594,0.024724238,0.023907322,
twenty five,ninety,0.024330024,0.02110267,0.0197369,
twenty five,hundred,0.025435751,0.019676344,0.01751817,
twenty five,thousand,0.026643736,0.023819698,0.022486823,
twenty five,<unk>,0.028205084,0.029782701,0.030782651,
twenty five,<start>,0.038727514,0.034643743,0.032008585,
twenty five,<end>,0.033534724,0.030833708,0.029547526,
four hundred five,<pad>,0.030475367,0.028693762,0.027274543,0.026237076
four hundred five,one,0.030931909,0.026889525,0.02555632,0.025160534
four hundred five,two,0.03009896,0.03533127,0.038109105,0.039443783
four hundred five,three,0.028307853,0.029003825,0.029006355,0.028810475
four hundred five,four,0.027728347,0.028484803,0.028688295,0.0286161
four hundred five,five,0.026500557,0.02379935,0.022850208,0.022487294
four hundred five,six,0.032045167,0.034128096,0.035385214,0.036087845
four hundred five,seven,0.033029776,0.029452689,0.0271359,0.025824716
four hundred five,eight,0.025827253,0.029052215,0.030309258,0.03083879
four hundred five,nine,0.031068383,0.031030405,0.03087213,0.030737024
four hundred five,ten,0.022916606,0.022324529,0.022588145,0.022932334
four hundred five,eleven,0.029472489,0.03196369,0.033448663,0.034450896
four hundred five,twelve,0.025275417,0.028470585,0.030322243,0.031272754
four hundred five,thirteen,0.029934932,0.03070063,0.030733138,0.030603904
four hundred five,fourteen,0.031290874,0.030813955,0.030713947,0.031055456
four hundred five,fifteen,0.028886802,0.030320765,0.03086154,0.03130412
four hundred five,sixteen,0.03242654,0.032348346,0.032455087,0.032506313
four hundred five,seventeen,0.037925046,0.038211383,0.03713891,0.03633105
four hundred five,eighteen,0.030307388,0.028577697,0.027702002,0.027240712
four hundred five,nineteen,0.030771852,0.032021426,0.032416236,0.03244229
four hundred five,twenty,0.035174556,0.040408596,0.04301618,0.044207666
four hundred five,thirty,0.034122977,0.035201408,0.035505787,0.035689425
four hundred five,forty,0.034274176,0.032574486,0.031978685,0.031650662
four hundred five,fifty,0.030933622,0.03472985,0.036661178,0.037523367
four hundred five,sixty,0.032546736,0.031327195,0.030972946,0.030718243
four hundred five,seventy,0.038216554,0.038634185,0.038885575,0.039057564
four hundred five,eighty,0.026839962,0.026257528,0.0258889,0.025712524
four hundred five,ninety,0.02475829,0.021963768,0.020864569,0.020343613
four hundred five,hundred,0.025059395,0.01970188,0.017756438,0.0170034
four hundred five,thousand,0.026036432,0.023890639,0.023194317,0.022982644
four hundred five,<unk>,0.028540334,0.028826931,0.02921145,0.02944587
four hundred five,<start>,0.03736972,0.035286643,0.033668134,0.03278421
four hundred five,<end>,0.030905802,0.029577881,0.028828522,0.02849736
