,,Time_0,Time_1,Time_2,Time_3
thirty one,<pad>,0.029852655,0.030917695,0.030947944,
thirty one,one,0.037587684,0.035933632,0.0350479,
thirty one,two,0.024197645,0.022152053,0.021105617,
thirty one,three,0.033081196,0.031407874,0.030533195,
thirty one,four,0.037674725,0.03915351,0.040163137,
thirty one,five,0.032215007,0.030692795,0.03013084,
thirty one,six,0.031374916,0.027153417,0.025202971,
thirty one,seven,0.027038516,0.028192105,0.028326284,
thirty one,eight,0.023382893,0.023368878,0.02380576,
thirty one,nine,0.027487913,0.027935332,0.028599756,
thirty one,ten,0.030435823,0.027184092,0.025801282,
thirty one,eleven,0.03806903,0.038289297,0.038091768,
thirty one,twelve,0.024017634,0.0259887,0.026602523,
thirty one,thirteen,0.025510954,0.024066884,0.023062179,
thirty one,fourteen,0.032845885,0.03131551,0.030488003,
thirty one,fifteen,0.030687993,0.032326784,0.033620212,
thirty one,sixteen,0.03141376,0.03529288,0.036998928,
thirty one,seventeen,0.031135814,0.034223177,0.035966385,
thirty one,eighteen,0.030196602,0.029671695,0.028893137,
thirty one,nineteen,0.0347033,0.030021721,0.028899277,
thirty one,twenty,0.03419358,0.03905251,0.041332535,
thirty one,thirty,0.0360939,0.03889761,0.039351624,
thirty one,forty,0.030359427,0.032500878,0.034184933,
thirty one,fifty,0.031890333,0.031571016,0.0309633,
thirty one,sixty,0.023775067,0.023843605,0.024270954,
thirty one,seventy,0.028072564,0.028532501,0.028688064,
thirty one,eighty,0.030157566,0.033515163,0.034508016,
thirty one,ninety,0.020290257,0.0175663,0.016335806,
thirty one,hundred,0.03570062,0.0377214,0.03825937,
thirty one,thousand,0.02774157,0.026333595,0.026193935,
thirty one,<unk>,0.035429265,0.032315537,0.03145142,
thirty one,<start>,0.029401893,0.02770796,0.026291136,
thirty one,<end>,0.02398412,0.025153888,0.025881846,
three hundred one,<pad>,0.030214967,0.030962372,0.030698111,0.03033747
three hundred one,one,0.035725206,0.035239466,0.03500954,0.03487194
three hundred one,two,0.026430616,0.02463137,0.023706863,0.02336744
three hundred one,three,0.033145286,0.031831864,0.031478718,0.03127527
three hundred one,four,0.034465123,0.03547136,0.03599915,0.036247857
three hundred one,five,0.03306207,0.03143364,0.030871592,0.03074049
three hundred one,six,0.032173317,0.028963821,0.027235582,0.02623776
three hundred one,seven,0.02646329,0.026952727,0.027157256,0.027297078
three hundred one,eight,0.029533388,0.030297864,0.030881323,0.031265236
three hundred one,nine,0.028286673,0.029831583,0.030911032,0.03154796
three hundred one,ten,0.028225256,0.026574435,0.026014112,0.025918365
three hundred one,eleven,0.038511455,0.03845635,0.037941255,0.037432022
three hundred one,twelve,0.024049876,0.026309477,0.02714734,0.02729134
three hundred one,thirteen,0.025404867,0.023676224,0.022732325,0.022196868
three hundred one,fourteen,0.031440336,0.029714461,0.029033631,0.028756328
three hundred one,fifteen,0.034097098,0.036281344,0.037330206,0.037881546
three hundred one,sixteen,0.03121317,0.03355503,0.03460268,0.03530496
three hundred one,seventeen,0.03195237,0.031776734,0.03191347,0.03188301
three hundred one,eighteen,0.028611783,0.027870636,0.026968105,0.026231715
three hundred one,nineteen,0.0342145,0.029745035,0.028629199,0.028363062
three hundred one,twenty,0.03671943,0.041575532,0.043417383,0.044361826
three hundred one,thirty,0.03665496,0.038294047,0.038396068,0.03822038
three hundred one,forty,0.028821409,0.03064504,0.03233047,0.0335483
three hundred one,fifty,0.03190574,0.03077752,0.030021565,0.029703038
three hundred one,sixty,0.022006322,0.02326094,0.024094287,0.024516243
three hundred one,seventy,0.026533611,0.025904298,0.025690753,0.02554146
three hundred one,eighty,0.025465554,0.027603654,0.027959146,0.027799645
three hundred one,ninety,0.021211315,0.018463701,0.017343212,0.016941696
three hundred one,hundred,0.035860766,0.03893499,0.040208064,0.040633
three hundred one,thousand,0.030698884,0.029184287,0.028953277,0.029008592
three hundred one,<unk>,0.03366364,0.032973416,0.03299215,0.03321842
three hundred one,<start>,0.028367816,0.026068917,0.024802318,0.024237635
three hundred one,<end>,0.024869977,0.02673797,0.027529776,0.027822023
