,,Time_0,Time_1,Time_2
seventeen,<pad>,0.02743125,0.031417497,
seventeen,one,0.030504316,0.03403525,
seventeen,two,0.03414019,0.03709836,
seventeen,three,0.043561563,0.043998614,
seventeen,four,0.01960209,0.017643325,
seventeen,five,0.031117512,0.030413678,
seventeen,six,0.034527097,0.03317627,
seventeen,seven,0.02955452,0.027726065,
seventeen,eight,0.032962624,0.027160138,
seventeen,nine,0.035645545,0.03754408,
seventeen,ten,0.03357149,0.03484916,
seventeen,eleven,0.034366634,0.03422441,
seventeen,twelve,0.024758622,0.024451332,
seventeen,thirteen,0.025249349,0.029384347,
seventeen,fourteen,0.037434634,0.03879624,
seventeen,fifteen,0.03164811,0.031859063,
seventeen,sixteen,0.02727036,0.03307477,
seventeen,seventeen,0.026989425,0.024102472,
seventeen,eighteen,0.030174118,0.028264306,
seventeen,nineteen,0.024461213,0.025281444,
seventeen,twenty,0.028218316,0.02674405,
seventeen,thirty,0.034944564,0.032186233,
seventeen,forty,0.02631895,0.027288763,
seventeen,fifty,0.02553191,0.029493947,
seventeen,sixty,0.03331353,0.033867564,
seventeen,seventy,0.03313404,0.029396519,
seventeen,eighty,0.030406583,0.032649722,
seventeen,ninety,0.022871288,0.02051113,
seventeen,hundred,0.03706533,0.03885944,
seventeen,thousand,0.032315455,0.030256974,
seventeen,<unk>,0.024279948,0.02370144,
seventeen,<start>,0.0324005,0.029506342,
seventeen,<end>,0.02422898,0.02103697,
twenty one,<pad>,0.02748797,0.028796077,0.02886967
twenty one,one,0.030874748,0.032520022,0.034836873
twenty one,two,0.03384218,0.036485046,0.037285518
twenty one,three,0.04459597,0.042648442,0.041431606
twenty one,four,0.022742901,0.021422058,0.0211768
twenty one,five,0.03009227,0.030425416,0.030222032
twenty one,six,0.034441955,0.032305304,0.03145736
twenty one,seven,0.029306324,0.027948491,0.027422609
twenty one,eight,0.03310722,0.028812062,0.026711844
twenty one,nine,0.032121625,0.033156186,0.033704333
twenty one,ten,0.035299003,0.037456643,0.036987524
twenty one,eleven,0.030630691,0.02989132,0.029677493
twenty one,twelve,0.024779694,0.025072012,0.025464218
twenty one,thirteen,0.026875468,0.032335278,0.034787167
twenty one,fourteen,0.0379734,0.03773437,0.038141623
twenty one,fifteen,0.032234002,0.031419292,0.03146052
twenty one,sixteen,0.026975075,0.033823065,0.037511267
twenty one,seventeen,0.027456643,0.026598172,0.025922934
twenty one,eighteen,0.03083531,0.029742338,0.029358072
twenty one,nineteen,0.025739944,0.024886733,0.025231587
twenty one,twenty,0.029558672,0.028921768,0.028030215
twenty one,thirty,0.033006627,0.03141543,0.030354016
twenty one,forty,0.02767887,0.028748132,0.028616326
twenty one,fifty,0.026461307,0.031788267,0.035102572
twenty one,sixty,0.030390574,0.03016069,0.030009389
twenty one,seventy,0.03397259,0.03043074,0.028406706
twenty one,eighty,0.028982079,0.030132875,0.030004345
twenty one,ninety,0.02513441,0.021398438,0.019678717
twenty one,hundred,0.034859188,0.03702506,0.037886973
twenty one,thousand,0.029894054,0.028495846,0.028459523
twenty one,<unk>,0.024465797,0.024106832,0.023717089
twenty one,<start>,0.034261484,0.0333297,0.03318925
twenty one,<end>,0.023922043,0.020567952,0.018883793
