,,Time_0,Time_1,Time_2
twelve,<pad>,0.034587435,0.037219804,
twelve,one,0.031822797,0.031326022,
twelve,two,0.023116864,0.0254648,
twelve,three,0.026722183,0.024501927,
twelve,four,0.029501189,0.028514588,
twelve,five,0.031235728,0.03330245,
twelve,six,0.024429884,0.025157822,
twelve,seven,0.02422418,0.027231665,
twelve,eight,0.020465625,0.021120783,
twelve,nine,0.03681393,0.03405568,
twelve,ten,0.0317582,0.03354154,
twelve,eleven,0.039985295,0.03525994,
twelve,twelve,0.037177265,0.032240916,
twelve,thirteen,0.028372886,0.027363095,
twelve,fourteen,0.029764395,0.03174062,
twelve,fifteen,0.030547803,0.034891672,
twelve,sixteen,0.029214112,0.031548113,
twelve,seventeen,0.040878356,0.042890158,
twelve,eighteen,0.018534904,0.01753155,
twelve,nineteen,0.038944613,0.041340634,
twelve,twenty,0.026926002,0.027082037,
twelve,thirty,0.029578436,0.03010992,
twelve,forty,0.037167888,0.03882777,
twelve,fifty,0.020509077,0.019498255,
twelve,sixty,0.029428398,0.026188033,
twelve,seventy,0.025873687,0.02787889,
twelve,eighty,0.023432966,0.022220526,
twelve,ninety,0.034111477,0.03252446,
twelve,hundred,0.035369944,0.035877515,
twelve,thousand,0.040869094,0.038610645,
twelve,<unk>,0.026049506,0.024173949,
twelve,<start>,0.030016992,0.03161596,
twelve,<end>,0.03256875,0.029148212,
twenty two,<pad>,0.032266498,0.033540722,0.034047917
twenty two,one,0.029543651,0.028739516,0.028631685
twenty two,two,0.023942646,0.02698171,0.02813426
twenty two,three,0.027232414,0.024718234,0.023218123
twenty two,four,0.027042205,0.02719634,0.02746689
twenty two,five,0.028718842,0.029289953,0.029585797
twenty two,six,0.025728287,0.025743645,0.025588412
twenty two,seven,0.024412703,0.027359711,0.028092831
twenty two,eight,0.020658206,0.021089269,0.021513553
twenty two,nine,0.038884368,0.037538633,0.03786588
twenty two,ten,0.030466007,0.030940143,0.032191515
twenty two,eleven,0.041940432,0.036811236,0.03379076
twenty two,twelve,0.033436596,0.030035092,0.028487077
twenty two,thirteen,0.030639015,0.030699566,0.03054234
twenty two,fourteen,0.030510588,0.031292386,0.03193882
twenty two,fifteen,0.03289353,0.03781383,0.03985277
twenty two,sixteen,0.028310746,0.030572258,0.031833563
twenty two,seventeen,0.039871268,0.039897136,0.03972863
twenty two,eighteen,0.020248963,0.019048996,0.018167036
twenty two,nineteen,0.038483556,0.040282488,0.04081996
twenty two,twenty,0.025425337,0.025504295,0.025625547
twenty two,thirty,0.03360713,0.0335313,0.033561815
twenty two,forty,0.034360096,0.03806407,0.03920743
twenty two,fifty,0.01975315,0.019325329,0.019312054
twenty two,sixty,0.02590971,0.023605263,0.022250563
twenty two,seventy,0.025709502,0.027639154,0.028993824
twenty two,eighty,0.024735427,0.023329778,0.022423942
twenty two,ninety,0.036580037,0.035259113,0.03457233
twenty two,hundred,0.034542974,0.03553968,0.0365555
twenty two,thousand,0.042232357,0.038741484,0.03672486
twenty two,<unk>,0.028162712,0.027117316,0.027037716
twenty two,<start>,0.02877227,0.03041274,0.031009857
twenty two,<end>,0.034978736,0.03233972,0.031226754
