,,Time_0,Time_1
six,<pad>,0.030574905,0.02981034
six,one,0.021160446,0.02173072
six,two,0.031424515,0.03299561
six,three,0.034251213,0.030534321
six,four,0.031493135,0.03564632
six,five,0.026127048,0.025452036
six,six,0.031728312,0.038053874
six,seven,0.027318038,0.025447857
six,eight,0.027077626,0.025436155
six,nine,0.029481329,0.0326464
six,ten,0.03143372,0.031329088
six,eleven,0.0331361,0.03296301
six,twelve,0.032387592,0.0348293
six,thirteen,0.032450426,0.03058608
six,fourteen,0.036011603,0.0381971
six,fifteen,0.029481027,0.03165053
six,sixteen,0.02915886,0.030781956
six,seventeen,0.036917053,0.035775293
six,eighteen,0.027232546,0.025641963
six,nineteen,0.035436172,0.03011482
six,twenty,0.033042446,0.03260719
six,thirty,0.038900103,0.036191586
six,forty,0.025847027,0.02674757
six,fifty,0.025370657,0.02745089
six,sixty,0.038409512,0.040936835
six,seventy,0.021727161,0.020252317
six,eighty,0.03143096,0.028775994
six,ninety,0.032844495,0.032154214
six,hundred,0.019595185,0.020185253
six,thousand,0.02960202,0.02899289
six,<unk>,0.033623666,0.035053175
six,<start>,0.027226023,0.025259744
six,<end>,0.028099095,0.025769485
thirteen,<pad>,0.0317252,0.032903578
thirteen,one,0.022740282,0.022088114
thirteen,two,0.032341104,0.027988609
thirteen,three,0.036185276,0.033002328
thirteen,four,0.033479843,0.03562767
thirteen,five,0.02366582,0.026611326
thirteen,six,0.034460362,0.0407181
thirteen,seven,0.030263277,0.030045265
thirteen,eight,0.032140587,0.027430622
thirteen,nine,0.037612647,0.037939474
thirteen,ten,0.026583724,0.028399928
thirteen,eleven,0.030922024,0.035204083
thirteen,twelve,0.03449915,0.03525097
thirteen,thirteen,0.0326596,0.031591628
thirteen,fourteen,0.03705133,0.040802985
thirteen,fifteen,0.02753886,0.029729564
thirteen,sixteen,0.029694006,0.032123584
thirteen,seventeen,0.04165864,0.040599085
thirteen,eighteen,0.02921451,0.026340669
thirteen,nineteen,0.034585856,0.02938689
thirteen,twenty,0.025011126,0.02966375
thirteen,thirty,0.034621604,0.03003037
thirteen,forty,0.025666695,0.025742797
thirteen,fifty,0.02339053,0.0270173
thirteen,sixty,0.02722316,0.029084561
thirteen,seventy,0.021825798,0.02271853
thirteen,eighty,0.030930426,0.026450051
thirteen,ninety,0.030778531,0.028579472
thirteen,hundred,0.019532917,0.020433951
thirteen,thousand,0.032780625,0.030342044
thirteen,<unk>,0.031964336,0.034201525
thirteen,<start>,0.028436162,0.027154762
thirteen,<end>,0.02881598,0.02479635
