,,Time_0,Time_1
five,<pad>,0.028513156,0.034842055
five,one,0.021861337,0.020914385
five,two,0.034347232,0.032869272
five,three,0.03062469,0.02772602
five,four,0.03156381,0.02998099
five,five,0.03938077,0.037306122
five,six,0.030368574,0.028946353
five,seven,0.042931385,0.039095804
five,eight,0.031324018,0.03315516
five,nine,0.035476647,0.034519766
five,ten,0.03450319,0.03298933
five,eleven,0.025447961,0.027238557
five,twelve,0.026997723,0.031864233
five,thirteen,0.021762602,0.021169564
five,fourteen,0.030174503,0.03514845
five,fifteen,0.027258247,0.029224189
five,sixteen,0.023104997,0.024889598
five,seventeen,0.029775888,0.029375384
five,eighteen,0.026313432,0.028019724
five,nineteen,0.04034517,0.035665683
five,twenty,0.02166988,0.022311864
five,thirty,0.024341919,0.024716862
five,forty,0.03368602,0.037051246
five,fifty,0.02931039,0.031068675
five,sixty,0.030357216,0.02934663
five,seventy,0.028433213,0.026600247
five,eighty,0.03786651,0.036515865
five,ninety,0.044629946,0.03790047
five,hundred,0.035182457,0.03880759
five,thousand,0.028509043,0.027243493
five,<unk>,0.029389987,0.028163709
five,<start>,0.02049134,0.020251872
five,<end>,0.024056723,0.025080923
eight,<pad>,0.026356025,0.030969251
eight,one,0.024384638,0.023958333
eight,two,0.03216938,0.031451862
eight,three,0.03167783,0.0281676
eight,four,0.033631254,0.031857703
eight,five,0.037936185,0.036975436
eight,six,0.029354997,0.028285375
eight,seven,0.039529547,0.03572563
eight,eight,0.029352617,0.031211305
eight,nine,0.032941837,0.032079164
eight,ten,0.036487468,0.03325664
eight,eleven,0.02666926,0.02957071
eight,twelve,0.032085426,0.03415157
eight,thirteen,0.021712583,0.020934394
eight,fourteen,0.030716827,0.035315298
eight,fifteen,0.027792584,0.028409677
eight,sixteen,0.026274303,0.026636006
eight,seventeen,0.030231167,0.030196859
eight,eighteen,0.026691021,0.027232075
eight,nineteen,0.03639075,0.035647627
eight,twenty,0.020969208,0.021784076
eight,thirty,0.02423423,0.025579326
eight,forty,0.034112323,0.037660483
eight,fifty,0.028323598,0.028336257
eight,sixty,0.03666473,0.034677565
eight,seventy,0.02682754,0.026910145
eight,eighty,0.03548854,0.03281238
eight,ninety,0.041785154,0.037128557
eight,hundred,0.03535901,0.041052118
eight,thousand,0.026290935,0.02494851
eight,<unk>,0.030494433,0.029694946
eight,<start>,0.022507831,0.021637535
eight,<end>,0.024556713,0.02574553
