,,Time_0,Time_1,Time_2,Time_3,Time_4
six hundred eight,<pad>,0.034735292,0.030695328,0.029976023,0.029959893,
six hundred eight,one,0.028807323,0.031650193,0.03300725,0.033911116,
six hundred eight,two,0.023592025,0.020206992,0.018799083,0.018084504,
six hundred eight,three,0.028257709,0.027303793,0.026806127,0.02659134,
six hundred eight,four,0.022394521,0.020997388,0.020680763,0.02062828,
six hundred eight,five,0.025971225,0.02598481,0.026166316,0.026443629,
six hundred eight,six,0.02252471,0.021220036,0.021043468,0.02100602,
six hundred eight,seven,0.026085747,0.027170977,0.027833989,0.02834521,
six hundred eight,eight,0.04302888,0.042886082,0.042201832,0.041652724,
six hundred eight,nine,0.028427565,0.029572735,0.02995585,0.029993102,
six hundred eight,ten,0.03133646,0.03059611,0.03075247,0.0308913,
six hundred eight,eleven,0.02897909,0.029022072,0.028261906,0.027765675,
six hundred eight,twelve,0.03379189,0.034433216,0.03442796,0.03413749,
six hundred eight,thirteen,0.03828143,0.037935253,0.037570935,0.037387773,
six hundred eight,fourteen,0.03911963,0.037158843,0.036462806,0.036182255,
six hundred eight,fifteen,0.029829847,0.030976243,0.03145128,0.031523548,
six hundred eight,sixteen,0.030196339,0.029000685,0.028332569,0.02799547,
six hundred eight,seventeen,0.029298326,0.030517213,0.031073218,0.03143557,
six hundred eight,eighteen,0.034218818,0.038958043,0.04192465,0.043892067,
six hundred eight,nineteen,0.028851394,0.0280905,0.027550936,0.02715882,
six hundred eight,twenty,0.03692842,0.039025344,0.04038679,0.041351736,
six hundred eight,thirty,0.031174812,0.033750806,0.03485612,0.0353819,
six hundred eight,forty,0.025518972,0.022299403,0.0210173,0.020290365,
six hundred eight,fifty,0.029795352,0.028557276,0.027897814,0.027457988,
six hundred eight,sixty,0.026736453,0.026489634,0.025841089,0.025385851,
six hundred eight,seventy,0.035073746,0.03610245,0.03610973,0.035781976,
six hundred eight,eighty,0.029370213,0.028110249,0.028084885,0.028125068,
six hundred eight,ninety,0.034179837,0.03228576,0.030900972,0.029994486,
six hundred eight,hundred,0.026418619,0.030182857,0.031779964,0.032569095,
six hundred eight,thousand,0.029067786,0.029953713,0.030233009,0.030404726,
six hundred eight,<unk>,0.025252651,0.025352012,0.025310058,0.025211219,
six hundred eight,<start>,0.033960927,0.03361216,0.032607514,0.031695984,
six hundred eight,<end>,0.028794121,0.029901952,0.030695306,0.031363774,
six hundred fifty eight,<pad>,0.03387002,0.02985969,0.029013045,0.0289123,0.028981661
six hundred fifty eight,one,0.029717183,0.03222087,0.033396665,0.034166172,0.03465127
six hundred fifty eight,two,0.024360748,0.02087311,0.019392753,0.018639343,0.018242331
six hundred fifty eight,three,0.029714376,0.028506953,0.02773784,0.027320426,0.027104566
six hundred fifty eight,four,0.02288126,0.02189134,0.021818632,0.021908907,0.02201061
six hundred fifty eight,five,0.025569381,0.025928585,0.026285343,0.026673324,0.027021017
six hundred fifty eight,six,0.02301989,0.021658702,0.021434484,0.021413913,0.021424012
six hundred fifty eight,seven,0.026629616,0.02759466,0.028264455,0.028801063,0.029211769
six hundred fifty eight,eight,0.042483065,0.042251904,0.041478552,0.040933516,0.040612806
six hundred fifty eight,nine,0.028535789,0.029539175,0.029900342,0.029949237,0.029901661
six hundred fifty eight,ten,0.031039061,0.02998859,0.029972777,0.030029386,0.030079532
six hundred fifty eight,eleven,0.0287541,0.02962504,0.02930579,0.029042616,0.028876483
six hundred fifty eight,twelve,0.033584468,0.03448225,0.034692414,0.034552876,0.034349613
six hundred fifty eight,thirteen,0.037489194,0.037059665,0.0367113,0.036552463,0.0365089
six hundred fifty eight,fourteen,0.037462376,0.036109637,0.035798915,0.035755906,0.035761
six hundred fifty eight,fifteen,0.031264257,0.0322337,0.03256995,0.03254636,0.032431263
six hundred fifty eight,sixteen,0.029844865,0.029442877,0.029166667,0.029035095,0.028972067
six hundred fifty eight,seventeen,0.029294493,0.030114675,0.03045013,0.030681234,0.030855898
six hundred fifty eight,eighteen,0.03379242,0.03769845,0.040167347,0.04179518,0.042890854
six hundred fifty eight,nineteen,0.029242406,0.028550424,0.028133254,0.027823312,0.027590403
six hundred fifty eight,twenty,0.037569284,0.039400376,0.04063765,0.041527495,0.042095076
six hundred fifty eight,thirty,0.029892333,0.031820964,0.032665562,0.033058014,0.033266354
six hundred fifty eight,forty,0.026617395,0.022878096,0.021378227,0.02054385,0.020058392
six hundred fifty eight,fifty,0.02901326,0.027594332,0.026764648,0.026198963,0.025811262
six hundred fifty eight,sixty,0.026231633,0.026242042,0.025693525,0.025288757,0.024996884
six hundred fifty eight,seventy,0.03566079,0.037140302,0.037511554,0.037406955,0.037168168
six hundred fifty eight,eighty,0.02985369,0.029251987,0.029486239,0.02970501,0.029811533
six hundred fifty eight,ninety,0.034663707,0.032904357,0.031539094,0.030620947,0.0299991
six hundred fifty eight,hundred,0.026337365,0.030004553,0.03147763,0.03216342,0.0325244
six hundred fifty eight,thousand,0.02904121,0.029688522,0.02978085,0.02983305,0.029891744
six hundred fifty eight,<unk>,0.026791668,0.027080849,0.027121142,0.027049378,0.026941787
six hundred fifty eight,<start>,0.031642657,0.031367254,0.030574888,0.029807985,0.029281244
six hundred fifty eight,<end>,0.028136075,0.02899598,0.029678324,0.030263588,0.030676367
