,,Time_0,Time_1,Time_2,Time_3,Time_4
two hundred sixteen,<pad>,0.025677202,0.02771021,0.028233709,0.02848922,
two hundred sixteen,one,0.03165253,0.027801603,0.025997186,0.024967229,
two hundred sixteen,two,0.023679987,0.025732273,0.026385073,0.026654825,
two hundred sixteen,three,0.025726493,0.02752575,0.02879767,0.029461088,
two hundred sixteen,four,0.038823094,0.03753627,0.036795855,0.036327194,
two hundred sixteen,five,0.0264502,0.024984606,0.023746775,0.02318731,
two hundred sixteen,six,0.02751896,0.02485647,0.023733383,0.023181846,
two hundred sixteen,seven,0.03502182,0.033941418,0.033918366,0.03411624,
two hundred sixteen,eight,0.02290662,0.022319425,0.021248115,0.02043488,
two hundred sixteen,nine,0.0394122,0.038892876,0.03838865,0.03774243,
two hundred sixteen,ten,0.039454114,0.037311453,0.036184497,0.03545407,
two hundred sixteen,eleven,0.03658505,0.039917182,0.04130876,0.041533973,
two hundred sixteen,twelve,0.025113633,0.024058895,0.023501875,0.023261195,
two hundred sixteen,thirteen,0.029771542,0.03017412,0.030830314,0.031403173,
two hundred sixteen,fourteen,0.030016592,0.027799599,0.026583597,0.026201067,
two hundred sixteen,fifteen,0.021896403,0.0199828,0.019072592,0.018589674,
two hundred sixteen,sixteen,0.03057771,0.028219268,0.027255038,0.026862442,
two hundred sixteen,seventeen,0.036167968,0.03962792,0.041403305,0.042184405,
two hundred sixteen,eighteen,0.029105583,0.028558405,0.027616771,0.026916256,
two hundred sixteen,nineteen,0.026955852,0.028940657,0.029527191,0.029610412,
two hundred sixteen,twenty,0.029038778,0.030832566,0.032226723,0.033401188,
two hundred sixteen,thirty,0.032568727,0.033114105,0.034110516,0.034965307,
two hundred sixteen,forty,0.03286157,0.034723166,0.035621867,0.03602739,
two hundred sixteen,fifty,0.028814998,0.031663284,0.033391077,0.034261502,
two hundred sixteen,sixty,0.026813408,0.027826995,0.028684217,0.02927028,
two hundred sixteen,seventy,0.033004392,0.031107599,0.030562242,0.030431949,
two hundred sixteen,eighty,0.032244295,0.034433275,0.035141703,0.03539244,
two hundred sixteen,ninety,0.025261499,0.025839971,0.025864178,0.02572246,
two hundred sixteen,hundred,0.034563184,0.031742755,0.030570673,0.030159496,
two hundred sixteen,thousand,0.030467607,0.03110722,0.03119569,0.03135861,
two hundred sixteen,<unk>,0.0310796,0.031344514,0.031787932,0.03199339,
two hundred sixteen,<start>,0.029055716,0.03073112,0.031829882,0.032593742,
two hundred sixteen,<end>,0.031712573,0.029642044,0.028484507,0.027843198,
two hundred sixty one,<pad>,0.026135756,0.027658876,0.02797821,0.028124578,0.028211363
two hundred sixty one,one,0.031625126,0.028205246,0.026581326,0.025664441,0.025152605
two hundred sixty one,two,0.02398959,0.026432656,0.027392065,0.027838623,0.028018076
two hundred sixty one,three,0.024906458,0.02669283,0.027952053,0.028637677,0.028984051
two hundred sixty one,four,0.037079193,0.036394466,0.036144048,0.035948303,0.03580827
two hundred sixty one,five,0.027349323,0.02619384,0.025158688,0.024688646,0.024501089
two hundred sixty one,six,0.026797263,0.02475422,0.023915129,0.023561077,0.02341842
two hundred sixty one,seven,0.03337775,0.03247542,0.032407865,0.032535657,0.032680806
two hundred sixty one,eight,0.02445391,0.023382472,0.02226446,0.021487253,0.020989586
two hundred sixty one,nine,0.040280607,0.040025774,0.039606333,0.039055213,0.038608752
two hundred sixty one,ten,0.040207427,0.038160075,0.037069086,0.036401946,0.035997715
two hundred sixty one,eleven,0.03624626,0.040224236,0.04218489,0.042741895,0.04271698
two hundred sixty one,twelve,0.025046833,0.024841981,0.024636814,0.024559205,0.024520874
two hundred sixty one,thirteen,0.029902743,0.030343467,0.030940473,0.03142691,0.031754527
two hundred sixty one,fourteen,0.030571688,0.02785793,0.026556542,0.026133236,0.026049623
two hundred sixty one,fifteen,0.024322288,0.022238327,0.021272363,0.020749565,0.02042947
two hundred sixty one,sixteen,0.02980168,0.028681269,0.028334852,0.028256895,0.028275626
two hundred sixty one,seventeen,0.03612862,0.039579194,0.04145947,0.04239814,0.042909313
two hundred sixty one,eighteen,0.027625911,0.026990186,0.026184227,0.025597807,0.02515327
two hundred sixty one,nineteen,0.027366878,0.027981421,0.028115131,0.028034393,0.02793043
two hundred sixty one,twenty,0.029057113,0.03161603,0.03329127,0.034537587,0.035411667
two hundred sixty one,thirty,0.030949315,0.031481545,0.032449517,0.033234153,0.033771563
two hundred sixty one,forty,0.03137801,0.032812253,0.033242743,0.03330628,0.033267085
two hundred sixty one,fifty,0.029563967,0.03215766,0.033649962,0.03443275,0.034818944
two hundred sixty one,sixty,0.026365701,0.026918368,0.027467065,0.02786475,0.028098864
two hundred sixty one,seventy,0.034012537,0.032384865,0.031778123,0.031657808,0.031766027
two hundred sixty one,eighty,0.03305846,0.034384303,0.034670934,0.034675647,0.03461409
two hundred sixty one,ninety,0.02683206,0.02665454,0.026348231,0.026069105,0.025835818
two hundred sixty one,hundred,0.033206806,0.030838633,0.029900888,0.029567124,0.029505713
two hundred sixty one,thousand,0.031071274,0.031150972,0.030815458,0.030655213,0.030623395
two hundred sixty one,<unk>,0.029458228,0.03028325,0.03077442,0.03096175,0.031012783
two hundred sixty one,<start>,0.028804773,0.02976486,0.030291341,0.030688899,0.031005716
two hundred sixty one,<end>,0.033026464,0.030438704,0.029165994,0.02850776,0.028157545
