,,Time_0,Time_1,Time_2
five hundred,<pad>,0.032753263,0.03249523,0.032335434
five hundred,one,0.029932326,0.028985124,0.028898604
five hundred,two,0.03052631,0.030845797,0.030282225
five hundred,three,0.034151915,0.038521226,0.03959027
five hundred,four,0.02654239,0.026714114,0.026795888
five hundred,five,0.037932612,0.037263785,0.03717221
five hundred,six,0.02432812,0.025012512,0.025439562
five hundred,seven,0.026976334,0.031288758,0.033445
five hundred,eight,0.019281412,0.020793367,0.021568207
five hundred,nine,0.030838655,0.034359597,0.036114063
five hundred,ten,0.031136792,0.031628877,0.03128188
five hundred,eleven,0.024047302,0.022758352,0.022189619
five hundred,twelve,0.031815514,0.035074648,0.03669534
five hundred,thirteen,0.036213543,0.035518985,0.0359577
five hundred,fourteen,0.02942871,0.031970453,0.032883026
five hundred,fifteen,0.0308038,0.029440908,0.02811647
five hundred,sixteen,0.022559553,0.023345532,0.0239822
five hundred,seventeen,0.03574611,0.03774017,0.03867406
five hundred,eighteen,0.029798789,0.024900505,0.022703962
five hundred,nineteen,0.030926265,0.02884575,0.028272549
five hundred,twenty,0.034658473,0.035279494,0.034722466
five hundred,thirty,0.030633055,0.027527638,0.026113804
five hundred,forty,0.03421938,0.031907775,0.03117045
five hundred,fifty,0.037348628,0.04225987,0.045403462
five hundred,sixty,0.027188204,0.03006315,0.031577617
five hundred,seventy,0.034233555,0.030803362,0.029393047
five hundred,eighty,0.02497382,0.023119336,0.022499552
five hundred,ninety,0.030251078,0.028887179,0.02839923
five hundred,hundred,0.027749423,0.026099278,0.024953213
five hundred,thousand,0.031736825,0.027681673,0.026071467
five hundred,<unk>,0.029155698,0.029087566,0.028672228
five hundred,<start>,0.026565334,0.023993248,0.023280874
five hundred,<end>,0.03554705,0.035786744,0.035344273
five thousand,<pad>,0.03310333,0.03306555,0.033062506
five thousand,one,0.028790459,0.028313154,0.028467653
five thousand,two,0.026775634,0.027398746,0.026996626
five thousand,three,0.03198631,0.036132496,0.037279204
five thousand,four,0.028333815,0.02854402,0.028606137
five thousand,five,0.038294032,0.036335092,0.035574894
five thousand,six,0.026148768,0.026081987,0.026077546
five thousand,seven,0.027043244,0.030079858,0.031852275
five thousand,eight,0.02003056,0.02209254,0.023125872
five thousand,nine,0.03021695,0.03187224,0.033105195
five thousand,ten,0.031883135,0.032001436,0.031648558
five thousand,eleven,0.026821872,0.025911001,0.0252956
five thousand,twelve,0.03333937,0.03638982,0.037985075
five thousand,thirteen,0.033679187,0.033922162,0.034463067
five thousand,fourteen,0.030648207,0.03479343,0.036576517
five thousand,fifteen,0.031640872,0.029899476,0.028700816
five thousand,sixteen,0.023863228,0.026048427,0.027411597
five thousand,seventeen,0.035726562,0.03762628,0.03838354
five thousand,eighteen,0.030311218,0.026379116,0.024651023
five thousand,nineteen,0.03124967,0.02860962,0.027907968
five thousand,twenty,0.035805084,0.03570975,0.035016794
five thousand,thirty,0.031020697,0.027510153,0.02591097
five thousand,forty,0.029900823,0.0288242,0.028720526
five thousand,fifty,0.04055977,0.041953236,0.04259991
five thousand,sixty,0.028865952,0.031337623,0.032612473
five thousand,seventy,0.031098317,0.029067695,0.028447611
five thousand,eighty,0.024424259,0.023389205,0.023117226
five thousand,ninety,0.02902687,0.028571613,0.028137626
five thousand,hundred,0.029397188,0.026717253,0.025094323
five thousand,thousand,0.03178279,0.02850237,0.027110862
five thousand,<unk>,0.02946641,0.030056348,0.029877244
five thousand,<start>,0.027531376,0.025133276,0.024305208
five thousand,<end>,0.031234141,0.03173091,0.031877603
