,,Time_0,Time_1
two,<pad>,0.029863844,0.031904124
two,one,0.026785564,0.025192391
two,two,0.029356161,0.03175202
two,three,0.034272134,0.034287296
two,four,0.03497689,0.03377083
two,five,0.025624245,0.026995623
two,six,0.032086372,0.031844012
two,seven,0.024416916,0.022846745
two,eight,0.030038703,0.02493965
two,nine,0.022238161,0.0211529
two,ten,0.025627902,0.026707305
two,eleven,0.034797385,0.029443452
two,twelve,0.025810448,0.027119964
two,thirteen,0.03044826,0.031456828
two,fourteen,0.030445175,0.033752296
two,fifteen,0.031118719,0.026568713
two,sixteen,0.032743663,0.036660064
two,seventeen,0.035182662,0.033186175
two,eighteen,0.03145586,0.030482844
two,nineteen,0.02872884,0.028903792
two,twenty,0.03333413,0.034150764
two,thirty,0.024838915,0.026000915
two,forty,0.043155354,0.04837078
two,fifty,0.033025883,0.03477677
two,sixty,0.023807375,0.0238902
two,seventy,0.03445798,0.03274758
two,eighty,0.033294298,0.031025477
two,ninety,0.037664715,0.035981275
two,hundred,0.027907534,0.027103957
two,thousand,0.02781776,0.0271746
two,<unk>,0.026231587,0.027960466
two,<start>,0.034907307,0.03675718
two,<end>,0.023539113,0.025093015
eight,<pad>,0.026713727,0.028940154
eight,one,0.025083443,0.02294434
eight,two,0.025221795,0.028096411
eight,three,0.034842033,0.033547554
eight,four,0.033765785,0.032832883
eight,five,0.026054941,0.025217911
eight,six,0.03396437,0.03649134
eight,seven,0.027137402,0.024473568
eight,eight,0.03073273,0.026996465
eight,nine,0.025155181,0.024131944
eight,ten,0.028470334,0.029752027
eight,eleven,0.032529637,0.030142264
eight,twelve,0.027509809,0.029143775
eight,thirteen,0.030235091,0.029132428
eight,fourteen,0.02953831,0.031815894
eight,fifteen,0.032618657,0.026979482
eight,sixteen,0.03151624,0.036345646
eight,seventeen,0.037789736,0.034995306
eight,eighteen,0.031723995,0.031593237
eight,nineteen,0.02766294,0.027737321
eight,twenty,0.036860142,0.037958972
eight,thirty,0.025843918,0.025661819
eight,forty,0.038535856,0.047059182
eight,fifty,0.032972965,0.033571996
eight,sixty,0.022655101,0.021726143
eight,seventy,0.037120886,0.036696725
eight,eighty,0.033298977,0.029642303
eight,ninety,0.034108095,0.032906275
eight,hundred,0.028880483,0.02755291
eight,thousand,0.02950978,0.028404362
eight,<unk>,0.026057392,0.028511312
eight,<start>,0.031528566,0.03252526
eight,<end>,0.02436171,0.026472628
