,,Time_0,Time_1,Time_2,Time_3,Time_4
three hundred seven,<pad>,0.026791034,0.027376896,0.027508806,0.027454568,
three hundred seven,one,0.03898044,0.043883793,0.046142474,0.047344733,
three hundred seven,two,0.03450819,0.03208343,0.03132101,0.031146344,
three hundred seven,three,0.029240701,0.027575921,0.026574396,0.025926,
three hundred seven,four,0.032071467,0.028540794,0.026589744,0.025558833,
three hundred seven,five,0.03473086,0.033187363,0.032831136,0.032756213,
three hundred seven,six,0.025289224,0.02833348,0.029666793,0.030330606,
three hundred seven,seven,0.026725132,0.028021807,0.028572462,0.028836654,
three hundred seven,eight,0.026268074,0.02908537,0.030616153,0.031325277,
three hundred seven,nine,0.027672486,0.029753137,0.030672425,0.031118292,
three hundred seven,ten,0.03299592,0.03501137,0.035854973,0.036160626,
three hundred seven,eleven,0.036144752,0.03544181,0.035481732,0.035565525,
three hundred seven,twelve,0.030547136,0.030384352,0.03047555,0.030483864,
three hundred seven,thirteen,0.023524623,0.02336161,0.023019996,0.022751372,
three hundred seven,fourteen,0.027917944,0.031348936,0.0336907,0.035188768,
three hundred seven,fifteen,0.03369948,0.034662336,0.034926962,0.034949314,
three hundred seven,sixteen,0.026516482,0.02301812,0.021774793,0.021188926,
three hundred seven,seventeen,0.037127823,0.039480872,0.03983621,0.039735205,
three hundred seven,eighteen,0.025329432,0.024012085,0.0233113,0.022891752,
three hundred seven,nineteen,0.029004868,0.02849899,0.02830841,0.028378515,
three hundred seven,twenty,0.027451213,0.029038562,0.029540163,0.029689854,
three hundred seven,thirty,0.026230017,0.029094595,0.030131357,0.030433582,
three hundred seven,forty,0.025091283,0.02462451,0.024342103,0.024247305,
three hundred seven,fifty,0.028570259,0.027464764,0.027327806,0.027336938,
three hundred seven,sixty,0.033856224,0.03161981,0.030036805,0.029182278,
three hundred seven,seventy,0.0387035,0.04078405,0.04181813,0.04239995,
three hundred seven,eighty,0.03257533,0.030651266,0.02978577,0.029469872,
three hundred seven,ninety,0.028252752,0.029874248,0.03057864,0.031026162,
three hundred seven,hundred,0.033854328,0.031238005,0.030029928,0.029440304,
three hundred seven,thousand,0.02741813,0.02589377,0.025029171,0.024681913,
three hundred seven,<unk>,0.034818698,0.033526834,0.03314674,0.033022303,
three hundred seven,<start>,0.031459395,0.02904503,0.028173354,0.0278318,
three hundred seven,<end>,0.026632857,0.024082216,0.022884019,0.022146268,
three hundred sixty seven,<pad>,0.027539536,0.027429232,0.02725976,0.027090032,0.026990842
three hundred sixty seven,one,0.039460916,0.04494726,0.047622997,0.049084906,0.050013788
three hundred sixty seven,two,0.034576744,0.033025812,0.03269069,0.032733425,0.032828912
three hundred sixty seven,three,0.02912006,0.027188357,0.025951594,0.02518006,0.024692446
three hundred sixty seven,four,0.031864334,0.02817357,0.026233189,0.025220195,0.024654932
three hundred sixty seven,five,0.032839503,0.031731907,0.031450823,0.031349342,0.031285893
three hundred sixty seven,six,0.025369765,0.029428586,0.031197762,0.03201797,0.03238341
three hundred sixty seven,seven,0.025804196,0.027350953,0.02799497,0.028289365,0.028409664
three hundred sixty seven,eight,0.026712965,0.028701132,0.029843828,0.030373914,0.030635849
three hundred sixty seven,nine,0.028145056,0.030670164,0.031785253,0.03230001,0.032533802
three hundred sixty seven,ten,0.033958897,0.03628047,0.037394542,0.037903775,0.038156673
three hundred sixty seven,eleven,0.036902696,0.03566859,0.035409406,0.035321098,0.035256937
three hundred sixty seven,twelve,0.030009774,0.02944858,0.029269028,0.029143956,0.029032733
three hundred sixty seven,thirteen,0.02377284,0.022942932,0.022309339,0.021903649,0.021652553
three hundred sixty seven,fourteen,0.027073668,0.030256525,0.03236518,0.033713076,0.0345579
three hundred sixty seven,fifteen,0.03402446,0.034985658,0.03525089,0.035257466,0.035205748
three hundred sixty seven,sixteen,0.02645052,0.022950362,0.02165352,0.021056598,0.020750089
three hundred sixty seven,seventeen,0.036209643,0.037752148,0.037887853,0.03769066,0.03747854
three hundred sixty seven,eighteen,0.02523941,0.024717035,0.024358397,0.024107838,0.023933101
three hundred sixty seven,nineteen,0.028875275,0.027911905,0.027438115,0.02734693,0.02741362
three hundred sixty seven,twenty,0.027415417,0.028492693,0.028897306,0.029070875,0.029120153
three hundred sixty seven,thirty,0.026204515,0.028562367,0.02929715,0.029477987,0.029473854
three hundred sixty seven,forty,0.025080068,0.025066888,0.024967453,0.024950068,0.024933707
three hundred sixty seven,fifty,0.028928814,0.027892435,0.027890753,0.027993733,0.02807628
three hundred sixty seven,sixty,0.035429034,0.03286387,0.031089395,0.030143844,0.029606884
three hundred sixty seven,seventy,0.03986512,0.041661844,0.04272572,0.043368287,0.043816783
three hundred sixty seven,eighty,0.031324543,0.029364685,0.028568681,0.02829619,0.02824818
three hundred sixty seven,ninety,0.027752906,0.029770114,0.030649122,0.031169266,0.03148632
three hundred sixty seven,hundred,0.03318156,0.031192027,0.030160533,0.029620983,0.0293528
three hundred sixty seven,thousand,0.027428888,0.02584326,0.0249356,0.024573201,0.02442311
three hundred sixty seven,<unk>,0.034613118,0.03383246,0.03369513,0.033657007,0.033615768
three hundred sixty seven,<start>,0.032097396,0.029859455,0.028981507,0.028588545,0.028431976
three hundred sixty seven,<end>,0.026728297,0.024036786,0.022774713,0.022005701,0.021546671
