,,Time_0,Time_1
seven,<pad>,0.028395483,0.027786227
seven,one,0.031462815,0.029932886
seven,two,0.033441346,0.03502703
seven,three,0.028222814,0.028661238
seven,four,0.03039091,0.027537098
seven,five,0.02308164,0.023010375
seven,six,0.02611569,0.02514856
seven,seven,0.02821126,0.030521203
seven,eight,0.029906178,0.026980376
seven,nine,0.020763142,0.021259274
seven,ten,0.021828286,0.021754771
seven,eleven,0.021729436,0.02524717
seven,twelve,0.038437467,0.040250428
seven,thirteen,0.038132448,0.03950678
seven,fourteen,0.035476636,0.033592716
seven,fifteen,0.027983654,0.028349489
seven,sixteen,0.025900392,0.02528941
seven,seventeen,0.0276953,0.027452027
seven,eighteen,0.030565916,0.030015677
seven,nineteen,0.035277806,0.031228501
seven,twenty,0.028567942,0.026843416
seven,thirty,0.025996063,0.02660443
seven,forty,0.02866827,0.028114451
seven,fifty,0.032262746,0.032095138
seven,sixty,0.03557509,0.035194073
seven,seventy,0.0341183,0.035242993
seven,eighty,0.030073432,0.031498697
seven,ninety,0.030349374,0.033434663
seven,hundred,0.034372784,0.031457372
seven,thousand,0.0334547,0.038289197
seven,<unk>,0.039827727,0.043035857
seven,<start>,0.028630178,0.026535671
seven,<end>,0.035084806,0.03310271
eighteen,<pad>,0.024249565,0.024064612
eighteen,one,0.032443967,0.027446918
eighteen,two,0.028789753,0.03244222
eighteen,three,0.028487554,0.026163712
eighteen,four,0.027490648,0.02542564
eighteen,five,0.024064882,0.025810577
eighteen,six,0.028194923,0.025904702
eighteen,seven,0.02625799,0.027459875
eighteen,eight,0.027162103,0.022942571
eighteen,nine,0.02344435,0.023330938
eighteen,ten,0.022549057,0.022869445
eighteen,eleven,0.025429754,0.029616218
eighteen,twelve,0.034749843,0.036210574
eighteen,thirteen,0.035482224,0.03810287
eighteen,fourteen,0.035802647,0.03369043
eighteen,fifteen,0.026602006,0.027029546
eighteen,sixteen,0.0226342,0.022444146
eighteen,seventeen,0.0318524,0.030703818
eighteen,eighteen,0.03148021,0.030501816
eighteen,nineteen,0.03494968,0.031650398
eighteen,twenty,0.02833311,0.028621197
eighteen,thirty,0.025569502,0.025300238
eighteen,forty,0.03577229,0.034275062
eighteen,fifty,0.037742347,0.03541214
eighteen,sixty,0.033459287,0.035012256
eighteen,seventy,0.033081014,0.033061583
eighteen,eighty,0.028919147,0.030282918
eighteen,ninety,0.02830614,0.03195578
eighteen,hundred,0.03361997,0.03085836
eighteen,thousand,0.03319807,0.0391824
eighteen,<unk>,0.04264245,0.04647565
eighteen,<start>,0.029494153,0.029405514
eighteen,<end>,0.037744902,0.036345877
