,,Time_0,Time_1,Time_2,Time_3,Time_4
four hundred twelve,<pad>,0.03287242,0.037073813,0.039531566,0.041143604,
four hundred twelve,one,0.034487672,0.031152172,0.029517647,0.028852724,
four hundred twelve,two,0.031435672,0.033353027,0.034381054,0.03492101,
four hundred twelve,three,0.025401643,0.028018614,0.029292585,0.030096693,
four hundred twelve,four,0.045425113,0.045590978,0.046107687,0.046347562,
four hundred twelve,five,0.027271006,0.028414156,0.028184637,0.027822994,
four hundred twelve,six,0.028773826,0.031474967,0.03350811,0.03475281,
four hundred twelve,seven,0.027979715,0.0290144,0.028558552,0.028198786,
four hundred twelve,eight,0.028593475,0.027409986,0.026115151,0.025224375,
four hundred twelve,nine,0.027480628,0.028480291,0.028794765,0.028935978,
four hundred twelve,ten,0.035785317,0.034410045,0.033364106,0.032686718,
four hundred twelve,eleven,0.027970929,0.024010178,0.022088198,0.021210967,
four hundred twelve,twelve,0.036822047,0.03431745,0.03340995,0.032746036,
four hundred twelve,thirteen,0.026284438,0.025047434,0.024759483,0.024488326,
four hundred twelve,fourteen,0.019423999,0.021180721,0.02179379,0.022105858,
four hundred twelve,fifteen,0.03502701,0.035299473,0.035308715,0.035125367,
four hundred twelve,sixteen,0.031475063,0.027636234,0.026041133,0.025290588,
four hundred twelve,seventeen,0.034740783,0.03243446,0.031444244,0.030978393,
four hundred twelve,eighteen,0.02414696,0.024145558,0.024581516,0.025354031,
four hundred twelve,nineteen,0.030744493,0.028359704,0.027498806,0.027031874,
four hundred twelve,twenty,0.04182315,0.04284654,0.042530335,0.04236368,
four hundred twelve,thirty,0.03488757,0.036142755,0.03735284,0.037985135,
four hundred twelve,forty,0.026557175,0.025086906,0.02491018,0.024984026,
four hundred twelve,fifty,0.028252842,0.029245222,0.029608632,0.029643517,
four hundred twelve,sixty,0.035015125,0.029944085,0.02787769,0.026998408,
four hundred twelve,seventy,0.03210159,0.036134873,0.038713098,0.0400212,
four hundred twelve,eighty,0.030341616,0.030333888,0.02932494,0.028639102,
four hundred twelve,ninety,0.027973475,0.030599441,0.031313483,0.031228803,
four hundred twelve,hundred,0.029270265,0.02746148,0.026254404,0.02542872,
four hundred twelve,thousand,0.020528352,0.019805528,0.019920357,0.020040397,
four hundred twelve,<unk>,0.023211941,0.026239192,0.027838273,0.028585007,
four hundred twelve,<start>,0.030713497,0.030952776,0.030774185,0.03068928,
four hundred twelve,<end>,0.02718135,0.028383601,0.029299833,0.03007806,
four hundred twenty one,<pad>,0.03380073,0.0371776,0.039123476,0.040468708,0.041383546
four hundred twenty one,one,0.03516978,0.03196055,0.030439207,0.029851977,0.029650696
four hundred twenty one,two,0.031075,0.033280116,0.034518126,0.03517438,0.035500597
four hundred twenty one,three,0.025148578,0.027742775,0.028993128,0.029746508,0.030217687
four hundred twenty one,four,0.04351241,0.044387523,0.04506621,0.04539628,0.04557858
four hundred twenty one,five,0.0278125,0.029200763,0.029084926,0.028739123,0.028472472
four hundred twenty one,six,0.027430149,0.029816201,0.031795576,0.03306593,0.03384304
four hundred twenty one,seven,0.02753146,0.02823928,0.027905352,0.027658567,0.027546085
four hundred twenty one,eight,0.029365465,0.029069949,0.028221503,0.027526706,0.027113471
four hundred twenty one,nine,0.02839444,0.028665034,0.028624102,0.028582675,0.028512962
four hundred twenty one,ten,0.0357043,0.03510952,0.034566708,0.034194622,0.033987675
four hundred twenty one,eleven,0.028907694,0.02520811,0.023318186,0.022462038,0.022087209
four hundred twenty one,twelve,0.035861485,0.034832582,0.034308523,0.033791028,0.03332779
four hundred twenty one,thirteen,0.026219875,0.025051864,0.024774725,0.024540784,0.024335926
four hundred twenty one,fourteen,0.021463864,0.023406575,0.024037756,0.024320003,0.024436137
four hundred twenty one,fifteen,0.035117034,0.03467114,0.034354698,0.033990223,0.03366996
four hundred twenty one,sixteen,0.029955428,0.026819052,0.02553966,0.024960235,0.024697192
four hundred twenty one,seventeen,0.034487974,0.03241462,0.03164237,0.031380314,0.031308968
four hundred twenty one,eighteen,0.024564246,0.024736928,0.025387146,0.026242638,0.026946953
four hundred twenty one,nineteen,0.029800383,0.027975552,0.027335634,0.026969152,0.026767677
four hundred twenty one,twenty,0.040195607,0.040638603,0.040270284,0.040115822,0.040027734
four hundred twenty one,thirty,0.033793677,0.034464624,0.035369676,0.03584415,0.036065884
four hundred twenty one,forty,0.027923256,0.025405733,0.024742657,0.02457689,0.024574699
four hundred twenty one,fifty,0.029177496,0.030021826,0.030210845,0.030120116,0.029932188
four hundred twenty one,sixty,0.035701804,0.030901503,0.02873206,0.027704887,0.027209643
four hundred twenty one,seventy,0.03237824,0.035962105,0.038007423,0.039051667,0.03969321
four hundred twenty one,eighty,0.027814565,0.027747672,0.027113114,0.026688091,0.026403392
four hundred twenty one,ninety,0.029347481,0.031634014,0.032173343,0.031990457,0.031652957
four hundred twenty one,hundred,0.028517922,0.026567006,0.02539836,0.024635417,0.024148371
four hundred twenty one,thousand,0.021608954,0.020832555,0.020947723,0.021091416,0.02118075
four hundred twenty one,<unk>,0.023305276,0.025902444,0.027273657,0.027919795,0.028226348
four hundred twenty one,<start>,0.031189254,0.031371795,0.031112187,0.030948455,0.030838363
four hundred twenty one,<end>,0.027723579,0.028784195,0.029611617,0.030251011,0.030661922
