,,Time_0,Time_1,Time_2,Time_3
eighty nine,<pad>,0.029814856,0.028561305,0.028266793,
eighty nine,one,0.0287172,0.030037,0.02987569,
eighty nine,two,0.022155914,0.023470676,0.023961969,
eighty nine,three,0.026524033,0.02462375,0.02335929,
eighty nine,four,0.040680766,0.042731654,0.0439006,
eighty nine,five,0.0397177,0.03819627,0.03717134,
eighty nine,six,0.036120813,0.032306086,0.030763462,
eighty nine,seven,0.019969266,0.021470759,0.022317061,
eighty nine,eight,0.029721422,0.026472613,0.024001846,
eighty nine,nine,0.02588648,0.02767288,0.028371176,
eighty nine,ten,0.02748558,0.028691813,0.02934914,
eighty nine,eleven,0.036646087,0.031208206,0.029104773,
eighty nine,twelve,0.024821842,0.02720658,0.02807177,
eighty nine,thirteen,0.02864711,0.029229714,0.029419784,
eighty nine,fourteen,0.036420245,0.032079346,0.029969206,
eighty nine,fifteen,0.026615823,0.030518373,0.03261985,
eighty nine,sixteen,0.031063922,0.027729467,0.026426416,
eighty nine,seventeen,0.028595679,0.026538562,0.025092317,
eighty nine,eighteen,0.030309165,0.032785784,0.034196153,
eighty nine,nineteen,0.034893222,0.039103612,0.04116583,
eighty nine,twenty,0.030886108,0.02877744,0.027764592,
eighty nine,thirty,0.037636418,0.03425582,0.032902498,
eighty nine,forty,0.029369095,0.028385144,0.028857889,
eighty nine,fifty,0.028703092,0.028894132,0.02873348,
eighty nine,sixty,0.029496513,0.029109681,0.028977107,
eighty nine,seventy,0.033108708,0.037177928,0.039245367,
eighty nine,eighty,0.026293604,0.03039055,0.032865364,
eighty nine,ninety,0.029328577,0.028287195,0.028070334,
eighty nine,hundred,0.026919803,0.026553567,0.026297832,
eighty nine,thousand,0.024205798,0.025514532,0.025572542,
eighty nine,<unk>,0.032011673,0.031785075,0.031396672,
eighty nine,<start>,0.036080502,0.034629934,0.03398295,
eighty nine,<end>,0.031152943,0.035604578,0.037928987,
eight hundred nine,<pad>,0.030488791,0.028665358,0.028107189,0.02793305
eight hundred nine,one,0.027934818,0.029252747,0.029158758,0.028804742
eight hundred nine,two,0.023584558,0.02422785,0.024449535,0.024563767
eight hundred nine,three,0.028737813,0.0275731,0.026699478,0.026106142
eight hundred nine,four,0.038530696,0.040026333,0.04090433,0.041393455
eight hundred nine,five,0.042454526,0.040247567,0.038968004,0.038043328
eight hundred nine,six,0.03407946,0.03251423,0.03203878,0.031866487
eight hundred nine,seven,0.021848513,0.023249475,0.024004497,0.024360314
eight hundred nine,eight,0.029931607,0.026858298,0.024567436,0.023091689
eight hundred nine,nine,0.026567671,0.027736899,0.02829438,0.028655373
eight hundred nine,ten,0.028398048,0.029063022,0.029655434,0.030057276
eight hundred nine,eleven,0.03594466,0.031210575,0.029430479,0.028595844
eight hundred nine,twelve,0.025850756,0.027805606,0.028442286,0.028745515
eight hundred nine,thirteen,0.02634067,0.026718933,0.02678065,0.026765449
eight hundred nine,fourteen,0.03452179,0.030764852,0.029006405,0.028038183
eight hundred nine,fifteen,0.028371515,0.03190148,0.03362517,0.03444965
eight hundred nine,sixteen,0.02938754,0.026423872,0.025244439,0.024896327
eight hundred nine,seventeen,0.027586792,0.02657447,0.025833389,0.025557276
eight hundred nine,eighteen,0.029112432,0.031535592,0.03291533,0.033777833
eight hundred nine,nineteen,0.03611741,0.039716132,0.0413356,0.042062506
eight hundred nine,twenty,0.029742891,0.02760878,0.026775,0.026352094
eight hundred nine,thirty,0.036870617,0.03461523,0.033657823,0.03317801
eight hundred nine,forty,0.031770643,0.02975309,0.029766673,0.030289989
eight hundred nine,fifty,0.028597776,0.029210908,0.029246265,0.029385833
eight hundred nine,sixty,0.033467688,0.03299719,0.032861955,0.03271203
eight hundred nine,seventy,0.031765226,0.035673346,0.03764619,0.038725447
eight hundred nine,eighty,0.026294867,0.029674286,0.031485077,0.032214053
eight hundred nine,ninety,0.027815728,0.0265137,0.026216349,0.026312634
eight hundred nine,hundred,0.026800307,0.025961947,0.025643496,0.025557159
eight hundred nine,thousand,0.02478836,0.025870137,0.02578628,0.025487611
eight hundred nine,<unk>,0.03181077,0.03203038,0.032022398,0.032103088
eight hundred nine,<start>,0.031706966,0.031309284,0.031073403,0.030955616
eight hundred nine,<end>,0.03277805,0.036715403,0.038357623,0.038962346
