,,Time_0,Time_1,Time_2
fifty three,<pad>,0.024385903,0.024607388,0.024954835
fifty three,one,0.021964476,0.023964437,0.025399169
fifty three,two,0.027528431,0.030726984,0.032023504
fifty three,three,0.031627987,0.030068947,0.029473597
fifty three,four,0.02472977,0.026767964,0.028036598
fifty three,five,0.026975226,0.027885988,0.028729334
fifty three,six,0.034923732,0.033714462,0.033757534
fifty three,seven,0.03695471,0.034903046,0.033854987
fifty three,eight,0.024428032,0.025146004,0.025760233
fifty three,nine,0.031823143,0.031874802,0.031237932
fifty three,ten,0.02494376,0.023407636,0.0233891
fifty three,eleven,0.026626978,0.027839137,0.027643153
fifty three,twelve,0.03427599,0.0327082,0.032019854
fifty three,thirteen,0.02984775,0.028616745,0.027610878
fifty three,fourteen,0.028739756,0.028313996,0.0272497
fifty three,fifteen,0.028746678,0.028693411,0.028408667
fifty three,sixteen,0.030509591,0.032426313,0.032545537
fifty three,seventeen,0.023009947,0.025675615,0.027128492
fifty three,eighteen,0.032790273,0.030443728,0.028528523
fifty three,nineteen,0.044486664,0.04417656,0.042767372
fifty three,twenty,0.038855728,0.043118697,0.046033483
fifty three,thirty,0.02627986,0.025191648,0.024509657
fifty three,forty,0.03711619,0.040274017,0.04211714
fifty three,fifty,0.038933694,0.038581844,0.038091507
fifty three,sixty,0.027706837,0.027733762,0.02873092
fifty three,seventy,0.030745152,0.027764805,0.0262079
fifty three,eighty,0.029979022,0.028491983,0.027506316
fifty three,ninety,0.033973347,0.032179113,0.031153066
fifty three,hundred,0.027892107,0.026345998,0.025611946
fifty three,thousand,0.025051802,0.023938611,0.024164082
fifty three,<unk>,0.026490808,0.025746632,0.025353232
fifty three,<start>,0.03744938,0.03863637,0.0400374
fifty three,<end>,0.03020723,0.030035019,0.029964456
eighty,<pad>,0.028736793,0.027190933,
eighty,one,0.022332087,0.023972217,
eighty,two,0.02876793,0.028158978,
eighty,three,0.033650775,0.03340685,
eighty,four,0.024316438,0.026478706,
eighty,five,0.026947686,0.027344039,
eighty,six,0.03284215,0.031444594,
eighty,seven,0.040430162,0.03528605,
eighty,eight,0.023846794,0.024819613,
eighty,nine,0.030304158,0.031414125,
eighty,ten,0.025928399,0.02350799,
eighty,eleven,0.028100431,0.029432243,
eighty,twelve,0.03568893,0.033653714,
eighty,thirteen,0.02694641,0.02774663,
eighty,fourteen,0.03125287,0.029445278,
eighty,fifteen,0.027535765,0.02497425,
eighty,sixteen,0.028986037,0.02869404,
eighty,seventeen,0.024152176,0.026604049,
eighty,eighteen,0.03241093,0.030437663,
eighty,nineteen,0.039795086,0.039502233,
eighty,twenty,0.033317097,0.037000027,
eighty,thirty,0.027713288,0.027251283,
eighty,forty,0.031097118,0.035856865,
eighty,fifty,0.039964903,0.039025024,
eighty,sixty,0.02609607,0.027220497,
eighty,seventy,0.03499136,0.031858716,
eighty,eighty,0.032298736,0.033722285,
eighty,ninety,0.03277323,0.03142706,
eighty,hundred,0.028706726,0.028492857,
eighty,thousand,0.023720784,0.024707446,
eighty,<unk>,0.026853252,0.02595955,
eighty,<start>,0.037182067,0.04086884,
eighty,<end>,0.032313455,0.03309527,
