,,Time_0,Time_1,Time_2,Time_3
twenty four,<pad>,0.029834883,0.02924229,0.028930936,
twenty four,one,0.029777156,0.032870755,0.034082487,
twenty four,two,0.025413493,0.022491734,0.021483008,
twenty four,three,0.034418847,0.032042813,0.031104285,
twenty four,four,0.027251309,0.026924383,0.02693271,
twenty four,five,0.032686733,0.033783183,0.033793487,
twenty four,six,0.037871387,0.035776332,0.03492503,
twenty four,seven,0.029360304,0.029474027,0.030057836,
twenty four,eight,0.024964588,0.027196325,0.028275365,
twenty four,nine,0.022236917,0.023844348,0.02499219,
twenty four,ten,0.024334459,0.025446618,0.025428051,
twenty four,eleven,0.030729089,0.030598866,0.029443098,
twenty four,twelve,0.03118973,0.028749224,0.027686805,
twenty four,thirteen,0.02959766,0.02707536,0.026519157,
twenty four,fourteen,0.02422942,0.027103787,0.028455121,
twenty four,fifteen,0.036073387,0.033981122,0.033515062,
twenty four,sixteen,0.024091741,0.023409626,0.023246067,
twenty four,seventeen,0.032305893,0.030116133,0.028693406,
twenty four,eighteen,0.029607147,0.030188724,0.030984322,
twenty four,nineteen,0.031718034,0.02912435,0.02805229,
twenty four,twenty,0.030739035,0.03086896,0.031075671,
twenty four,thirty,0.034313228,0.038731962,0.04102031,
twenty four,forty,0.033303503,0.031609118,0.030977823,
twenty four,fifty,0.02680213,0.027739381,0.0287059,
twenty four,sixty,0.030621987,0.03368024,0.035507225,
twenty four,seventy,0.029310977,0.027833443,0.0273819,
twenty four,eighty,0.032697827,0.034622777,0.035285063,
twenty four,ninety,0.028704286,0.027823668,0.02716201,
twenty four,hundred,0.02651219,0.0310691,0.032772597,
twenty four,thousand,0.04035574,0.037383683,0.0353703,
twenty four,<unk>,0.035026964,0.036715217,0.036655158,
twenty four,<start>,0.03413873,0.033570543,0.033122648,
twenty four,<end>,0.02978132,0.028911915,0.02836277,
two hundred four,<pad>,0.026187243,0.025171788,0.025005622,0.025104856
two hundred four,one,0.031204067,0.034663346,0.03597324,0.03641002
two hundred four,two,0.023970714,0.023291541,0.023415005,0.023655813
two hundred four,three,0.034248415,0.031885527,0.03080919,0.03042976
two hundred four,four,0.027763814,0.02809088,0.028105466,0.027867861
two hundred four,five,0.03006186,0.029955491,0.02951709,0.029233381
two hundred four,six,0.033869103,0.03274655,0.031937316,0.031436622
two hundred four,seven,0.02954341,0.027951254,0.027487092,0.027317021
two hundred four,eight,0.027563347,0.030077135,0.03133027,0.03202011
two hundred four,nine,0.020652888,0.021926956,0.022926303,0.023559269
two hundred four,ten,0.025088785,0.02507639,0.024698637,0.02437379
two hundred four,eleven,0.028719159,0.028172426,0.027191585,0.026570966
two hundred four,twelve,0.03087252,0.029905856,0.029166205,0.028726451
two hundred four,thirteen,0.029228736,0.02838697,0.028148774,0.028145084
two hundred four,fourteen,0.024485027,0.02757199,0.029129421,0.029974002
two hundred four,fifteen,0.034504343,0.03304817,0.032843072,0.032959346
two hundred four,sixteen,0.025653988,0.024736885,0.024441935,0.024429327
two hundred four,seventeen,0.032666273,0.031685986,0.030730844,0.029951932
two hundred four,eighteen,0.031493858,0.03291937,0.0340836,0.034912944
two hundred four,nineteen,0.03034496,0.029145809,0.028760161,0.028481657
two hundred four,twenty,0.031427734,0.031442516,0.031824287,0.032152753
two hundred four,thirty,0.038394004,0.040056508,0.040787853,0.041116588
two hundred four,forty,0.03369905,0.032395538,0.03203306,0.03187611
two hundred four,fifty,0.027742768,0.030472366,0.03229048,0.033253644
two hundred four,sixty,0.030870372,0.03310028,0.034604732,0.035551216
two hundred four,seventy,0.03151841,0.029809454,0.029196437,0.028974075
two hundred four,eighty,0.034029018,0.034757823,0.03482144,0.03477396
two hundred four,ninety,0.02724608,0.026682934,0.026004486,0.025504762
two hundred four,hundred,0.026046729,0.028075216,0.0288333,0.029102562
two hundred four,thousand,0.039419595,0.035053965,0.032407016,0.030907944
two hundred four,<unk>,0.034894887,0.03505002,0.035049178,0.034947135
two hundred four,<start>,0.035199985,0.03642593,0.036699366,0.036888517
two hundred four,<end>,0.031388916,0.030267214,0.029747458,0.02939035
